# Stahle - Hudson Barn - QUSP - ITRDB AR068
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4867
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4867.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ar068-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ar068-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ar068.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ar068.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-21
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-21
#--------------------
# Title
#   Study_Name: Stahle - Hudson Barn - QUSP - ITRDB AR068
#--------------------
# Investigators
#   Investigators: Stahle, D.W.; Cade, G.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Hudson Barn
#   Location: Arkansas
#   Northernmost_Latitude: 35.97
#   Southernmost_Latitude: 35.97
#   Easternmost_Longitude: -93.22
#   Westernmost_Longitude: -93.22
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: AR068
#   First_Year: 1676
#   Last_Year: 1903
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HUD01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HUD01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HUD01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HUD01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HUD02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HUD02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HUD02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HUD02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HUD02C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HUD02C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HUD04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HUD04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HUD04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HUD04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HUD05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HUD05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HUD05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HUD05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HUD01A_raw	HUD01B_raw	HUD02A_raw	HUD02B_raw	HUD02C_raw	HUD04A_raw	HUD04B_raw	HUD05A_raw	HUD05B_raw
1749	NA	0.43	1.04	0.86	0.52	NA	NA	0.73	1.22
1750	NA	0.47	0.89	0.99	0.44	NA	NA	0.83	1.37
1751	NA	0.69	1.02	0.91	0.77	NA	NA	0.81	1.15
1752	NA	0.49	0.99	0.88	0.62	NA	NA	0.68	1.07
1753	NA	0.42	0.84	0.81	0.6	NA	NA	0.77	0.89
1754	NA	0.4	0.62	0.51	0.4	NA	NA	0.48	0.45
1755	NA	0.4	0.6	0.58	0.5	NA	NA	0.63	0.65
1756	NA	0.56	0.52	0.71	0.54	NA	NA	0.75	0.7
1757	NA	0.46	0.79	0.81	0.71	NA	NA	0.85	0.76
1758	NA	0.48	0.88	0.81	0.79	NA	NA	0.96	0.93
1759	NA	0.78	0.8	0.79	0.68	NA	NA	0.81	0.87
1760	NA	0.69	0.7	0.65	0.45	NA	NA	0.73	0.81
1761	NA	0.65	0.9	0.7	0.52	NA	NA	0.76	0.98
1762	NA	0.48	0.54	0.6	0.38	NA	NA	0.5	0.65
1763	NA	0.6	0.69	0.53	0.57	NA	NA	0.68	0.68
1764	NA	0.64	0.95	0.64	0.63	NA	NA	0.65	0.99
1765	NA	0.49	0.71	0.56	0.5	0.47	0.62	0.57	0.84
1766	NA	0.47	0.62	0.57	0.33	0.82	1.11	0.55	0.64
1767	NA	0.45	0.58	0.48	0.44	0.78	0.78	0.51	0.69
1768	NA	0.51	0.63	0.54	0.52	0.68	0.67	0.71	0.7
1769	NA	0.49	1.01	0.78	0.8	0.71	0.93	0.89	1
1770	NA	0.36	1.03	0.77	0.79	0.81	1.12	0.93	1.02
1771	NA	0.43	1.05	0.84	0.64	0.53	0.75	0.9	1
1772	NA	0.57	0.62	0.6	0.31	0.53	0.43	0.53	0.68
1773	NA	0.85	0.76	0.69	0.53	0.98	0.65	0.59	0.71
1774	NA	0.61	0.74	0.64	0.54	0.96	1.1	0.64	0.89
1775	NA	0.93	0.83	0.73	0.56	0.83	1.56	0.74	1.01
1776	NA	0.76	0.65	0.55	0.51	1.2	1.33	0.65	0.72
1777	NA	0.59	0.77	0.63	0.52	1.55	0.7	0.64	0.67
1778	NA	0.68	0.63	0.62	0.52	1.17	0.84	0.65	0.86
1779	NA	0.62	0.59	0.5	0.49	0.81	0.99	0.43	0.48
1780	0.58	0.67	0.79	0.58	0.49	0.92	0.68	0.51	0.69
1781	0.72	1	0.77	0.48	0.62	2.04	1.13	0.66	0.89
1782	0.5	0.83	0.86	0.66	0.56	1.51	0.5	0.68	0.92
1783	0.58	0.74	0.86	0.51	0.58	2.86	0.84	0.61	1.03
1784	0.37	0.79	0.73	0.64	0.53	1.82	0.6	0.54	0.73
1785	0.53	0.65	0.67	0.41	0.36	2.07	0.85	0.43	0.57
1786	0.67	0.92	0.81	0.52	0.42	1.8	0.99	0.57	0.78
1787	0.89	1.02	0.66	0.42	0.41	2.06	0.93	0.41	0.71
1788	0.91	1.06	0.65	0.51	0.46	2.36	0.81	0.54	0.72
1789	0.82	1.1	0.83	0.63	0.6	1.89	0.63	0.67	0.84
1790	0.69	1.09	0.99	0.77	0.57	2.41	0.7	0.76	0.97
1791	0.85	0.86	0.91	0.6	0.48	1.73	0.71	0.54	0.63
1792	0.61	0.81	0.77	0.58	0.53	1.35	0.61	0.53	0.66
1793	0.79	0.93	0.72	0.51	0.53	2.05	0.72	0.6	0.79
1794	0.75	0.8	0.75	0.56	0.49	1.35	0.53	0.55	0.74
1795	0.57	0.79	0.81	0.64	0.58	1.89	0.54	0.66	0.79
1796	0.96	1.19	0.88	0.66	0.84	3.16	0.95	0.76	1.01
1797	1.04	1.1	0.78	0.71	0.87	1.83	0.84	0.69	0.91
1798	0.75	0.76	0.74	0.77	0.74	1.59	0.51	0.47	0.97
1799	0.56	0.53	0.58	0.63	0.62	1.02	0.43	0.76	0.93
1800	0.52	0.78	0.58	0.49	0.66	1.04	0.52	0.51	0.92
1801	0.49	0.52	0.57	0.51	0.8	0.74	0.49	0.66	0.97
1802	0.55	0.79	0.82	0.7	1.04	0.85	0.72	0.68	1.18
1803	0.47	0.5	0.66	0.54	0.76	0.73	0.61	0.61	0.97
1804	0.57	0.68	0.7	0.52	0.81	0.9	0.68	0.89	0.96
1805	0.74	0.76	1	0.75	1.02	1.07	0.95	1.07	1.21
1806	0.72	0.67	0.79	0.74	0.88	1.02	0.67	1.14	1.05
1807	0.7	0.85	0.94	0.71	1.02	1.12	0.79	1.12	1.1
1808	0.78	1.02	0.92	0.63	0.9	1.08	0.85	0.68	1.13
1809	0.7	0.83	0.71	0.48	0.75	0.93	0.57	0.71	0.91
1810	0.87	0.97	0.79	0.59	0.81	1.01	0.54	0.81	0.81
1811	1.24	1.3	0.87	0.65	0.72	1.14	0.6	0.82	1.05
1812	0.77	0.82	0.69	0.54	0.59	0.77	0.44	0.61	0.87
1813	0.73	0.78	0.82	0.6	0.65	0.69	0.44	0.68	0.88
1814	0.64	0.76	0.76	0.63	0.57	0.67	0.49	0.51	0.65
1815	0.61	0.7	0.64	0.66	0.64	0.65	0.52	0.58	0.67
1816	0.81	0.62	0.81	0.63	0.63	0.7	0.57	0.71	0.75
1817	1.03	1.07	0.76	0.64	0.76	0.89	0.74	0.7	0.71
1818	0.71	0.93	0.78	0.61	0.66	0.81	0.71	0.73	0.81
1819	0.88	0.78	0.98	0.65	0.59	0.77	0.56	0.92	0.96
1820	0.86	0.88	0.75	0.59	0.62	0.68	0.54	0.66	0.77
1821	0.86	0.83	0.66	0.69	0.71	0.75	0.66	0.64	0.76
1822	0.88	0.72	0.7	0.6	0.65	0.97	0.61	0.68	0.86
1823	0.87	0.72	0.74	0.65	0.61	0.77	0.69	0.76	0.65
1824	0.59	0.4	0.74	0.63	0.71	0.81	0.55	0.96	0.85
1825	0.76	0.67	0.82	0.69	0.75	0.78	0.58	1.07	0.97
1826	0.99	0.76	1.25	0.94	0.95	0.94	0.63	1.17	0.95
1827	0.56	0.61	0.87	0.72	0.71	0.72	0.48	0.85	0.86
1828	0.46	0.7	0.54	0.57	0.56	0.63	0.43	0.66	0.63
1829	0.49	0.41	0.78	0.59	0.67	0.69	0.4	0.66	0.82
1830	0.36	0.49	0.63	0.54	0.59	0.65	0.51	0.62	0.63
1831	0.33	0.28	0.86	0.71	0.67	0.83	0.63	0.82	0.85
1832	0.51	0.41	0.76	0.63	0.75	0.83	0.68	0.85	0.88
1833	0.4	0.46	0.76	0.8	0.77	0.79	0.53	0.88	0.91
1834	0.53	0.46	0.74	0.67	0.75	0.91	0.59	0.65	0.8
1835	0.35	0.38	0.79	0.77	0.85	0.77	0.67	0.84	0.79
1836	0.53	0.45	1	0.79	1.26	0.8	0.64	0.92	1.16
1837	0.51	0.4	0.78	0.67	0.87	0.82	0.57	0.8	0.95
1838	0.41	0.4	0.6	0.55	0.47	0.59	0.59	0.59	0.76
1839	0.37	0.32	0.72	0.38	0.41	0.56	0.4	0.42	0.54
1840	0.54	0.54	0.75	0.69	0.62	0.7	0.53	0.56	0.72
1841	0.76	0.72	0.54	0.46	0.43	0.63	0.37	0.52	0.67
1842	0.87	0.98	0.71	0.59	0.58	0.64	0.36	0.55	0.79
1843	0.98	0.98	0.8	0.68	0.67	0.63	0.5	0.7	0.85
1844	0.99	1.25	0.84	0.72	0.69	0.49	0.43	0.66	0.9
1845	1.17	1.57	1.01	0.75	0.89	0.66	0.52	0.71	0.95
1846	1.36	1.49	0.83	0.7	0.65	0.58	0.57	0.81	0.88
1847	1.19	1.54	0.79	0.55	0.62	0.59	0.54	0.51	0.69
1848	1.05	1.39	0.81	0.56	0.62	0.66	0.41	0.66	0.82
1849	0.95	1.09	1.07	0.77	0.8	0.75	0.42	0.67	0.93
1850	1.24	1.09	0.92	0.69	0.73	0.67	0.47	0.76	0.9
1851	0.99	1.06	0.84	0.6	0.56	0.45	0.4	0.67	0.76
1852	1.36	1.2	0.93	0.69	0.76	0.61	0.43	0.68	0.81
1853	1.4	1.38	0.96	0.81	0.72	0.56	0.51	0.6	0.81
1854	1.38	1.32	0.96	0.7	0.78	0.69	0.4	0.75	0.85
1855	0.98	0.96	0.71	0.56	0.36	0.56	0.4	0.5	0.62
1856	1.21	1.6	0.89	0.69	0.61	0.7	0.47	0.73	0.8
1857	1.63	1.27	0.95	0.91	0.9	0.76	0.57	0.91	0.91
1858	1.37	1.07	0.96	0.69	0.78	0.81	0.47	0.76	0.98
1859	0.86	0.85	0.61	0.5	0.29	0.56	0.41	0.38	0.34
1860	0.99	0.94	0.78	0.6	0.5	0.6	0.44	0.54	0.7
1861	1.26	1.27	0.8	0.56	0.46	0.7	0.47	0.51	0.8
1862	0.93	1.09	0.71	0.6	0.61	0.72	0.59	0.6	0.73
1863	0.85	1.16	0.7	0.61	0.43	0.64	0.4	0.48	0.8
1864	0.94	1.04	0.87	0.62	0.64	0.68	0.46	0.62	1.07
1865	0.86	1.1	0.9	0.78	0.67	0.65	0.54	0.68	0.89
1866	0.92	1.17	0.83	0.69	0.67	0.81	0.58	0.62	0.83
1867	1.15	1.18	0.74	0.62	0.66	0.86	0.57	0.6	0.94
1868	0.86	0.81	0.73	0.59	0.59	0.64	0.34	0.54	0.71
1869	1.09	1.38	1	0.81	0.73	0.9	0.63	0.88	1
1870	0.81	1.07	0.65	0.58	0.55	0.49	0.38	0.5	0.67
1871	0.91	0.92	0.68	0.6	0.62	0.52	0.48	0.65	0.68
1872	0.82	1.07	0.49	0.48	0.44	0.55	0.41	0.45	0.6
1873	1.11	0.9	0.71	0.79	0.62	0.57	0.43	0.56	0.82
1874	0.87	0.68	0.74	0.64	0.54	0.61	0.42	0.54	0.74
1875	0.8	0.81	0.7	0.69	0.53	0.72	0.47	0.6	0.73
1876	1.12	1.26	0.99	1.02	0.85	0.84	0.66	0.78	1.04
1877	0.99	0.9	0.71	0.66	0.59	0.7	0.49	0.59	0.7
1878	0.98	1.13	0.8	0.8	0.65	0.68	0.37	0.67	0.94
1879	0.96	0.95	0.83	0.73	0.72	0.57	0.32	0.76	0.97
1880	0.69	0.7	1.02	0.78	0.73	0.57	0.33	0.67	0.92
1881	0.7	0.83	0.83	NA	0.56	0.59	0.44	0.71	0.83
1882	1.06	0.94	1.02	NA	0.84	0.63	0.49	0.98	1.18
1883	0.9	0.8	0.94	NA	0.64	0.53	0.47	0.75	1.02
1884	0.75	0.72	0.83	NA	0.56	0.44	0.53	0.62	0.83
1885	0.67	NA	0.68	NA	0.5	0.64	0.33	0.53	0.74
1886	0.74	NA	0.69	NA	0.43	0.65	0.43	0.66	0.72
1887	0.63	NA	0.95	NA	0.56	0.66	NA	0.71	0.96
1888	0.76	NA	0.61	NA	0.54	0.79	NA	0.58	NA
1889	NA	NA	NA	NA	0.56	0.94	NA	0.65	NA
1890	NA	NA	NA	NA	0.47	1.04	NA	0.84	NA
1891	NA	NA	NA	NA	0.47	0.57	NA	0.75	NA
1892	NA	NA	NA	NA	0.67	1.18	NA	0.78	NA
1893	NA	NA	NA	NA	0.7	1	NA	0.59	NA
1894	NA	NA	NA	NA	0.47	0.9	NA	0.8	NA
1895	NA	NA	NA	NA	0.51	1.05	NA	0.63	NA
1896	NA	NA	NA	NA	0.4	1.11	NA	0.64	NA
1897	NA	NA	NA	NA	0.55	1.15	NA	0.71	NA
1898	NA	NA	NA	NA	0.68	1.83	NA	0.56	NA
1899	NA	NA	NA	NA	1.23	1.85	NA	0.67	NA
1900	NA	NA	NA	NA	1.21	1.51	NA	0.62	NA
1901	NA	NA	NA	NA	0.75	1.24	NA	0.53	NA
1902	NA	NA	NA	NA	0.72	1.28	NA	0.68	NA
1903	NA	NA	NA	NA	1.11	0.93	NA	0.98	NA
