# Black - Wasson - PSME - ITRDB OR128
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38231
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38231.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or128-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or128.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or128.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-14
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-14
#--------------------
# Title
#   Study_Name: Black - Wasson - PSME - ITRDB OR128
#--------------------
# Investigators
#   Investigators: Black, Bryan A.; Struble, William T.; Wetherell, Logan; Roering, Joshua J.
#--------------------
# Description_Notes_and_Keywords
#   Description: trees drowned in a lake formed when a landslide impounded a stream
#--------------------
# Publication
#   Authors: Struble, William T.; Joshua J. Roering; Bryan A. Black; William J. Burns; Nancy Calhoun; Logan Wetherell
#   Published_Date_or_Year: 2020
#   Published_Title: Dendrochronological dating of landslides in western Oregon: Searching for signals of the Cascadia A.D. 1700 earthquake
#   Journal_Name: Missing Journal Name
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1130/B35269.1
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors: Struble, William T.; Joshua J. Roering; William J. Burns; Nancy C. Calhoun; Logan R. Wetherell; Bryan A. Black
#   Published_Date_or_Year: 2021
#   Published_Title: The Preservation of Climate‐Driven Landslide Dams in Western Oregon
#   Journal_Name: J. Geophys. Res. Earth Surf.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1029/2020JF005908
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: United States Geological Survey National Earthquake Hazard Reduction Program
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Wasson
#   Location: Oregon
#   Northernmost_Latitude: 43.748
#   Southernmost_Latitude: 43.748
#   Easternmost_Longitude: -123.795
#   Westernmost_Longitude: -123.795
#   Elevation_m: 265
#--------------------
# Data_Collection
#   Collection_Name: OR128
#   First_Year: 1605
#   Last_Year: 1819
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## WAS01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WAS01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WAS01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WAS01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WAS01C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WAS01C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WAS02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WAS02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WAS02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WAS02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WAS03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WAS03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WAS03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WAS03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	WAS01A_raw	WAS01B_raw	WAS01C_raw	WAS02A_raw	WAS02B_raw	WAS03A_raw	WAS03B_raw
1705	2.5	2.47	2.61	3.3	3.35	1.89	2.04
1706	2.5	2.3	2.2	3.23	3.14	2	2
1707	2.85	2.75	2.42	3.38	3.18	1.99	1.94
1708	4.06	3.77	2.97	3.39	3.35	1.99	1.85
1709	4.03	3.81	3.15	2.35	2.35	2.63	2.12
1710	2.98	2.75	2.43	2.52	2.67	2.51	2.21
1711	3.54	2.71	2.03	3.34	3.34	2.01	2.03
1712	4.28	3.21	3.55	3.26	3.41	2.11	2.39
1713	2.07	2.56	2.6	3.83	3.98	1.99	2.13
1714	2.09	3.09	3.06	3.84	4.03	3.03	3.06
1715	2.36	3.43	3.13	2.86	2.86	2.71	2.69
1716	2.43	2.88	2.73	3.68	3.39	2.23	2.03
1717	2.12	2.14	1.91	2.65	2.53	1.9	1.74
1718	2.2	2.14	1.92	2.05	2.15	1.77	1.71
1719	2.82	3.16	2.89	2.42	2.47	2.29	2.06
1720	2.43	2.6	2.36	2.11	2.2	2.41	1.69
1721	3.26	3.77	3.95	2.71	2.78	2.72	2.03
1722	3.17	2.61	2.54	2.74	2.91	2.54	2.21
1723	3.34	2.64	3.11	3.16	3.31	3.05	2.4
1724	3.05	2.49	2.91	2.62	2.66	2.91	2.22
1725	2.13	1.61	1.57	1.85	1.79	2.73	2.04
1726	2.16	1.37	1.3	2.23	2.11	1.9	1.44
1727	2.73	1.16	1.21	2.84	2.87	2.18	1.58
1728	3.03	1.23	1.61	2.57	2.49	1.68	1.35
1729	2.64	1.79	1.44	2.66	2.52	1.99	1.68
1730	1.95	1.65	1.85	1.83	1.73	1.11	1.1
1731	2.62	2.13	2.41	2.83	2.97	0.97	0.9
1732	3.22	2.82	3.04	2.97	2.92	1.27	1.16
1733	2.85	2.7	2.61	2.27	2.17	1.64	1.43
1734	2.32	2.06	2.18	2.07	2.01	1.19	1.2
1735	2.88	2.44	2.39	2.24	2.29	1.59	1.59
1736	2.6	2.06	2.07	2.43	2.48	1.39	1.2
1737	2.07	1.51	1.91	2.57	2.83	1.19	1.03
1738	3.26	2.65	3.06	3.41	3.16	1.49	1.3
1739	1.42	1.27	1.3	1.55	1.48	0.66	0.62
1740	1.85	1.4	1.58	1.07	1.08	0.81	0.8
1741	1.8	1.43	1.47	1.93	1.91	0.73	0.78
1742	1.49	1.34	1.27	2	1.93	0.69	0.72
1743	1.84	1.6	1.54	2.9	2.85	0.87	0.84
1744	2.24	1.97	1.87	2.61	2.6	1.17	0.87
1745	2.07	1.76	1.82	2.13	2.1	1.15	0.87
1746	2.51	2.25	2.1	1.68	1.75	1.29	1.18
1747	3.06	2.6	2.4	2.2	2.4	1.99	1.38
1748	3.29	3.07	2.75	2.21	2.46	2.31	1.75
1749	3.06	2.85	2.67	2.54	2.77	2.31	1.68
1750	3.28	2.45	2.79	2.01	2.1	2.24	1.54
1751	2.62	2.54	2.97	2.1	2.18	1.47	1.28
1752	1.89	1.76	1.89	1.23	1.29	1.15	0.99
1753	1.76	2.04	1.85	1.38	1.25	1.05	0.87
1754	1.76	2.24	2.57	1.2	1.15	0.91	0.78
1755	2.38	2.96	3.37	2.01	2	0.95	1.03
1756	1.83	2.16	2.62	2.42	2.51	0.82	1.02
1757	1.46	2.16	2.75	2.68	2.84	0.94	1.15
1758	1.87	2.52	3.2	2.51	2.79	1.22	1.22
1759	1.93	2.3	2.66	1.8	2.02	1.08	1.04
1760	2.1	2.65	2.61	1.39	1.41	1.26	1.32
1761	2.3	2.88	3.48	2.41	2.19	1.45	1.44
1762	2.52	2.84	3.33	3.22	2.48	1.41	1.37
1763	2.11	2.32	2.39	2.31	2.1	1.34	1.18
1764	2.02	2.01	2.24	1.96	1.83	1.04	1.09
1765	1.58	1.62	1.82	1.83	1.62	0.99	1
1766	2.07	2.08	2.59	1.96	1.68	1.12	1.02
1767	1.44	1.54	2.16	1.65	1.8	0.91	0.73
1768	1.28	1.22	1.67	1.51	1.6	0.78	0.78
1769	1.09	0.93	1.41	1.47	1.52	0.89	0.77
1770	1.42	1.47	1.92	1.75	1.85	0.93	0.85
1771	1.43	1.2	1.93	2.11	2.2	0.69	0.77
1772	1.37	1.26	1.98	1.61	1.73	0.43	0.43
1773	1.89	2	2.8	2.56	2.84	0.71	0.79
1774	1.87	2.08	2.6	3.27	3.48	0.8	0.75
1775	1.19	1.39	1.58	2.82	2.95	0.6	0.5
1776	1.47	1.73	1.91	2.71	2.69	0.53	0.39
1777	1.3	1.5	1.96	1.75	1.73	0.61	0.4
1778	1.58	1.63	1.96	2	2.1	0.58	0.58
1779	1.66	1.61	1.97	1.65	1.73	0.63	0.53
1780	1.76	1.87	2.32	1.72	1.6	0.68	0.62
1781	1.84	1.77	2.09	2.16	1.9	0.81	0.82
1782	1.4	1.64	1.97	2.48	2.21	0.8	0.7
1783	1.55	1.68	1.98	2.15	1.95	0.74	0.67
1784	1.24	1.37	1.62	1.24	1.2	0.63	0.63
1785	1.16	1.43	1.8	1.32	1.28	0.59	0.61
1786	1.17	1.37	1.77	1.08	1.08	0.5	0.56
1787	0.84	1.06	1.13	0.83	0.82	0.32	0.4
1788	1.27	1.68	1.47	1.16	1.2	0.39	0.62
1789	0.94	1.07	0.97	1.07	1.04	0.35	0.45
1790	0.93	1	0.93	0.98	0.91	0.44	0.48
1791	0.59	0.52	0.44	0.79	0.74	0.36	0.44
1792	1.08	1.17	1.29	1.4	1.25	0.28	0.32
1793	1.32	1.65	1.39	1.42	1.42	0.25	0.33
1794	0.97	1.35	1.27	1.44	1.4	0.28	0.4
1795	0.94	1.12	1.11	1.43	1.35	0.38	0.45
1796	1.04	1.33	1.41	1.44	1.32	0.37	0.21
1797	0.83	0.98	1.07	0.93	0.89	0.34	0.29
1798	1.06	1.31	1.48	1.23	1.26	0.49	0.39
1799	0.64	0.87	1	1.02	0.9	0.57	0.29
1800	1.84	2.14	2.28	2.36	2.44	0.69	0.43
1801	2.22	2.44	2.66	2.83	2.96	1.16	0.91
1802	1.56	1.7	1.92	2.58	2.46	1.65	1.09
1803	1.95	2.03	2.31	2.14	2.02	1.96	1.2
1804	2.26	2.33	2.85	1.78	1.82	1.7	1.44
1805	2.89	2.58	3.08	2.2	2.07	1.64	1.63
1806	2.3	2.23	2.55	1.7	1.71	1.41	1.13
1807	2.35	2.31	2.78	1.72	1.55	1.61	1.34
1808	2.22	1.79	2.4	1.78	1.72	2.12	1.91
1809	2.7	2.16	2.59	1.86	1.88	1.94	1.72
1810	2.9	2.31	2.66	1.57	1.48	NA	1.66
1811	2.49	1.8	2.02	1.22	1.21	NA	1.29
1812	2.38	1.77	2.05	1.35	1.42	NA	NA
1813	2.28	1.93	1.98	1.32	1.36	NA	NA
1814	2.59	2.23	1.69	1.74	1.82	NA	NA
1815	2.2	1.88	1.63	1.63	1.67	NA	NA
1816	2.31	2.11	2.09	1.89	1.96	NA	NA
1817	1.92	1.67	1.66	1.78	1.86	NA	NA
1818	1.94	1.74	1.49	1.38	1.48	NA	NA
1819	2.53	2.81	NA	1.36	NA	NA	NA
