# Stahle - Donie - QUST - ITRDB TX043
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4838
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4838.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/tx043-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; tx043-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/tx043.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/tx043.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-21
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-21
#--------------------
# Title
#   Study_Name: Stahle - Donie - QUST - ITRDB TX043
#--------------------
# Investigators
#   Investigators: Stahle, D.W.; Jurney, D.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Donie
#   Location: Texas
#   Northernmost_Latitude: 31.45
#   Southernmost_Latitude: 31.45
#   Easternmost_Longitude: -96.2
#   Westernmost_Longitude: -96.2
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: TX043
#   First_Year: 1691
#   Last_Year: 1874
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus stellata Wangenh.
#   Common_Name: post oak
#   Tree_Species_Code: QUST
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DON01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DON01A_raw	DON02A_raw	DON03A_raw	DON04A_raw	DON05A_raw	DON06A_raw	DON07A_raw	DON08A_raw	DON09A_raw	DON10A_raw
1757	0.69	0.63	0.97	0.68	0.84	0.59	0.74	0.57	NA	0.82
1758	0.67	0.91	1.92	0.78	2.24	0.94	0.71	0.43	NA	0.39
1759	0.74	0.93	2.67	0.87	1.97	0.81	0.86	1	NA	0.52
1760	0.71	0.84	1.99	0.97	1.14	1.17	0.74	0.77	NA	0.57
1761	0.73	0.73	1.45	0.91	1.34	0.69	0.66	1.02	NA	0.66
1762	1.12	0.93	1.15	1.23	1.82	0.66	0.79	1.05	NA	0.81
1763	0.73	0.93	0.98	0.92	1.13	0.47	0.71	1.12	1.83	0.57
1764	0.51	0.83	1.36	0.77	0.88	0.55	0.3	0.6	0.99	0.31
1765	0.68	0.67	1.13	0.98	0.83	0.34	0.71	0.87	0.79	0.35
1766	0.74	0.76	1.21	0.7	1.27	0.47	0.75	0.87	1.23	0.44
1767	0.7	0.87	0.7	0.75	0.95	0.35	0.63	0.66	0.67	0.38
1768	0.62	1.1	0.93	0.87	0.71	0.4	0.61	1.36	1.81	0.43
1769	0.41	0.56	0.8	0.65	0.44	0.29	0.58	0.58	0.6	0.34
1770	0.62	0.98	0.86	0.76	0.77	0.39	0.65	1.19	0.94	0.36
1771	0.64	0.93	0.83	0.79	0.93	0.46	0.61	0.71	1	0.43
1772	0.45	0.58	0.58	0.47	0.38	0.33	0.4	0.5	0.91	0.31
1773	0.57	0.67	0.74	0.63	0.87	0.47	0.72	1.1	1.07	0.53
1774	0.6	0.8	0.63	0.65	1.11	0.36	0.75	1.15	1.61	0.56
1775	0.54	0.6	0.62	0.78	0.83	0.31	0.69	0.75	1.18	0.54
1776	1.04	1	0.74	0.84	1.11	0.34	1.09	1.24	1.63	0.53
1777	0.42	0.62	0.57	0.6	0.37	0.36	0.64	1.17	1.3	0.53
1778	0.7	0.68	0.77	0.63	0.58	0.38	0.48	1.26	1.37	0.79
1779	0.53	0.55	0.61	0.55	0.6	0.33	0.62	0.46	0.53	0.61
1780	0.48	0.67	0.71	0.56	0.29	0.27	0.53	0.76	0.24	0.44
1781	0.86	0.99	1.1	0.54	1.19	0.37	0.95	1.8	0.76	0.46
1782	1.03	0.94	1.14	0.72	1.32	0.53	0.78	1.92	1.56	0.73
1783	0.82	0.73	1.22	0.7	0.4	0.38	0.67	0.83	0.36	0.45
1784	0.76	0.85	1.37	0.74	0.52	0.46	0.8	1.04	0.53	0.37
1785	0.72	0.74	0.8	0.67	0.75	0.31	0.75	1.45	0.75	0.41
1786	0.92	0.92	1.04	0.72	0.82	0.44	0.58	0.99	1.43	0.45
1787	0.74	0.92	1.23	0.8	0.87	0.56	0.67	1.6	0.85	0.55
1788	0.87	1.08	1.03	0.95	0.49	0.78	0.95	1.43	0.96	0.66
1789	0.67	0.58	0.61	0.61	0.36	0.49	0.44	0.89	0.44	0.37
1790	0.44	0.55	0.4	0.39	0.31	0.4	0.49	0.81	0.45	0.41
1791	0.43	0.65	0.64	0.59	0.35	0.38	0.67	0.95	0.68	0.51
1792	0.77	0.84	1.13	0.61	0.58	0.47	0.94	1.2	1.09	0.6
1793	0.34	0.62	0.5	0.45	0.33	0.41	0.54	0.64	0.54	0.5
1794	0.44	0.89	0.86	0.61	0.73	0.73	0.6	1.27	0.65	0.46
1795	0.61	0.93	0.81	0.56	0.65	0.61	0.83	1.6	0.75	0.73
1796	0.65	1.08	1	0.8	1.02	0.86	0.92	1.16	0.48	0.62
1797	0.55	0.87	0.83	0.52	0.86	0.44	0.87	2.31	0.87	0.52
1798	0.56	0.61	0.4	0.64	0.76	0.5	0.58	1.46	0.6	0.47
1799	0.72	1.06	0.73	0.61	0.94	0.6	0.64	1.4	0.94	0.45
1800	0.84	0.89	0.71	0.66	1.17	0.71	0.79	1.16	0.85	0.62
1801	0.59	0.72	0.74	0.64	0.78	0.68	0.57	0.87	0.69	0.46
1802	0.62	0.71	0.88	0.71	0.93	0.73	0.56	0.95	1.1	0.6
1803	1	0.87	1.01	0.67	0.75	0.74	0.92	1.04	1.05	0.73
1804	0.65	0.81	0.86	0.66	0.71	0.93	0.77	0.88	0.81	0.64
1805	0.63	0.65	0.76	0.37	0.44	0.46	0.41	0.45	0.49	0.39
1806	0.68	0.74	0.68	0.52	0.57	0.55	0.48	0.66	0.76	0.91
1807	0.84	0.88	0.82	0.73	0.88	0.65	0.7	0.96	1.2	1.12
1808	0.57	0.7	0.84	0.53	0.64	0.62	0.68	0.85	0.49	0.38
1809	0.71	0.65	0.63	0.7	0.86	0.8	1.14	0.95	0.77	0.71
1810	0.76	0.77	0.59	0.84	0.87	0.9	1.23	1	1.02	0.52
1811	0.57	0.78	1.05	0.57	1.26	0.74	1.17	1.1	1.19	0.9
1812	0.94	0.75	0.69	0.63	0.96	0.9	0.84	0.87	1.32	0.62
1813	0.76	0.66	0.76	0.64	0.85	0.96	0.93	0.95	1.03	0.48
1814	0.91	0.73	0.63	0.94	0.69	0.58	1.04	0.61	1.01	0.38
1815	0.72	0.62	0.68	0.55	1.22	0.37	0.89	0.72	0.67	0.58
1816	0.81	0.68	0.65	0.67	1.22	0.52	0.92	0.79	0.73	0.6
1817	0.58	0.85	0.39	0.4	1.04	0.44	0.69	0.48	0.6	0.57
1818	0.78	0.85	0.33	0.53	0.85	0.56	1.1	0.82	0.88	0.59
1819	0.6	0.66	0.47	0.79	0.94	0.54	0.51	0.82	0.88	0.42
1820	0.44	0.94	0.42	0.54	0.73	0.61	0.53	0.8	0.8	0.46
1821	0.56	0.77	0.4	0.62	0.6	0.48	0.68	0.66	0.93	0.43
1822	0.48	0.66	0.3	0.38	0.48	0.33	0.53	0.64	0.73	0.36
1823	0.36	0.67	0.34	0.68	0.71	0.5	0.77	0.54	0.88	0.32
1824	0.67	0.55	0.25	0.48	0.63	0.44	0.51	0.5	0.58	0.3
1825	0.66	0.74	0.62	0.61	0.64	0.72	0.69	0.62	0.89	0.24
1826	0.47	0.61	0.51	0.53	0.41	0.52	0.73	0.6	1.31	0.36
1827	0.51	0.41	0.36	0.59	0.51	0.79	0.87	0.46	1.09	0.36
1828	0.51	0.7	0.3	0.48	0.52	0.91	0.51	0.61	0.99	0.32
1829	0.43	0.61	0.32	0.56	0.48	0.73	0.67	0.53	0.93	0.35
1830	0.53	0.6	0.3	0.46	0.58	0.62	0.4	0.46	0.82	0.29
1831	0.62	0.54	0.2	0.57	0.62	0.54	0.67	0.59	1.05	0.45
1832	0.68	0.71	0.39	0.67	0.84	0.55	0.73	0.69	1.12	0.42
1833	0.85	1.04	0.36	0.87	1.06	0.78	0.85	0.59	1.53	0.59
1834	0.67	0.71	0.36	0.68	0.72	0.68	0.87	0.64	1.22	0.6
1835	0.46	0.58	0.28	0.37	0.36	0.45	0.47	0.39	0.8	0.34
1836	0.85	0.77	0.36	0.88	0.83	0.98	0.68	0.63	1.66	0.44
1837	0.79	0.5	0.34	0.6	0.7	0.53	0.63	0.65	1.45	0.39
1838	0.53	0.71	0.41	0.68	0.75	0.64	0.79	0.79	1.17	0.41
1839	0.45	0.65	0.32	0.59	0.49	0.49	0.58	0.43	1.22	0.45
1840	0.53	0.65	0.43	0.61	0.6	0.59	0.65	0.66	1.14	0.44
1841	0.46	0.55	0.33	0.53	0.39	0.55	0.66	0.46	0.85	0.37
1842	0.48	0.59	0.36	0.49	0.44	0.45	0.41	0.44	0.63	0.32
1843	0.66	0.62	0.51	0.79	1.23	0.72	1.06	0.64	1.3	0.53
1844	0.62	0.49	0.3	0.61	0.4	0.47	0.56	0.33	0.74	0.47
1845	0.61	0.54	0.36	0.63	0.56	0.81	0.62	0.4	0.72	0.43
1846	0.84	0.62	0.45	0.88	0.69	0.78	0.6	0.57	1.07	0.45
1847	0.44	0.65	0.33	0.45	0.36	0.93	0.42	0.53	0.78	0.33
1848	0.57	0.59	0.47	0.43	0.4	0.81	0.37	0.52	0.91	0.41
1849	0.9	0.71	0.52	0.67	0.66	0.97	0.6	0.83	1.32	0.38
1850	1	0.77	0.28	0.76	1.17	0.72	0.63	1.01	1.13	0.36
1851	0.69	0.83	0.43	0.83	0.7	0.84	0.67	0.67	0.98	0.52
1852	0.76	0.72	0.43	0.74	0.65	0.83	0.81	0.76	1.2	0.36
1853	0.5	0.72	0.22	0.51	0.49	0.55	0.71	0.74	1	0.4
1854	0.64	0.63	0.42	0.53	0.7	0.73	0.4	0.6	1.01	0.39
1855	0.31	0.49	0.31	0.38	0.34	0.48	0.29	0.51	0.54	0.39
1856	0.61	0.77	0.45	0.64	0.65	0.89	0.75	0.73	0.36	0.37
1857	0.5	0.53	0.45	0.53	0.31	0.33	0.4	0.44	0.67	0.42
1858	0.48	0.56	0.33	0.63	0.72	0.71	0.71	0.71	0.56	0.34
1859	0.46	0.57	0.3	0.51	0.58	0.55	0.52	0.53	0.88	0.4
1860	0.49	1	0.47	0.37	0.56	0.45	0.62	0.49	1.29	0.45
1861	NA	NA	0.31	0.69	0.72	0.6	0.72	0.52	0.91	0.5
1862	NA	NA	0.41	0.42	0.4	0.47	0.53	0.36	0.71	0.39
1863	NA	NA	0.41	0.49	0.65	0.65	0.66	0.59	0.85	0.45
1864	NA	NA	0.6	0.53	0.36	0.48	0.49	0.45	0.81	0.42
1865	NA	NA	0.49	0.48	0.67	0.63	0.52	0.45	1.11	0.38
1866	NA	NA	0.54	0.75	0.81	0.62	0.57	0.52	1.37	0.5
1867	NA	NA	0.72	0.85	1.6	1.12	0.87	0.86	2.14	0.85
1868	NA	NA	NA	NA	1	1.08	0.74	0.61	1.5	0.63
1869	NA	NA	NA	NA	1.2	0.73	0.97	0.69	1.62	0.46
1870	NA	NA	NA	NA	0.99	NA	0.52	0.68	1.47	0.44
1871	NA	NA	NA	NA	1.52	NA	0.82	NA	1.31	0.61
1872	NA	NA	NA	NA	0.96	NA	0.91	NA	0.97	NA
1873	NA	NA	NA	NA	NA	NA	1.47	NA	0.97	NA
1874	NA	NA	NA	NA	NA	NA	2.12	NA	NA	NA
