# Wyse - Good Harbor Plains - PPGR - ITRDB MI012
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5354
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5354.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi012-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; mi012-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi012.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/mi012.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-09-14
#--------------------
# File_Last_Modified_Date
#   Date: 2005-09-14
#--------------------
# Title
#   Study_Name: Wyse - Good Harbor Plains - PPGR - ITRDB MI012
#--------------------
# Investigators
#   Investigators: Wyse, T.C.; Goebel, P.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Good Harbor Plains
#   Location: Michigan
#   Northernmost_Latitude: 44.93
#   Southernmost_Latitude: 44.93
#   Easternmost_Longitude: -85.85
#   Westernmost_Longitude: -85.85
#   Elevation_m: 188
#--------------------
# Data_Collection
#   Collection_Name: MI012
#   First_Year: 1890
#   Last_Year: 2002
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Populus grandidentata Michx.
#   Common_Name: bigtooth aspen
#   Tree_Species_Code: PPGR
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 86-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 86-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 68-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 68-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 82-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 82-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 50-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 50-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 83-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 83-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	86-1_raw	68-1_raw	82-2_raw	50-1_raw	83-2_raw
1988	2.12	0.46	0.34	0.28	0.23
1989	2.35	0.72	0.87	0.53	0.28
1990	3.41	1.06	1.31	0.53	0.17
1991	3.58	1.23	0.72	0.21	0.17
1992	3.7	1.65	1.14	0.4	0.19
1993	4.53	1.57	0.84	0.4	0.32
1994	4.57	1.44	0.98	0.53	0.34
1995	3.64	1.73	0.68	0.3	0.47
1996	3.85	1.4	0.68	0.65	0.42
1997	2.5	1.65	0.59	0.51	0.44
1998	4.34	2.37	1.51	0.68	0.55
1999	2.75	1.4	0.97	0.55	0.51
2000	1.29	1.1	1.29	0.59	0.38
2001	0.89	0.89	1.14	0.63	0.55
2002	2.07	0.81	1.4	0.59	0.59
