# Stahle - Chaney Log House - QUSP - ITRDB AR062
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4828
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4828.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ar062-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ar062-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ar062.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ar062.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-08-25
#--------------------
# File_Last_Modified_Date
#   Date: 2005-08-25
#--------------------
# Title
#   Study_Name: Stahle - Chaney Log House - QUSP - ITRDB AR062
#--------------------
# Investigators
#   Investigators: Stahle, D.W.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Chaney Log House
#   Location: Arkansas
#   Northernmost_Latitude: 36.2
#   Southernmost_Latitude: 36.2
#   Easternmost_Longitude: -93.13
#   Westernmost_Longitude: -93.13
#   Elevation_m: 400
#--------------------
# Data_Collection
#   Collection_Name: AR062
#   First_Year: 1620
#   Last_Year: 1866
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## cny02c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny02c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cny02a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny02a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cny02b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny02b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cny01a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny01a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cny01b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny01b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cny03a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny03a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cny04a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny04a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cny05a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny05a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cny06a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny06a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cny07a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny07a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	cny02c_raw	cny02a_raw	cny02b_raw	cny01a_raw	cny01b_raw	cny03a_raw	cny04a_raw	cny05a_raw	cny06a_raw	cny07a_raw
1688	0.61	0.65	0.51	0.38	0.49	0.77	0.89	0.56	NA	NA
1689	0.66	0.9	0.56	0.47	0.39	0.8	0.91	0.55	NA	NA
1690	0.86	1	0.7	0.52	0.44	0.41	1.15	0.63	NA	NA
1691	0.75	0.91	0.69	0.45	0.37	0.67	0.82	0.31	NA	NA
1692	0.9	0.95	0.54	0.5	0.35	1.04	0.71	0.63	NA	NA
1693	0.63	0.73	0.42	0.39	0.31	0.94	0.69	0.79	NA	NA
1694	1.37	1.13	0.82	0.75	0.59	1.4	0.97	1.09	NA	NA
1695	1.29	1.12	0.69	0.6	0.65	1.33	0.83	1.13	NA	NA
1696	1.15	1.04	0.69	0.64	0.65	1.05	0.75	0.91	NA	NA
1697	0.99	0.85	0.63	0.49	0.44	0.78	0.78	0.66	NA	NA
1698	1.04	0.9	0.63	0.5	0.4	0.96	0.84	0.72	NA	NA
1699	1.2	1.21	0.76	0.45	0.52	1.04	0.64	0.63	NA	NA
1700	1.01	1.09	0.82	0.42	0.35	0.86	0.54	0.75	NA	NA
1701	1.3	1.17	1.14	0.54	0.55	0.9	0.76	0.72	NA	NA
1702	1.17	1.24	0.91	0.39	0.41	0.95	0.63	0.7	NA	NA
1703	0.88	0.87	0.56	0.41	0.4	0.76	0.58	0.63	NA	NA
1704	0.83	0.93	1.2	0.51	0.47	0.83	0.56	0.59	NA	NA
1705	0.68	0.75	0.44	0.43	0.42	0.79	0.4	0.69	NA	NA
1706	0.8	0.79	0.7	0.57	0.55	0.66	0.53	0.57	NA	NA
1707	1.1	1.05	1.04	0.91	0.88	0.82	0.58	0.56	NA	NA
1708	0.74	0.8	0.66	0.56	0.53	0.62	0.55	0.54	NA	NA
1709	0.89	0.75	0.68	0.66	0.58	0.98	1.02	0.54	NA	NA
1710	0.82	0.86	0.84	0.72	0.55	0.99	0.54	0.62	NA	NA
1711	0.74	0.78	0.65	0.83	0.66	0.94	0.29	0.66	NA	NA
1712	0.9	0.98	0.98	0.84	0.76	0.9	0.39	0.75	NA	NA
1713	1.09	1.17	0.98	1.04	0.59	0.94	0.33	0.85	NA	NA
1714	0.92	0.97	1.07	1.07	0.9	0.84	0.46	0.72	NA	NA
1715	0.9	0.97	0.99	1.13	0.98	0.77	0.39	0.63	NA	NA
1716	1.42	1.49	1.53	1.62	1.43	1.41	0.52	1.31	NA	NA
1717	0.96	1.22	1.18	1.25	1.12	1.05	0.41	0.87	NA	NA
1718	0.96	0.73	0.8	1	0.95	0.95	0.53	0.7	NA	NA
1719	0.75	0.87	0.59	1.19	0.83	0.83	0.38	0.64	NA	NA
1720	0.77	0.68	0.73	0.87	0.77	0.84	0.45	0.62	NA	NA
1721	0.75	0.79	0.66	0.77	0.6	0.83	0.43	0.61	NA	NA
1722	0.65	0.63	0.69	0.58	0.6	0.63	0.33	0.46	NA	NA
1723	0.86	1.05	1.01	0.64	0.66	0.62	0.36	0.54	NA	NA
1724	1.02	0.92	1.04	0.91	0.75	0.61	0.46	0.48	NA	NA
1725	1.07	0.87	1.19	0.8	0.72	0.49	0.37	0.54	NA	NA
1726	1	0.87	1	0.92	0.86	0.45	0.37	0.42	NA	NA
1727	0.83	0.7	0.93	0.74	0.71	0.41	0.27	0.46	NA	NA
1728	0.82	0.66	0.8	0.72	0.62	0.52	0.26	0.49	NA	NA
1729	1.14	0.91	1.11	0.77	0.74	0.65	0.4	0.62	NA	NA
1730	0.91	0.88	1.03	0.69	0.74	0.63	0.5	0.56	NA	NA
1731	0.92	0.93	1.04	0.65	0.72	0.73	0.4	0.68	1.07	NA
1732	1.22	1.03	1.18	0.74	0.72	0.61	0.52	0.67	1.91	NA
1733	1.36	1.43	1.3	0.88	0.8	0.7	0.59	0.58	1.77	NA
1734	1.47	1.3	1.4	0.92	0.88	0.5	0.59	0.5	1.79	NA
1735	1.23	1.27	1.38	0.8	0.95	0.53	0.68	0.53	1.01	NA
1736	0.61	0.63	0.6	0.56	0.53	0.37	0.37	0.38	0.66	NA
1737	0.83	0.77	0.91	0.61	0.57	0.3	0.43	0.44	2	NA
1738	1	0.77	0.76	0.6	0.64	0.52	0.49	0.52	1.97	NA
1739	0.98	0.84	0.92	0.54	0.69	0.66	0.64	0.56	1.17	NA
1740	1.04	1.01	1.23	0.95	1.03	0.76	0.9	0.98	1.47	NA
1741	1.25	0.9	1.05	0.99	1.09	0.86	0.78	0.77	0.92	NA
1742	1.09	0.61	0.76	0.65	0.73	0.68	0.57	0.6	0.62	NA
1743	1.07	0.9	0.89	0.66	0.92	0.84	0.54	0.68	0.42	NA
1744	1.48	1.2	1.33	0.75	0.98	0.7	0.68	0.58	0.98	NA
1745	1.51	1.42	1.46	1.24	1.41	0.9	0.76	0.86	1.03	NA
1746	1.25	1.02	1.09	0.99	1.03	0.98	0.72	0.88	0.93	NA
1747	1.32	1.18	1.23	0.92	1.12	0.94	0.72	0.68	0.98	NA
1748	1.08	0.73	0.73	0.8	0.76	0.55	0.62	0.54	0.48	NA
1749	1.16	1.09	1.05	0.87	0.92	0.65	0.59	0.53	0.65	NA
1750	1.66	1.42	1.39	1.04	1.23	0.69	0.9	0.87	0.95	NA
1751	1.98	1.68	1.67	1.27	1.29	0.68	0.83	0.8	0.8	NA
1752	1.32	1.05	1.01	0.97	0.93	0.72	0.69	0.83	0.75	NA
1753	1.35	1.19	0.93	0.98	0.84	0.59	0.37	0.55	0.73	NA
1754	1	1.02	1.32	1.05	0.98	0.65	0.35	0.41	1.08	NA
1755	1.14	1.03	1.06	0.76	0.82	0.62	0.44	0.61	0.77	NA
1756	1.24	0.89	0.89	0.86	0.91	0.63	0.4	0.62	0.6	NA
1757	1.28	0.94	0.81	0.8	0.91	0.71	0.4	0.58	0.7	NA
1758	1.32	1.03	0.97	0.77	1.02	0.61	0.39	0.51	0.69	NA
1759	1.18	0.98	0.9	0.85	0.94	0.53	0.35	0.35	0.95	NA
1760	1.64	1.13	1.17	1.04	1.17	0.77	0.53	0.59	1.15	NA
1761	1.53	1.42	1.22	1.21	1.22	0.63	0.42	0.61	1.22	NA
1762	0.83	0.93	0.77	0.72	0.95	0.46	0.34	0.45	0.55	NA
1763	1.03	1.01	0.62	0.92	1.07	0.57	0.48	0.52	0.79	0.84
1764	1.32	1.34	0.9	1.25	1.25	0.57	0.54	0.57	0.92	1.04
1765	1.1	1.37	0.89	1.04	1.18	0.48	0.47	0.47	0.83	0.83
1766	0.85	1.03	0.86	1.11	1.22	0.48	0.48	0.62	0.8	0.71
1767	0.93	0.97	0.7	0.83	0.78	0.4	0.39	0.41	0.42	0.46
1768	0.77	0.94	0.78	0.82	0.98	0.6	0.32	0.41	0.56	0.83
1769	1.11	1.43	0.96	0.95	1	0.55	0.43	0.49	0.8	0.98
1770	1.01	0.93	0.7	1.01	0.97	0.42	0.34	0.48	0.93	0.79
1771	1.06	1.24	0.83	1	1.08	0.58	0.47	0.54	0.6	0.95
1772	0.93	0.86	0.86	0.82	0.77	0.45	0.51	0.43	0.74	0.54
1773	0.85	0.93	0.75	0.74	0.73	0.38	0.37	0.34	0.29	0.3
1774	0.91	0.79	0.79	0.83	0.91	0.51	0.45	0.38	0.24	0.28
1775	0.84	1.02	0.79	1.02	1.14	0.47	0.48	0.42	0.54	0.38
1776	0.88	0.98	0.84	0.91	0.99	0.35	0.74	0.37	0.72	0.67
1777	1.21	0.99	0.88	1.26	1.17	0.56	0.48	0.43	0.9	0.71
1778	0.88	0.94	1.09	1.23	1.14	0.51	0.6	0.47	0.8	0.71
1779	0.88	0.9	0.79	0.81	0.9	0.84	0.61	0.39	0.87	0.86
1780	0.86	0.84	0.88	1.11	0.97	0.47	0.49	0.41	0.76	0.8
1781	1	1.06	0.98	1.21	1.12	0.45	0.47	0.42	0.97	0.85
1782	1.04	0.95	0.93	1.06	1.17	0.54	0.54	0.47	0.83	0.61
1783	1.01	1.13	0.98	1.06	1.17	0.63	0.52	0.46	0.95	0.92
1784	0.69	NA	0.75	1.04	1	0.51	0.47	0.37	0.75	0.52
1785	0.63	NA	0.6	0.99	0.88	0.48	0.44	0.41	0.49	0.47
1786	0.55	NA	0.75	1.05	0.97	0.47	0.33	0.31	0.76	0.58
1787	0.63	NA	0.76	1.15	1.22	0.51	0.31	0.41	1.09	0.93
1788	0.61	NA	0.76	1.26	1.15	0.54	0.48	0.41	1.36	0.88
1789	0.71	NA	0.85	1.1	1.06	0.51	0.35	0.46	1.1	0.88
1790	0.68	NA	0.88	1.23	1.4	0.4	0.41	0.41	1.31	0.89
1791	0.69	NA	0.82	1.09	1.21	0.57	0.51	0.48	0.97	0.86
1792	0.7	NA	0.75	1.12	1.12	0.58	0.46	0.49	0.63	0.63
1793	0.69	NA	0.82	1.1	1	0.49	0.41	0.37	0.61	0.77
1794	0.58	NA	0.57	1.06	1.09	0.43	0.47	0.43	0.51	0.77
1795	0.74	NA	0.75	1.27	1.2	0.64	0.47	0.44	0.71	0.91
1796	0.66	NA	0.72	0.92	0.85	0.5	0.38	0.36	0.47	0.59
1797	0.7	NA	0.77	1.12	1.27	0.43	0.42	0.38	0.76	0.81
1798	0.69	NA	0.68	1.1	0.96	0.49	0.34	0.44	1.01	0.83
1799	0.69	NA	0.67	1.06	0.93	0.48	0.57	0.46	0.64	0.6
1800	0.62	NA	0.55	1.07	1.18	0.37	0.36	0.47	0.62	0.65
1801	0.49	NA	0.35	0.85	0.91	0.38	0.37	0.37	0.48	0.49
1802	0.75	NA	0.63	1.14	1.12	0.44	0.5	0.42	1.01	1.02
1803	0.74	NA	0.56	0.75	0.77	0.34	0.51	0.36	0.66	0.71
1804	0.83	NA	0.48	0.84	0.87	0.39	0.53	0.37	0.97	0.8
1805	0.88	NA	0.62	1.06	0.88	0.37	0.55	0.36	1.17	0.91
1806	0.84	NA	0.63	1.06	0.79	0.46	0.33	0.34	1.04	0.96
1807	0.8	NA	0.63	1.13	0.85	0.41	0.37	0.41	1.26	0.99
1808	0.77	NA	0.57	1.06	0.85	0.43	0.33	0.46	1.13	1.03
1809	0.69	NA	0.55	0.8	0.72	0.43	0.58	0.45	0.9	0.87
1810	0.73	NA	0.68	0.92	0.7	0.38	0.43	0.34	0.84	0.81
1811	0.86	NA	0.58	1.08	0.98	0.39	0.56	0.47	1.01	1.04
1812	1	NA	0.56	0.87	0.75	0.31	0.4	0.3	0.51	0.55
1813	1.12	NA	0.45	0.91	0.83	0.37	0.44	0.26	0.6	0.54
1814	0.9	NA	0.55	0.7	0.72	0.29	0.52	0.31	0.65	0.58
1815	0.7	NA	0.35	0.76	0.61	0.16	0.15	0.22	0.37	0.33
1816	0.59	NA	0.44	0.8	0.68	0.21	0.41	0.21	0.56	0.5
1817	0.54	NA	0.53	0.74	0.63	0.18	0.21	0.27	0.59	0.55
1818	0.76	NA	0.52	0.81	0.75	0.22	0.61	0.23	0.43	0.63
1819	0.68	NA	0.58	0.92	0.89	0.2	0.34	0.33	0.34	0.91
1820	0.78	NA	0.65	1.07	0.81	0.27	0.54	0.3	0.46	1.08
1821	0.74	NA	0.59	1.08	0.88	0.38	0.59	0.38	0.39	0.96
1822	0.77	NA	0.68	0.95	0.95	0.16	0.65	0.33	0.49	0.94
1823	0.75	NA	0.6	1.2	1.01	0.15	0.46	0.4	0.44	0.91
1824	0.78	NA	0.65	1.11	1	0.33	0.49	0.41	0.73	0.93
1825	0.74	NA	0.6	1.15	1.01	0.35	0.51	0.32	0.72	0.93
1826	0.94	NA	0.56	1	0.86	0.55	0.72	0.56	0.84	1
1827	0.82	NA	0.63	0.91	0.9	0.49	0.9	0.42	0.46	0.81
1828	0.73	NA	0.6	0.96	0.74	0.38	0.58	0.49	0.71	0.98
1829	0.63	NA	0.68	1.04	0.88	0.41	0.73	0.38	0.72	1.04
1830	0.77	NA	0.62	0.87	0.75	0.45	0.73	0.39	0.73	1
1831	0.75	NA	0.67	1.01	0.87	0.42	0.82	0.45	0.79	1.04
1832	0.61	NA	0.53	0.89	0.85	0.47	0.51	0.43	0.63	0.83
1833	0.75	NA	0.59	1.13	0.98	0.47	0.61	0.48	0.8	1.05
1834	0.54	NA	0.4	0.77	NA	0.47	0.48	0.31	0.6	0.73
1835	0.64	NA	0.45	0.92	NA	0.52	0.45	0.44	0.5	0.65
1836	0.79	NA	0.58	1.11	NA	0.5	0.7	0.42	0.84	1.04
