# Miles - First Parish Church, Groton - QUSP - ITRDB MA009
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4028
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4028.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma009-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ma009-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma009.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ma009.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-07-12
#--------------------
# File_Last_Modified_Date
#   Date: 2007-07-12
#--------------------
# Title
#   Study_Name: Miles - First Parish Church, Groton - QUSP - ITRDB MA009
#--------------------
# Investigators
#   Investigators: Miles, D.W.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: First Parish Church, Groton
#   Location: Massachusetts
#   Northernmost_Latitude: 42.62
#   Southernmost_Latitude: 42.62
#   Easternmost_Longitude: -71.58
#   Westernmost_Longitude: -71.58
#   Elevation_m: 15
#--------------------
# Data_Collection
#   Collection_Name: MA009
#   First_Year: 1598
#   Last_Year: 1753
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## gcg1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg2a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg2a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg2b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg2b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg5_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg5; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg7_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg7; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg8_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg8; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg9_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg9; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg12a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg12a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg12b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg12b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	gcg1_raw	gcg2a_raw	gcg2b_raw	gcg3_raw	gcg4_raw	gcg5_raw	gcg7_raw	gcg8_raw	gcg9_raw	gcg12a_raw	gcg12b_raw
1663	1.59	0.97	1.22	1.5	NA	1.47	1.84	0.85	1.46	NA	NA
1664	1.34	1.11	1.29	1.37	NA	0.97	1.25	0.7	1.03	NA	NA
1665	1.23	0.69	0.73	1.31	NA	0.72	1.05	0.44	0.72	NA	NA
1666	1.15	0.69	0.75	1.04	NA	0.58	0.74	0.41	0.62	NA	NA
1667	1.28	0.76	0.97	1.22	NA	0.58	0.97	0.49	0.48	NA	NA
1668	1.34	0.96	1.22	1.23	NA	0.72	0.98	0.57	0.54	NA	NA
1669	1.79	1.72	1.93	1.45	NA	1.11	1.33	0.6	0.81	NA	NA
1670	1.33	1.7	1.87	1.36	NA	1.35	1.36	0.66	0.81	NA	NA
1671	1.38	1.62	1.41	1.22	NA	1.55	1.04	0.58	0.87	NA	NA
1672	1.52	2.05	2.1	1.55	NA	1.81	1.94	0.7	1.27	NA	NA
1673	1.44	1.84	2.11	1.51	NA	2.1	1.91	0.69	1.13	NA	NA
1674	1.68	1.86	2.04	1.36	NA	2.13	1.88	0.65	1.12	NA	NA
1675	1.54	1.29	2.16	1.47	NA	1.62	1.66	0.72	1.08	NA	NA
1676	1.58	1.47	1.73	1.41	NA	1.69	1.78	0.84	1	NA	NA
1677	1.23	1.45	1.8	1.26	NA	1.75	1.58	0.9	0.96	NA	NA
1678	1.2	1.5	1.7	1.16	NA	1.93	1.7	0.79	0.92	NA	NA
1679	1.27	1.57	1.62	1.29	NA	1.55	1.81	0.93	1.08	NA	NA
1680	1.17	1.48	1.69	1.04	NA	1.76	1.88	0.95	1.16	NA	NA
1681	1.31	1.05	1.16	1.01	NA	1.11	1.44	0.77	0.89	NA	NA
1682	1.47	1.38	1.48	1.39	2.13	1.41	1.98	1.05	1.27	NA	NA
1683	1.52	1.36	1.75	1.31	2.08	1.49	1.84	1.04	1.05	NA	NA
1684	1.21	1.38	1.68	1.22	1.96	1.41	1.12	0.97	1.1	NA	NA
1685	1.38	1.04	1.01	1.26	1.97	1.04	0.94	0.76	0.91	NA	NA
1686	1.17	1	1.05	1.04	1.63	0.76	0.88	0.65	0.77	NA	NA
1687	0.95	0.73	1.02	0.83	1.14	0.56	0.72	0.68	0.52	NA	NA
1688	0.91	0.91	0.98	0.77	0.95	0.61	0.67	0.85	0.47	NA	NA
1689	1.05	0.94	1.13	0.86	0.94	0.54	0.69	0.98	0.55	NA	NA
1690	0.96	1.21	1.33	0.84	1.79	0.62	0.9	1.11	0.63	NA	NA
1691	1.01	1.2	1.45	1.04	2.22	0.77	0.98	0.87	0.69	NA	NA
1692	0.98	1.25	1.3	0.87	2.62	1.11	1.05	0.76	0.76	NA	NA
1693	1.14	1.41	1.41	0.98	2.95	1.05	1.34	0.81	0.7	NA	NA
1694	1.36	1.44	1.52	1.22	2.83	1.44	1.77	1.2	0.75	NA	NA
1695	1.38	1.66	1.65	1.17	2.52	1.56	1.62	1.04	0.72	NA	NA
1696	1.27	1.73	1.54	1.21	2.63	1.44	1.43	1.23	0.63	NA	NA
1697	1.11	1.16	1.52	1.04	2.13	1.22	1.2	0.84	0.66	NA	NA
1698	1.19	1.09	1.31	1.02	2.26	0.95	1.48	0.94	0.76	NA	NA
1699	1.26	1.31	1.3	1.13	1.69	0.81	1.3	0.95	0.77	NA	NA
1700	1.16	1.25	1.16	1.02	1.72	0.93	1.13	0.77	0.9	NA	NA
1701	0.9	1	0.9	0.91	1.15	0.93	0.97	0.54	0.63	NA	NA
1702	1.05	1.05	1.31	1.04	1.19	0.99	0.88	0.63	0.57	NA	NA
1703	1.04	0.83	0.95	0.97	1.29	0.72	0.81	0.63	0.68	NA	NA
1704	0.98	0.81	0.85	1.08	1.3	0.72	0.74	0.79	0.66	NA	NA
1705	1.15	0.81	0.85	0.97	1.51	0.48	0.62	0.72	NA	NA	NA
1706	1.47	0.91	1	1.32	1.81	0.58	0.77	0.6	NA	NA	NA
1707	1.22	0.94	0.93	1.12	1.66	0.66	0.81	0.77	NA	2.07	NA
1708	1.25	1.07	1.19	NA	2.03	0.73	0.68	0.73	NA	1.99	NA
1709	1.13	0.94	1.07	NA	2.1	0.77	0.69	0.63	NA	2.83	NA
1710	1.05	1.2	1.22	NA	1.91	0.87	0.72	0.77	NA	2.32	NA
1711	0.96	1.33	1.23	NA	1.68	1.08	0.81	0.75	NA	2.14	NA
1712	1.15	0.98	0.97	NA	2.16	0.84	0.75	0.81	NA	2.57	NA
1713	1.02	1.04	0.97	NA	1.95	0.88	0.77	0.85	NA	2.17	NA
1714	1.08	1.05	1.04	NA	1.91	0.84	0.66	0.8	NA	2.04	NA
1715	1.04	1.15	1.12	NA	1.93	0.62	0.91	0.79	NA	2.1	NA
1716	1.15	1.37	1.34	NA	2.26	1.16	0.84	1	NA	2.4	NA
1717	0.95	1.13	1.16	NA	1.91	0.88	0.75	0.88	NA	2.08	NA
1718	1.13	1.04	1.03	NA	1.8	1.05	0.73	0.81	NA	1.81	NA
1719	1.27	1.47	1.27	NA	1.81	0.86	0.93	0.79	NA	1.9	NA
1720	1.25	1.66	1.52	NA	2.61	1.05	1.02	0.77	NA	2.44	NA
1721	NA	1.5	1.51	NA	2.19	1.19	0.95	0.65	NA	2.28	NA
1722	NA	1.25	1.34	NA	1.72	0.93	1.08	0.65	NA	1.81	NA
1723	NA	0.99	1.11	NA	1.53	0.96	0.91	0.65	NA	1.83	NA
1724	NA	1.36	1.53	NA	1.82	1.2	1.16	0.9	NA	1.95	NA
1725	NA	1.36	1.36	NA	1.97	1.27	1.09	0.96	NA	1.81	NA
1726	NA	1.25	1.29	NA	1.86	0.98	1.19	0.71	NA	1.75	1.36
1727	NA	1.36	1.23	NA	2.07	1.19	1.39	0.72	NA	1.79	1.76
1728	NA	1.37	1.4	NA	2.25	0.97	0.93	0.69	NA	1.92	1.91
1729	NA	1.16	1.19	NA	1.84	1.23	1.05	0.68	NA	1.95	2.1
1730	NA	1.05	1.28	NA	1.47	0.9	1.02	0.84	NA	1.45	1.14
1731	NA	0.86	0.98	NA	1.43	0.88	1.2	0.79	NA	1.45	1.49
1732	NA	0.86	1.02	NA	1.34	0.9	0.84	0.98	NA	1.37	1.32
1733	NA	0.88	0.84	NA	1.6	0.92	1.09	0.85	NA	1.61	1.58
1734	NA	1.09	1.27	NA	1.55	1.09	1.08	0.86	NA	1.56	1.47
1735	NA	1.04	1.27	NA	1.59	1.13	1.23	0.82	NA	1.48	1.59
1736	NA	1.08	1.27	NA	1.77	1.23	1.48	0.77	NA	1.67	1.68
1737	NA	1.13	1.37	NA	1.62	1.22	1.05	0.77	NA	1.53	1.52
1738	NA	1.25	1.26	NA	1.39	0.99	1.07	0.65	NA	1.29	1.16
1739	NA	0.96	1.27	NA	1.34	0.8	1	0.77	NA	1.24	1.26
1740	NA	1.02	1.23	NA	1.05	0.89	1.27	0.52	NA	1.29	1.29
1741	NA	1.19	1.44	NA	0.97	0.91	1.17	0.63	NA	1.48	1.27
1742	NA	NA	1.52	NA	0.87	1	1	0.61	NA	1.23	1.31
1743	NA	NA	1.22	NA	0.86	1	0.91	0.58	NA	1.1	1.24
1744	NA	NA	1.27	NA	0.87	1.19	1	0.56	NA	1.16	1.14
1745	NA	NA	1.17	NA	0.95	1.02	0.84	0.62	NA	1.19	1.26
1746	NA	NA	1.2	NA	1.01	1	1.03	0.52	NA	NA	1.27
1747	NA	NA	1.09	NA	1.43	1.05	0.97	0.57	NA	NA	1.39
1748	NA	NA	1.16	NA	1.28	0.77	0.92	0.48	NA	NA	1.29
1749	NA	NA	1.09	NA	1.11	0.66	1.05	0.57	NA	NA	1.17
1750	NA	NA	1.76	NA	1.39	0.69	1.02	1.04	NA	NA	1.52
1751	NA	NA	1.38	NA	1.47	0.86	1.11	1.33	NA	NA	1.46
1752	NA	NA	1.28	NA	1.42	0.92	1	NA	NA	NA	1.75
1753	NA	NA	NA	NA	NA	0.95	NA	NA	NA	NA	1.48
