# Black - Hamar - PSME - ITRDB OR122
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38225
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38225.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or122-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or122.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or122.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-14
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-14
#--------------------
# Title
#   Study_Name: Black - Hamar - PSME - ITRDB OR122
#--------------------
# Investigators
#   Investigators: Black, Bryan A.; Struble, William T.; Wetherell, Logan; Roering, Joshua J.
#--------------------
# Description_Notes_and_Keywords
#   Description: trees drowned in a lake formed when a landslide impounded a stream
#--------------------
# Publication
#   Authors: Struble, William T.; Joshua J. Roering; William J. Burns; Nancy C. Calhoun; Logan R. Wetherell; Bryan A. Black
#   Published_Date_or_Year: 2021
#   Published_Title: The Preservation of Climate‐Driven Landslide Dams in Western Oregon
#   Journal_Name: J. Geophys. Res. Earth Surf.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1029/2020JF005908
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: United States Geological Survey National Earthquake Hazard Reduction Program
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Hamar
#   Location: Oregon
#   Northernmost_Latitude: 44.684
#   Southernmost_Latitude: 44.684
#   Easternmost_Longitude: -123.62
#   Westernmost_Longitude: -123.62
#   Elevation_m: 137
#--------------------
# Data_Collection
#   Collection_Name: OR122
#   First_Year: 1587
#   Last_Year: 1771
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HAM01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HAM01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HAM01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HAM01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HAM02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HAM02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HAM02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HAM02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HAM03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HAM03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HAM03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HAM03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HAM01A_raw	HAM01B_raw	HAM02A_raw	HAM02B_raw	HAM03A_raw	HAM03B_raw
1683	1.28	1.35	1.76	1.94	1.16	1.22
1684	1.28	1.31	1.93	2.04	1.19	1.07
1685	1.61	1.47	1.36	1.61	1.19	1.24
1686	1.45	1.3	1.54	1.54	1.27	1.42
1687	1.61	1.37	1.53	1.75	1.08	1.62
1688	1	0.88	1.33	1.59	0.91	1.3
1689	1.53	1.43	1.36	1.51	0.83	1.12
1690	1.65	1.62	1.48	1.4	0.93	1.22
1691	1.49	1.42	1.77	2.01	1.35	1.56
1692	1.55	1.62	1.62	2.09	1.51	1.78
1693	2.57	2.63	1.18	1.3	1.33	1.45
1694	3.12	2.83	1.53	1.51	1.55	1.56
1695	2.59	2.42	2.27	2.39	2.14	1.72
1696	3.36	3.17	1.95	2.1	2.1	1.6
1697	2.99	2.76	1.62	1.69	2.58	2.11
1698	2.7	2.65	1.34	1.58	1.83	1.25
1699	2.61	2.6	1.19	1.43	1.88	1.65
1700	2.34	2.53	1.45	1.43	1.67	1.65
1701	1.52	1.66	1.39	1.56	2.05	2.24
1702	1.8	2.32	1.81	2.07	2.57	2.82
1703	1.77	2.26	1.58	2.27	2.36	2.58
1704	1.3	1.78	1.08	1.19	1.89	1.99
1705	2.05	2.37	1.33	1.41	1.82	1.89
1706	1.11	1.23	1.31	1.33	1.25	1.2
1707	1.96	2.01	2.08	1.92	1.32	1.22
1708	1.7	2.12	1.71	2.09	0.99	1.13
1709	1.9	2.18	1.26	1.7	1.09	0.97
1710	1.13	1.2	1.29	1.49	0.97	0.72
1711	1.23	1.34	1.73	1.74	1.06	0.88
1712	1.19	1.17	1.76	1.67	1.43	1.17
1713	1	1.38	1.29	1.02	1.11	0.84
1714	1.37	1.56	1.98	2	1.78	1.6
1715	1.23	1.35	2.12	2.63	1.78	1.66
1716	1.72	1.89	2.16	2.29	1.29	1.12
1717	1.57	1.79	1.93	1.9	1.14	0.85
1718	1.3	1.49	1.92	1.87	1.02	0.73
1719	1.35	1.42	1.88	1.92	1.07	0.94
1720	0.98	1.02	1.41	1.33	1.14	1
1721	1.35	1.48	1.74	1.82	1.36	1.14
1722	1.26	1.19	1.25	1.16	1.23	1.06
1723	1.43	1.39	1.68	1.63	1.09	1.01
1724	1.26	1.07	1.41	1.37	1.08	1.07
1725	1.08	1.08	0.96	0.9	0.8	0.93
1726	0.93	1.12	1.19	1.14	0.97	1.15
1727	1.34	1.53	1.27	1.19	0.73	0.85
1728	1.14	1.38	0.99	1.02	0.62	0.49
1729	1.21	1.27	0.82	0.78	0.65	0.72
1730	1.01	1.06	0.65	0.57	0.74	0.9
1731	1.55	1.45	0.9	0.83	0.96	1.18
1732	1.8	1.66	0.97	0.84	1.08	1.13
1733	1.51	1.27	0.74	0.69	0.69	0.79
1734	1.32	1.14	0.51	0.48	0.57	0.57
1735	3.07	1.83	0.89	0.68	0.69	0.71
1736	2.32	1.5	0.87	0.91	0.36	0.43
1737	1.94	1.39	0.76	0.97	0.48	0.55
1738	3.72	2.64	1.23	1.35	0.69	0.62
1739	2.08	2.01	0.6	0.62	0.32	0.31
1740	1.45	1.6	0.61	0.55	0.2	0.19
1741	1.4	1.71	0.75	0.73	0.19	0.24
1742	1.24	1.53	0.78	0.83	0.32	0.3
1743	1.52	1.71	0.7	0.72	0.3	0.32
1744	1.19	1.24	0.49	0.46	0.34	0.37
1745	1	1.04	0.65	0.64	0.66	0.43
1746	1.21	1.19	0.7	0.73	0.55	0.54
1747	1.25	1.46	0.53	0.51	0.57	0.52
1748	1.22	1.65	0.79	0.8	0.48	0.54
1749	1.42	1.6	0.92	0.9	0.67	0.75
1750	1.39	1.37	1.69	1.69	0.64	0.71
1751	1.09	1.53	1.59	1.61	0.74	0.68
1752	1.14	1.42	1.03	1.03	0.67	0.63
1753	1.49	1.56	0.76	0.78	0.67	0.66
1754	1.63	1.72	0.91	0.95	0.63	0.78
1755	1.65	1.78	1.11	1.12	NA	NA
1756	1.42	1.28	1.2	1.16	NA	NA
1757	1.08	NA	1.74	1.76	NA	NA
1758	0.81	NA	1.35	1.36	NA	NA
1759	1.13	NA	1.35	1.34	NA	NA
1760	1.58	NA	1.44	1.45	NA	NA
1761	1.92	NA	1.42	1.43	NA	NA
1762	NA	NA	1.26	1.24	NA	NA
1763	NA	NA	1.34	1.37	NA	NA
1764	NA	NA	1.26	1.22	NA	NA
1765	NA	NA	1.01	1.01	NA	NA
1766	NA	NA	1.07	1.14	NA	NA
1767	NA	NA	1.13	1.12	NA	NA
1768	NA	NA	0.69	0.7	NA	NA
1769	NA	NA	0.74	0.72	NA	NA
1770	NA	NA	0.69	0.73	NA	NA
1771	NA	NA	0.73	0.73	NA	NA
