# Black - Dry Bed Lake - PSME - ITRDB WA156
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38204
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38204.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa156-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa156.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa156.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-12
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-12
#--------------------
# Title
#   Study_Name: Black - Dry Bed Lake - PSME - ITRDB WA156
#--------------------
# Investigators
#   Investigators: Black, Bryan A.; Pringle, Patrick T.; Logan, Robert L.; Schuster, Robert L.
#--------------------
# Description_Notes_and_Keywords
#   Description: This is a single tree killed when a rock avalanche impounded a stream and is crossdated against other chronologies in the region
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US Geological Survey
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Dry Bed Lake
#   Location: Washington
#   Northernmost_Latitude: 47.318
#   Southernmost_Latitude: 47.318
#   Easternmost_Longitude: -123.391
#   Westernmost_Longitude: -123.391
#   Elevation_m: 367
#--------------------
# Data_Collection
#   Collection_Name: WA156
#   First_Year: 561
#   Last_Year: 923
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DBL01A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: DBL01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DBL01B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: DBL01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DBL01A_raw	DBL01B_raw
751	0.66	0.56
752	0.87	0.69
753	0.83	0.83
754	1.02	1.02
755	0.72	0.61
756	0.73	0.58
757	0.74	0.88
758	0.83	0.93
759	0.82	0.89
760	0.73	0.68
761	0.94	0.91
762	1.22	1.23
763	1.15	1.04
764	1.1	1
765	0.8	0.68
766	0.86	0.69
767	0.67	0.68
768	0.75	0.8
769	0.86	0.78
770	0.59	0.52
771	0.6	0.44
772	0.63	0.61
773	0.5	0.58
774	0.38	0.41
775	0.43	0.39
776	0.66	0.52
777	0.73	0.69
778	0.6	0.58
779	0.55	0.53
780	0.68	0.66
781	0.52	0.52
782	0.55	0.55
783	0.48	0.47
784	0.56	0.54
785	0.75	0.72
786	0.63	0.57
787	0.48	0.48
788	0.5	0.53
789	0.38	0.39
790	0.39	0.41
791	0.5	0.48
792	0.59	0.59
793	0.55	0.54
794	0.65	0.61
795	0.47	0.49
796	0.49	0.49
797	0.72	0.68
798	0.66	0.67
799	0.49	0.49
800	0.47	0.49
801	0.45	0.46
802	0.53	0.56
803	0.27	0.29
804	0.21	0.22
805	0.29	0.29
806	0.46	0.46
807	0.32	0.33
808	0.45	0.43
809	0.7	0.71
810	0.63	0.66
811	0.46	0.48
812	0.52	0.54
813	0.64	0.71
814	0.68	0.73
815	0.56	0.55
816	0.39	0.39
817	0.49	0.48
818	0.79	0.77
819	0.94	0.96
820	0.72	0.78
821	0.53	0.54
822	0.37	0.44
823	0.33	0.35
824	0.51	0.55
825	0.54	0.55
826	0.64	0.71
827	0.62	0.7
828	0.84	1.06
829	0.65	0.93
830	0.48	0.66
831	0.51	0.48
832	0.6	0.58
833	0.29	0.33
834	0.28	0.25
835	0.32	0.27
836	0.46	0.29
837	0.39	0.39
838	0.28	0.39
839	0.3	0.45
840	0.27	0.4
841	0.44	0.55
842	0.58	0.62
843	0.21	0.34
844	0.29	0.4
845	0.44	0.55
846	0.58	0.75
847	0.65	0.75
848	0.33	0.34
849	0.37	0.43
850	0.26	0.31
851	0.18	0.21
852	0.18	0.21
853	0.23	0.28
854	0.37	0.44
855	0.51	0.62
856	0.51	0.63
857	0.3	0.33
858	0.41	0.52
859	0.49	0.57
860	0.51	0.57
861	0.33	0.44
862	0.29	0.35
863	0.35	0.41
864	0.37	0.45
865	0.41	0.44
866	0.37	0.4
867	0.38	0.42
868	0.61	0.64
869	0.68	0.77
870	0.63	0.87
871	0.64	0.76
872	0.55	0.61
873	0.68	0.65
874	0.69	0.76
875	0.55	0.62
876	0.57	0.64
877	0.68	0.67
878	0.72	0.66
879	0.79	0.75
880	0.68	0.63
881	0.49	0.49
882	0.48	0.49
883	0.3	0.27
884	0.42	0.37
885	0.38	0.37
886	0.29	0.38
887	0.51	0.38
888	0.2	0.25
889	0.27	0.29
890	0.29	0.3
891	0.26	0.25
892	0.3	0.27
893	0.55	0.33
894	0.63	0.76
895	0.73	0.88
896	0.51	0.54
897	0.41	0.39
898	0.59	0.52
899	0.37	0.45
900	0.42	0.49
901	0.52	0.42
902	0.59	0.5
903	0.61	0.56
904	0.63	0.59
905	0.67	0.66
906	0.62	0.6
907	0.61	0.76
908	0.84	0.93
909	0.74	0.7
910	0.6	0.53
911	0.45	0.49
912	0.63	0.65
913	1.48	1.59
914	1.44	1.54
915	1.21	1.19
916	0.92	0.91
917	0.57	0.59
918	0.23	0.22
919	0.21	0.22
920	0.18	0.18
921	0.26	0.26
922	0.3	0.28
923	0.32	0.33
