# Miles - Tuttle House, Ipswich - QUSP - ITRDB MA011
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4031
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4031.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma011-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ma011-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma011.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ma011.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2003-09-08
#--------------------
# File_Last_Modified_Date
#   Date: 2003-09-08
#--------------------
# Title
#   Study_Name: Miles - Tuttle House, Ipswich - QUSP - ITRDB MA011
#--------------------
# Investigators
#   Investigators: Miles, D.W.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Tuttle House, Ipswich
#   Location: Massachusetts
#   Northernmost_Latitude: 42.68
#   Southernmost_Latitude: 42.68
#   Easternmost_Longitude: -70.85
#   Westernmost_Longitude: -70.85
#   Elevation_m: 15
#--------------------
# Data_Collection
#   Collection_Name: MA011
#   First_Year: 1495
#   Last_Year: 1671
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ith10b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ith10b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ith13a2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ith13a2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ith14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ith14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ith15_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ith15; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ith16_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ith16; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ith18_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ith18; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ith10b_raw	ith13a2_raw	ith14_raw	ith15_raw	ith16_raw	ith18_raw
1620	1.29	1.07	1.16	0.99	0.98	1.19
1621	1.47	0.81	0.94	0.94	0.87	1.4
1622	1.23	0.9	1.21	0.91	1.2	1.2
1623	1.49	1.08	1.54	1.02	1.08	1.23
1624	1.69	1.17	1.34	0.98	1.22	1.26
1625	1.38	0.77	1.17	0.79	0.93	1.02
1626	1.47	1.02	1.09	0.93	1.11	1.61
1627	1.48	1.04	1.7	0.86	1.08	1.56
1628	1.37	1.02	1.55	0.73	1.12	1.68
1629	1.38	1.02	1.87	0.79	1.04	1.71
1630	0.98	0.86	1.63	0.77	1.28	1.27
1631	0.99	0.79	1.4	0.65	0.9	0.95
1632	1.25	0.95	1.09	0.58	1.31	1.22
1633	1.19	0.81	1.25	0.58	0.88	1.27
1634	1.27	0.89	1.34	0.58	1.08	1.02
1635	1.15	0.88	0.93	0.56	0.88	0.77
1636	1.47	0.91	1.35	0.63	0.85	0.88
1637	1.77	1.16	1.26	0.68	0.85	0.9
1638	1.42	0.88	1.12	0.62	1.1	0.87
1639	1.47	0.83	NA	0.5	0.91	0.77
1640	1.17	0.97	NA	0.7	0.86	0.74
1641	1.29	0.9	NA	NA	0.88	0.88
1642	1.13	0.87	NA	NA	0.86	0.7
1643	0.94	0.75	NA	NA	0.76	0.86
1644	0.94	0.65	NA	NA	NA	0.62
1645	0.94	0.52	NA	NA	NA	0.76
1646	0.91	0.6	NA	NA	NA	0.84
1647	0.94	0.57	NA	NA	NA	0.79
1648	1.04	0.73	NA	NA	NA	0.79
1649	1.16	0.68	NA	NA	NA	0.77
1650	1.02	0.81	NA	NA	NA	0.68
1651	0.96	0.7	NA	NA	NA	0.65
1652	0.97	0.72	NA	NA	NA	0.77
1653	0.88	0.86	NA	NA	NA	0.72
1654	0.91	0.81	NA	NA	NA	0.81
1655	0.88	0.86	NA	NA	NA	0.8
1656	0.88	0.85	NA	NA	NA	0.7
1657	1	0.82	NA	NA	NA	0.9
1658	1.02	0.88	NA	NA	NA	0.98
1659	1.01	0.86	NA	NA	NA	0.76
1660	0.91	0.83	NA	NA	NA	0.67
1661	0.92	0.62	NA	NA	NA	0.74
1662	0.78	0.79	NA	NA	NA	0.64
1663	0.94	0.66	NA	NA	NA	0.71
1664	1.02	0.61	NA	NA	NA	0.69
1665	0.85	0.5	NA	NA	NA	0.58
1666	0.86	0.51	NA	NA	NA	0.58
1667	0.89	0.48	NA	NA	NA	0.56
1668	0.88	0.67	NA	NA	NA	0.61
1669	0.99	1.16	NA	NA	NA	0.58
1670	1.38	1	NA	NA	NA	0.79
1671	NA	NA	NA	NA	NA	0.65
