# Cleaveland - Ditch Canyon B - PIPO - ITRDB NM512
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2943
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2943.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm512x-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm512x-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm512x.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm512x.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Ditch Canyon B - PIPO - ITRDB NM512
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Ditch Canyon B
#   Location: New Mexico
#   Northernmost_Latitude: 36.98
#   Southernmost_Latitude: 36.98
#   Easternmost_Longitude: -107.07
#   Westernmost_Longitude: -107.07
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM512
#   First_Year: 1660
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  maximum density
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DP473X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP473X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP511X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP511X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP513X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP513X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP571X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP571X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP601X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP601X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DP473X_raw	DP511X_raw	DP513X_raw	DP571X_raw	DP601X_raw
1770	NA	0.79	0.64	NA	NA
1771	NA	0.79	0.66	NA	NA
1772	NA	0.74	0.61	NA	NA
1773	NA	0.73	0.62	NA	NA
1774	NA	0.79	0.69	NA	NA
1775	NA	0.66	0.59	NA	NA
1776	NA	0.73	0.66	NA	NA
1777	NA	0.71	0.63	NA	NA
1778	NA	0.65	0.53	NA	NA
1779	NA	0.59	0.54	NA	NA
1780	NA	0.67	0.62	NA	NA
1781	NA	0.67	0.65	NA	NA
1782	NA	0.67	0.64	NA	NA
1783	NA	0.63	0.58	NA	NA
1784	NA	0.79	0.66	NA	NA
1785	NA	0.72	0.63	NA	NA
1786	NA	0.73	0.65	NA	NA
1787	NA	0.78	0.65	NA	NA
1788	NA	0.67	0.54	NA	NA
1789	NA	0.65	0.62	NA	NA
1790	NA	0.66	0.58	NA	NA
1791	NA	0.79	0.68	NA	NA
1792	NA	0.7	0.61	NA	NA
1793	NA	0.73	0.62	NA	NA
1794	NA	0.74	0.66	NA	NA
1795	NA	0.54	0.49	NA	NA
1796	NA	0.8	0.62	NA	NA
1797	NA	0.76	0.69	NA	NA
1798	NA	0.49	0.49	NA	NA
1799	NA	0.73	0.66	NA	NA
1800	NA	0.75	0.65	NA	NA
1801	NA	0.79	0.61	NA	NA
1802	NA	0.8	0.63	NA	NA
1803	NA	0.52	0.53	NA	NA
1804	NA	0.59	0.57	NA	NA
1805	NA	0.73	0.59	NA	NA
1806	NA	0.69	0.55	NA	NA
1807	NA	0.64	0.58	NA	NA
1808	NA	0.75	0.66	NA	NA
1809	NA	0.75	0.59	NA	NA
1810	NA	0.79	0.65	NA	NA
1811	NA	0.75	0.61	NA	NA
1812	NA	0.74	0.66	NA	NA
1813	NA	0.53	0.47	NA	NA
1814	NA	0.65	0.63	NA	NA
1815	NA	0.72	0.67	NA	NA
1816	NA	0.71	0.61	NA	NA
1817	NA	0.63	0.52	NA	NA
1818	NA	0.54	0.58	NA	NA
1819	NA	0.68	0.68	NA	NA
1820	NA	0.57	0.65	NA	0.74
1821	NA	0.58	0.55	NA	0.7
1822	NA	0.55	0.59	NA	0.78
1823	NA	0.62	0.63	NA	0.78
1824	NA	0.47	0.53	NA	0.7
1825	NA	0.58	0.62	NA	0.68
1826	NA	0.57	0.64	NA	0.77
1827	NA	0.77	0.66	NA	0.71
1828	NA	0.61	0.6	NA	0.74
1829	NA	0.65	0.54	NA	0.7
1830	NA	0.72	0.6	NA	0.73
1831	NA	0.7	0.66	NA	0.69
1832	NA	0.71	0.65	NA	0.74
1833	NA	0.72	0.68	NA	0.72
1834	NA	0.78	0.63	NA	0.7
1835	NA	0.71	0.62	NA	0.65
1836	NA	0.74	0.67	NA	0.77
1837	NA	0.55	0.56	NA	0.71
1838	NA	0.66	0.6	NA	0.77
1839	NA	0.75	0.64	NA	0.83
1840	NA	0.56	0.51	NA	0.78
1841	NA	0.75	0.63	NA	0.74
1842	NA	0.77	0.65	NA	0.76
1843	NA	0.53	0.51	NA	0.75
1844	NA	0.63	0.58	NA	0.74
1845	NA	0.66	0.51	NA	0.75
1846	NA	0.74	0.59	NA	0.75
1847	NA	0.62	0.52	NA	0.66
1848	NA	0.6	0.56	NA	0.78
1849	NA	0.59	0.54	NA	0.84
1850	NA	0.62	0.6	NA	0.77
1851	NA	0.63	0.5	NA	0.78
1852	NA	0.73	0.62	NA	0.76
1853	NA	0.71	0.47	NA	0.83
1854	NA	0.74	0.64	NA	0.75
1855	NA	0.76	0.63	NA	0.84
1856	NA	0.71	0.53	NA	0.79
1857	NA	0.55	0.5	NA	0.74
1858	NA	0.72	0.62	NA	0.77
1859	NA	0.7	0.65	NA	0.76
1860	NA	0.74	0.69	NA	0.76
1861	NA	0.65	0.63	NA	0.77
1862	NA	0.63	0.62	NA	0.78
1863	NA	0.62	0.6	NA	0.68
1864	NA	0.76	0.68	NA	0.77
1865	NA	0.76	0.65	NA	0.81
1866	NA	0.65	0.64	NA	0.78
1867	NA	0.7	0.68	NA	0.73
1868	NA	0.7	0.66	NA	0.73
1869	NA	0.76	0.7	NA	0.74
1870	NA	0.63	0.59	NA	0.73
1871	NA	0.51	0.45	NA	0.67
1872	NA	0.77	0.68	NA	0.74
1873	NA	0.7	0.62	NA	0.7
1874	NA	0.55	0.48	NA	0.76
1875	NA	0.68	0.59	NA	0.75
1876	NA	0.69	0.63	NA	0.72
1877	NA	0.57	0.62	NA	0.66
1878	NA	0.67	0.63	NA	0.74
1879	NA	0.49	0.54	NA	0.71
1880	0.74	0.65	0.67	0.69	0.79
1881	0.73	0.75	0.72	0.67	0.76
1882	0.68	0.55	0.5	0.53	0.75
1883	0.69	0.63	0.63	0.69	0.79
1884	0.74	0.7	0.63	0.6	0.71
1885	0.72	0.73	0.64	0.63	0.75
1886	0.72	0.59	0.66	0.67	0.75
1887	0.8	0.71	0.66	0.71	0.79
1888	0.63	0.59	0.66	0.58	0.72
1889	0.55	0.56	0.57	0.53	0.63
1890	0.78	0.75	0.66	0.74	0.8
1891	0.75	0.68	0.68	0.7	0.74
1892	0.5	0.54	0.58	0.62	0.53
1893	0.78	0.76	0.69	0.74	0.77
1894	0.68	0.5	0.59	0.58	0.65
1895	0.64	0.57	0.59	0.71	0.68
1896	0.77	0.67	0.65	0.69	0.77
1897	0.83	0.74	0.71	0.78	0.76
1898	0.73	0.7	0.68	0.69	0.74
1899	0.74	0.62	0.69	0.69	0.79
1900	0.67	0.5	0.49	0.55	0.6
1901	0.63	0.49	0.49	0.62	0.7
1902	0.78	0.67	0.63	0.62	0.66
1903	0.76	0.78	0.69	0.7	0.76
1904	0.76	0.57	0.63	0.6	0.69
1905	0.74	0.68	0.62	0.74	0.78
1906	0.81	0.66	0.6	0.74	0.77
1907	0.72	0.71	0.65	0.74	0.76
1908	0.76	0.73	0.69	0.69	0.78
1909	0.7	0.75	0.65	0.72	0.76
1910	0.71	0.74	0.68	0.69	0.75
1911	0.79	0.76	0.7	0.78	0.77
1912	0.79	0.69	0.67	0.74	0.75
1913	0.76	0.61	0.65	0.71	0.73
1914	0.74	0.73	0.68	0.69	0.76
1915	0.73	0.71	0.72	0.75	0.81
1916	0.77	0.7	0.68	0.75	0.77
1917	0.72	0.59	0.67	0.64	0.79
1918	0.75	0.53	0.69	0.71	0.8
1919	0.68	0.63	0.69	0.73	0.77
1920	0.72	0.64	0.7	0.74	0.75
1921	0.71	0.6	0.67	0.75	0.81
1922	0.66	0.5	0.63	0.71	0.73
1923	0.67	0.63	0.67	0.76	0.77
1924	0.61	0.55	0.67	0.68	0.76
1925	0.74	0.56	0.65	0.77	0.8
1926	0.71	0.67	0.66	0.78	0.77
1927	0.73	0.74	0.63	0.77	0.71
1928	0.73	0.71	0.65	0.73	0.72
1929	0.69	0.71	0.64	0.72	0.75
1930	0.61	0.74	0.68	0.7	0.8
1931	0.65	0.59	0.62	0.77	0.75
1932	0.76	0.72	0.63	0.75	0.78
1933	0.73	0.76	0.67	0.77	0.78
1934	0.65	0.54	0.52	0.73	0.67
1935	0.66	0.68	0.65	0.75	0.71
1936	0.7	0.61	0.65	0.73	0.64
1937	0.47	0.53	0.5	0.72	0.62
1938	0.69	0.72	0.58	0.76	0.7
1939	0.57	0.6	0.5	0.75	0.57
1940	0.62	0.59	0.56	0.76	0.59
1941	0.67	0.78	0.65	0.72	0.74
1942	0.57	0.61	0.64	0.78	0.64
1943	0.76	0.6	0.54	0.73	0.66
1944	0.72	0.72	0.61	0.75	0.7
1945	0.5	0.53	0.62	0.66	0.64
1946	0.55	0.53	0.48	0.74	0.61
1947	0.66	0.61	0.59	0.76	0.7
1948	0.51	0.59	0.5	0.66	0.54
1949	0.61	0.74	0.68	0.75	0.69
1950	0.6	0.59	0.51	0.71	0.68
1951	0.57	0.46	0.43	0.52	0.51
1952	0.71	0.63	0.63	0.74	0.64
1953	0.56	0.66	0.63	0.69	0.75
1954	0.73	0.78	0.65	0.75	0.77
1955	0.63	0.72	0.61	0.65	0.74
1956	0.6	0.52	0.48	0.64	0.59
1957	0.67	0.73	0.61	0.75	0.76
1958	0.73	0.6	0.54	0.77	0.67
1959	0.57	0.53	0.48	0.69	0.57
1960	0.66	0.68	0.65	0.8	0.67
1961	0.74	0.7	0.66	0.79	0.7
1962	0.55	0.59	0.55	0.67	0.6
1963	0.7	0.65	0.6	0.7	0.73
1964	0.7	0.48	0.5	0.73	0.55
1965	0.73	0.6	0.65	0.72	0.73
1966	0.72	0.55	0.64	0.74	0.57
1967	0.71	0.47	0.54	0.78	0.6
1968	0.75	0.61	0.64	0.68	0.72
1969	0.74	0.59	0.66	0.72	0.73
1970	0.76	0.48	0.64	0.69	0.66
1971	0.72	0.6	0.68	0.74	0.76
1972	0.63	0.49	0.64	0.64	0.7
1973	0.73	0.69	0.71	0.75	0.74
1974	0.72	0.57	0.7	0.75	0.68
1975	0.75	0.68	0.71	0.74	0.68
1976	0.79	0.72	0.72	0.79	0.78
1977	0.71	0.55	0.53	0.76	0.69
