# Therrell - Hinds Road Outcrop - QUBN - ITRDB AL004
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/27710
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-27710.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/al004-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; al004-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/al004.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/al004.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-09-20
#--------------------
# File_Last_Modified_Date
#   Date: 2019-09-20
#--------------------
# Title
#   Study_Name: Therrell - Hinds Road Outcrop - QUBN - ITRDB AL004
#--------------------
# Investigators
#   Investigators: Therrell, M.D.; Therrell, N.D.
#--------------------
# Description_Notes_and_Keywords
#   Description: Hinds Road Outcrop, Etowah County, February 2018, Boynton's Oak. NOAA Template Raw Measurements file added 2020-01-15.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Hinds Road Outcrop
#   Location: Alabama
#   Northernmost_Latitude: 34.0667
#   Southernmost_Latitude: 34.0667
#   Easternmost_Longitude: -86.05
#   Westernmost_Longitude: -86.05
#   Elevation_m: 230
#--------------------
# Data_Collection
#   Collection_Name: AL004
#   First_Year: 1925
#   Last_Year: 2018
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus boyntonii Beadle
#   Common_Name: Boynton's sand post oak
#   Tree_Species_Code: QUBN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HRO01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HRO02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HRO03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HRO12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HRO18B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO18B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HRO19A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO19A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HRO21_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO21; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HRO22_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO22; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HRO23_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO23; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HRO24_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO24; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HRO01A_raw	HRO02A_raw	HRO03_raw	HRO12A_raw	HRO18B_raw	HRO19A_raw	HRO21_raw	HRO22_raw	HRO23_raw	HRO24_raw
1992	0.77	0.32	0.74	1.01	0.32	0.47	0.26	0.36	0.47	0.46
1993	0.82	0.37	0.82	1.01	0.37	0.44	0.28	0.37	0.46	0.65
1994	1.07	0.33	1.3	1.02	0.21	0.53	0.3	0.27	0.29	0.53
1995	0.87	0.18	0.95	0.64	NA	0.47	0.19	0.36	0.24	0.41
1996	0.82	0.24	0.94	0.96	NA	0.47	0.3	0.29	0.28	0.41
1997	1.12	0.36	0.93	0.73	NA	0.42	0.23	0.3	0.17	0.44
1998	0.99	0.22	0.66	0.65	NA	0.42	NA	0.24	0.25	0.19
1999	0.92	0.37	0.67	0.67	NA	0.43	NA	0.27	0.27	0.36
2000	0.57	0.48	0.45	0.46	NA	0.23	NA	NA	NA	0.15
2001	0.76	0.37	0.92	0.58	NA	0.34	NA	NA	NA	0.42
2002	0.82	0.43	0.84	0.6	NA	0.29	NA	NA	NA	0.39
2003	0.96	0.38	0.77	0.57	NA	0.37	NA	NA	NA	0.3
2004	0.84	0.27	0.46	0.53	NA	0.38	NA	NA	NA	0.33
2005	1.08	0.23	0.67	0.76	NA	0.38	NA	NA	NA	0.32
2006	0.72	NA	0.29	0.55	NA	0.34	NA	NA	NA	0.3
2007	0.66	NA	0.46	0.4	NA	0.25	NA	NA	NA	0.22
2008	1.24	NA	0.48	0.22	NA	NA	NA	NA	NA	0.21
2009	0.9	NA	0.52	0.45	NA	NA	NA	NA	NA	0.13
2010	1.49	NA	0.21	0.31	NA	NA	NA	NA	NA	NA
2011	1.13	NA	0.27	0.24	NA	NA	NA	NA	NA	NA
2012	1.38	NA	0.49	0.32	NA	NA	NA	NA	NA	NA
2013	1.88	NA	0.29	0.41	NA	NA	NA	NA	NA	NA
2014	1.62	NA	0.43	0.34	NA	NA	NA	NA	NA	NA
2015	1.48	NA	0.72	0.45	NA	NA	NA	NA	NA	NA
2016	2.01	NA	0.59	0.36	NA	NA	NA	NA	NA	NA
2017	1.76	NA	0.48	NA	NA	NA	NA	NA	NA	NA
2018	1.52	NA	0.59	NA	NA	NA	NA	NA	NA	NA
