# Miles - Cooper-Frost-Austin House, Cambridge - QUSP - ITRDB MA006
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4025
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4025.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma006-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ma006-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma006.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ma006.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2003-06-20
#--------------------
# File_Last_Modified_Date
#   Date: 2003-06-20
#--------------------
# Title
#   Study_Name: Miles - Cooper-Frost-Austin House, Cambridge - QUSP - ITRDB MA006
#--------------------
# Investigators
#   Investigators: Miles, D.W.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Cooper-Frost-Austin House, Cambridge
#   Location: Massachusetts
#   Northernmost_Latitude: 42.38
#   Southernmost_Latitude: 42.38
#   Easternmost_Longitude: -71.1
#   Westernmost_Longitude: -71.1
#   Elevation_m: 15
#--------------------
# Data_Collection
#   Collection_Name: MA006
#   First_Year: 1527
#   Last_Year: 1680
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## cfa1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cfa1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cfa2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cfa2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cfa3a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cfa3a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cfa3b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cfa3b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cfa3c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cfa3c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cfa6_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cfa6; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	cfa1_raw	cfa2_raw	cfa3a_raw	cfa3b_raw	cfa3c_raw	cfa6_raw
1622	1.2	1.17	1.12	NA	NA	1.04
1623	1.42	1.52	1.22	NA	NA	1.04
1624	1.19	1.61	1.16	NA	NA	1.4
1625	0.77	1.48	1.04	NA	NA	1.04
1626	1.31	1.64	1.19	NA	NA	1.38
1627	1.25	1.79	1.41	NA	NA	1.28
1628	1.15	1.55	1.31	NA	NA	1.2
1629	1.43	0.86	1.34	NA	NA	1.16
1630	1.13	0.87	1.3	NA	NA	0.9
1631	1.04	0.77	1.04	NA	NA	1.01
1632	0.98	0.69	1.16	NA	NA	0.87
1633	0.89	0.81	1.19	NA	NA	0.96
1634	1.04	0.77	0.83	NA	NA	0.81
1635	0.95	0.72	0.97	NA	NA	0.61
1636	1.11	0.73	1.17	NA	NA	0.62
1637	1.17	0.78	1.48	NA	NA	0.94
1638	1.44	0.87	1.28	NA	NA	0.97
1639	1.3	0.76	1.12	NA	NA	0.86
1640	1.17	0.99	1.04	NA	NA	1.04
1641	1.17	1	1.15	NA	NA	1.2
1642	0.94	0.94	1.13	NA	NA	1.1
1643	0.61	0.79	1.17	NA	NA	1.03
1644	0.61	0.79	1.05	NA	NA	0.85
1645	0.57	0.88	1.04	NA	NA	0.96
1646	0.73	0.88	0.91	NA	NA	0.93
1647	0.78	0.98	0.9	NA	NA	0.77
1648	0.76	0.88	0.84	NA	NA	0.72
1649	0.75	0.84	0.9	NA	NA	0.83
1650	0.63	0.84	0.94	NA	NA	0.68
1651	0.67	0.7	0.81	NA	NA	0.77
1652	0.55	0.87	0.97	NA	NA	0.8
1653	0.78	1.05	1.05	NA	NA	0.77
1654	0.7	1.05	0.97	NA	NA	0.72
1655	0.82	1.11	1.05	NA	NA	0.82
1656	0.72	0.97	1.25	NA	NA	0.76
1657	0.76	0.94	1.08	NA	NA	0.75
1658	0.96	1.59	1.29	1.19	NA	0.93
1659	0.85	1.27	1.2	1.16	NA	0.66
1660	0.72	0.91	1.02	1.08	NA	0.73
1661	0.67	0.95	0.97	1	NA	0.75
1662	0.73	0.89	0.84	0.85	NA	0.87
1663	0.95	0.89	1.83	1	NA	0.95
1664	0.84	0.88	0.88	0.81	NA	0.79
1665	0.83	0.88	0.72	0.61	NA	0.56
1666	0.58	0.58	0.58	0.61	NA	0.54
1667	0.68	0.69	0.58	0.69	NA	0.66
1668	0.71	0.75	0.86	0.71	NA	0.34
1669	0.98	0.97	0.7	0.79	NA	0.62
1670	0.82	0.86	0.75	0.68	NA	0.65
1671	0.95	0.87	0.7	0.82	NA	0.76
1672	0.92	NA	0.73	0.71	0.72	0.62
1673	1.04	NA	1	1.03	1.04	0.7
1674	1.09	NA	0.83	0.93	0.9	0.66
1675	1.07	NA	0.97	0.88	0.98	0.83
1676	1.14	NA	1.01	1.04	1.08	NA
1677	1.08	NA	NA	NA	1.13	NA
1678	1.13	NA	NA	NA	1	NA
1679	0.85	NA	NA	NA	0.84	NA
1680	1	NA	NA	NA	0.91	NA
