# Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2946
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2946.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545n-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm545n-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545n.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm545n.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Pueblita Canyon
#   Location: New Mexico
#   Northernmost_Latitude: 36.68
#   Southernmost_Latitude: 36.68
#   Easternmost_Longitude: -107.32
#   Westernmost_Longitude: -107.32
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM545
#   First_Year: 1760
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  minimum density
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus edulis Engelm.
#   Common_Name: pinyon
#   Tree_Species_Code: PIED
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PN352N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN352N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PN363N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN363N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PN364N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN364N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PN373N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN373N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PN352N_raw	PN363N_raw	PN364N_raw	PN373N_raw
1884	0.41	0.4	0.38	0.45
1885	0.44	0.45	0.41	0.46
1886	0.4	0.46	0.38	0.48
1887	0.41	0.44	0.44	0.45
1888	0.4	0.45	0.37	0.46
1889	0.42	0.46	0.4	0.47
1890	0.43	0.47	0.42	0.47
1891	0.38	0.45	0.39	0.45
1892	0.41	0.48	0.4	0.47
1893	0.43	0.46	0.39	0.5
1894	0.4	0.48	0.4	0.49
1895	0.4	0.44	0.38	0.44
1896	0.41	0.51	0.37	0.48
1897	0.36	0.44	0.36	0.43
1898	0.36	0.45	0.38	0.44
1899	0.42	0.46	0.43	0.45
1900	0.38	0.47	0.42	0.45
1901	0.41	0.43	0.37	0.42
1902	0.44	0.47	0.43	0.46
1903	0.36	0.43	0.36	0.42
1904	0.44	0.46	0.41	0.45
1905	0.38	0.46	0.37	0.41
1906	0.37	0.45	0.37	0.42
1907	0.36	0.41	0.36	0.44
1908	0.4	0.49	0.43	0.47
1909	0.36	0.47	0.42	0.46
1910	0.39	0.48	0.42	0.46
1911	0.38	0.43	0.33	0.44
1912	0.38	0.47	0.37	0.43
1913	0.39	0.47	0.37	0.44
1914	0.39	0.44	0.35	0.42
1915	0.38	0.41	0.37	0.41
1916	0.39	0.42	0.35	0.43
1917	0.4	0.4	0.36	0.41
1918	0.41	0.42	0.38	0.42
1919	0.38	0.42	0.37	0.46
1920	0.39	0.43	0.35	0.43
1921	0.37	0.4	0.35	0.43
1922	0.4	0.41	0.36	0.46
1923	0.4	0.45	0.36	0.45
1924	0.37	0.42	0.35	0.41
1925	0.38	0.42	0.35	0.41
1926	0.37	0.42	0.33	0.45
1927	0.38	0.4	0.33	0.44
1928	0.38	0.43	0.36	0.44
1929	0.37	0.39	0.36	0.43
1930	0.4	0.44	0.36	0.43
1931	0.37	0.48	0.37	0.46
1932	0.37	0.44	0.36	0.44
1933	0.41	0.4	0.34	0.4
1934	0.39	0.42	0.34	0.48
1935	0.41	0.41	0.33	0.43
1936	0.38	0.41	0.33	0.45
1937	0.37	0.38	0.32	0.47
1938	0.38	0.43	0.35	0.44
1939	0.4	0.45	0.34	0.45
1940	0.37	0.42	0.34	0.43
1941	0.36	0.39	0.34	0.41
1942	0.35	0.43	0.35	0.41
1943	0.38	0.41	0.36	0.44
1944	0.36	0.42	0.35	0.44
1945	0.37	0.44	0.35	0.43
1946	0.4	0.47	0.38	0.42
1947	0.36	0.45	0.35	0.41
1948	0.36	0.44	0.32	0.4
1949	0.35	0.39	0.36	0.39
1950	0.39	0.42	0.38	0.41
1951	0.39	0.38	0.36	0.46
1952	0.34	0.39	0.33	0.4
1953	0.35	0.41	0.35	0.43
1954	0.39	0.46	0.38	0.43
1955	0.39	0.43	0.37	0.42
1956	0.38	0.45	0.35	0.43
1957	0.35	0.41	0.35	0.4
1958	0.37	0.38	0.34	0.39
1959	0.36	0.41	0.35	0.43
1960	0.38	0.43	0.37	0.39
1961	0.36	0.41	0.37	0.42
1962	0.38	0.43	0.39	0.41
1963	0.4	0.42	0.35	0.39
1964	0.4	0.41	0.34	0.42
1965	0.39	0.39	0.32	0.41
1966	0.4	0.44	0.35	0.4
1967	0.39	0.43	0.37	0.44
1968	0.38	0.42	0.36	0.37
1969	0.37	0.4	0.36	0.41
1970	0.37	0.46	0.37	0.41
1971	0.36	0.42	0.36	0.42
1972	0.38	0.4	0.36	0.41
1973	0.38	0.38	0.32	0.4
1974	0.38	0.45	0.34	0.4
1975	0.39	0.44	0.36	0.4
1976	0.39	0.49	0.38	0.4
1977	0.39	0.49	0.31	0.41
1978	0.36	0.39	0.33	0.37
