# Black - Lake Sammamish - PSME - ITRDB WA158
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38206
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38206.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa158-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa158.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa158.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-12
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-12
#--------------------
# Title
#   Study_Name: Black - Lake Sammamish - PSME - ITRDB WA158
#--------------------
# Investigators
#   Investigators: Black, Bryan A.
#--------------------
# Description_Notes_and_Keywords
#   Description: This is a single tree killed in a landslide into Lake Sammamish and is crossdated against other chronologies in the region
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US Geological Survey
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Lake Sammamish
#   Location: Washington
#   Northernmost_Latitude: 47.571
#   Southernmost_Latitude: 47.571
#   Easternmost_Longitude: -122.086
#   Westernmost_Longitude: -122.086
#   Elevation_m: 7
#--------------------
# Data_Collection
#   Collection_Name: WA158
#   First_Year: 692
#   Last_Year: 923
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LSA01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LSA01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LSA01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LSA01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LSA01C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LSA01C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LSA01A_raw	LSA01B_raw	LSA01C_raw
832	0.75	0.82	0.77
833	0.41	0.4	0.41
834	0.57	0.58	0.61
835	0.6	0.53	0.55
836	0.72	0.68	0.82
837	1	1	1.01
838	0.73	0.79	0.76
839	0.6	0.72	0.54
840	0.75	0.74	0.75
841	1.12	1.1	1.13
842	0.88	0.84	0.86
843	0.6	0.59	0.68
844	0.73	0.64	0.67
845	0.75	0.87	0.85
846	1.03	1	1.01
847	0.82	0.76	0.83
848	0.53	0.58	0.59
849	0.97	0.92	0.88
850	0.79	0.77	0.79
851	0.81	0.74	0.81
852	0.94	0.9	1
853	0.79	0.74	0.8
854	0.96	0.77	0.94
855	0.77	0.69	0.77
856	0.58	0.55	0.59
857	0.32	0.25	0.31
858	0.53	0.46	0.5
859	0.68	0.62	0.67
860	0.46	0.49	0.46
861	0.53	0.59	0.56
862	0.51	0.54	0.53
863	0.75	0.73	0.75
864	0.45	0.46	0.46
865	0.54	0.56	0.58
866	0.79	0.77	0.76
867	0.76	0.8	0.81
868	0.8	0.91	0.76
869	0.55	0.56	0.54
870	0.58	0.52	0.6
871	0.73	0.63	0.72
872	0.57	0.56	0.6
873	0.53	0.53	0.56
874	0.66	0.61	0.66
875	0.57	0.56	0.63
876	0.65	0.69	0.66
877	0.65	0.66	0.67
878	0.69	0.74	0.67
879	0.63	0.59	0.62
880	0.34	0.35	0.35
881	0.54	0.6	0.52
882	0.58	0.64	0.56
883	0.6	0.6	0.58
884	0.65	0.62	0.63
885	0.67	0.67	0.66
886	0.72	0.77	0.71
887	0.44	0.4	0.43
888	0.19	0.23	0.21
889	0.26	0.21	0.22
890	0.22	0.25	0.22
891	0.33	0.38	0.3
892	0.39	0.41	0.36
893	0.49	0.49	0.46
894	0.54	0.55	0.47
895	0.46	0.53	0.45
896	0.43	0.4	0.37
897	0.5	0.42	0.46
898	0.5	0.43	0.43
899	0.52	0.51	0.5
900	0.53	0.55	0.5
901	0.5	0.55	0.47
902	0.52	0.52	0.52
903	0.8	0.76	0.8
904	0.82	0.71	0.78
905	0.59	0.49	0.5
906	0.57	0.57	0.54
907	0.76	0.79	0.77
908	0.75	0.73	0.77
909	0.7	0.66	0.7
910	0.64	0.56	0.63
911	0.61	0.54	0.56
912	0.57	0.52	0.52
913	0.61	0.53	0.59
914	0.49	0.47	0.49
915	0.61	0.62	0.65
916	0.53	0.66	0.63
917	0.51	0.58	0.51
918	0.39	0.55	0.41
919	0.49	0.48	0.48
920	0.58	0.49	0.55
921	0.57	0.48	0.62
922	0.35	0.29	0.29
923	0.83	0.87	0.91
