# Kaiser - Rimrock Valles Ground  White Pass - PSME - ITRDB WA4
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3662
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3662.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa4-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wa4-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa4.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa4.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1997-01-06
#--------------------
# File_Last_Modified_Date
#   Date: 1997-01-06
#--------------------
# Title
#   Study_Name: Kaiser - Rimrock Valles Ground  White Pass - PSME - ITRDB WA4
#--------------------
# Investigators
#   Investigators: Kaiser, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Rimrock  Valles Ground  White Pass
#   Location: Washington
#   Northernmost_Latitude: 46.33
#   Southernmost_Latitude: 46.33
#   Easternmost_Longitude: -121.17
#   Westernmost_Longitude: -121.17
#   Elevation_m: 810
#--------------------
# Data_Collection
#   Collection_Name: WA4
#   First_Year: 1885
#   Last_Year: 1986
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## RIMR0010_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMR0010; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMR0020_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMR0020; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMR0030_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMR0030; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMR0040_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMR0040; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMR0050_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMR0050; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMR0060_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMR0060; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMR0070_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMR0070; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMR0080_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMR0080; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMRCH00_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMRCH00; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	RIMR0010_raw	RIMR0020_raw	RIMR0030_raw	RIMR0040_raw	RIMR0050_raw	RIMR0060_raw	RIMR0070_raw	RIMR0080_raw	RIMRCH00_raw
1961	2.19	2.79	1.28	3.49	2.02	3.54	2.27	4.51	2.76
1962	2.13	2.2	1.23	2.84	1.9	2.81	2.09	3.59	2.35
1963	1.95	3.18	1.09	2.44	1.95	2.89	1.97	3.39	2.36
1964	1.36	2.39	0.85	2.22	1.8	2.79	1.79	2.66	1.98
1965	1.01	1.83	0.71	1.01	1.61	3.01	1.34	1.99	1.56
1966	0.77	1.39	0.53	1.42	1.44	3.42	1.47	2.23	1.58
1967	1.44	1.53	0.79	2.1	1.58	3.66	1.84	3.99	2.12
1968	0.86	1.54	0.39	1.43	1.26	3.7	1.44	2.33	1.62
1969	1.2	1.92	0.76	1.59	1.5	3.34	1.18	2.66	1.77
1970	1.52	1.81	0.68	2.12	1.42	2.81	1.37	2.94	1.83
1971	1.53	1.75	0.72	2.35	1.6	3.02	1.65	3.58	2.03
1972	1.55	1.76	0.7	2.87	1.74	3.65	1.62	3.98	2.23
1973	0.76	0.89	0.38	1.41	1.34	3.02	1.55	2.51	1.48
1974	1.07	0.72	0.61	1.71	1.41	2.47	1.71	3.19	1.61
1975	1.32	1.15	0.54	1.88	1.34	3.19	1.71	3.91	1.88
1976	1.21	1.5	0.55	2.36	1.63	3.81	1.82	4.25	2.14
1977	0.11	0.48	0.1	0.37	0.49	1.46	0.84	1.41	0.66
1978	0.73	0.94	0.4	1.13	0.95	2.1	1.51	2.53	1.29
1979	0.52	0.89	0.29	1.03	1.05	2.54	1.09	2.33	1.22
1980	0.63	0.86	0.32	1.05	0.92	3.5	1.47	2.5	1.41
1981	0.5	0.92	0.25	0.87	0.69	2.39	0.97	2.12	1.09
1982	0.55	0.74	0.26	0.83	0.71	1.99	0.85	1.96	0.99
1983	0.64	1.03	0.39	1.04	0.74	2.05	0.87	2.29	1.13
1984	0.7	1.13	0.43	0.91	0.84	2.49	0.93	1.94	1.17
1985	0.55	0.72	0.32	0.69	0.67	1.65	0.6	1.22	0.8
1986	0.58	0.78	0.31	0.77	0.54	2.08	0.64	1.14	0.86
