# Miles - Gedney House, Salem - QUSP - ITRDB MA010
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4029
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4029.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma010-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ma010-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma010.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ma010.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2003-06-20
#--------------------
# File_Last_Modified_Date
#   Date: 2003-06-20
#--------------------
# Title
#   Study_Name: Miles - Gedney House, Salem - QUSP - ITRDB MA010
#--------------------
# Investigators
#   Investigators: Miles, D.W.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Gedney House, Salem
#   Location: Massachusetts
#   Northernmost_Latitude: 42.52
#   Southernmost_Latitude: 42.52
#   Easternmost_Longitude: -70.9
#   Westernmost_Longitude: -70.9
#   Elevation_m: 15
#--------------------
# Data_Collection
#   Collection_Name: MA010
#   First_Year: 1555
#   Last_Year: 1704
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ghs1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ghs1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ghs2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ghs2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ghs3a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ghs3a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ghs3b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ghs3b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ghs12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ghs12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ghs13a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ghs13a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ghs13b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ghs13b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ghs14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ghs14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ghs1_raw	ghs2_raw	ghs3a_raw	ghs3b_raw	ghs12_raw	ghs13a_raw	ghs13b_raw	ghs14_raw
1632	1.89	1	1.05	0.74	NA	0.91	0.95	0.9
1633	1.47	0.84	1.05	0.83	NA	0.97	0.99	0.96
1634	1.2	1.04	1.34	0.91	NA	0.86	1.1	1.09
1635	0.72	0.86	0.96	0.63	NA	0.86	0.82	0.79
1636	1.02	1.3	1.52	0.99	NA	0.95	0.96	0.94
1637	1.11	1.2	1.12	1.04	NA	1.03	1.04	1.07
1638	1.27	0.97	1.36	1.29	NA	0.92	1.02	1.04
1639	1.11	1.26	1.14	0.76	NA	0.8	0.82	1.01
1640	1.05	1.28	0.9	0.96	NA	0.87	1.12	0.9
1641	1.22	1.07	1.11	1.04	NA	0.77	0.79	0.96
1642	1.12	1.03	1.22	1.28	NA	0.82	0.84	1.02
1643	1.26	0.96	1.13	1.03	NA	0.68	0.68	0.94
1644	1.16	0.97	1.2	1.14	NA	0.74	0.86	0.94
1645	0.76	0.87	0.95	0.9	2.38	0.93	1	0.94
1646	0.84	0.83	1.26	1.03	2.59	1.02	1.16	1.14
1647	0.7	0.81	0.95	1.02	1.77	0.84	1.08	1.01
1648	0.86	1	0.86	0.82	1.81	0.86	0.8	0.86
1649	0.91	1.02	1.15	0.91	1.89	0.81	0.9	1.04
1650	0.79	1.08	0.88	0.73	1.82	0.66	0.79	0.82
1651	0.69	0.87	0.88	0.64	2.02	0.58	0.81	0.76
1652	0.7	1.01	0.94	0.8	2.39	0.74	0.77	0.86
1653	0.76	0.74	0.84	0.73	2.5	0.7	0.81	0.98
1654	0.92	0.75	0.86	0.79	3.32	0.79	0.88	1.04
1655	1.12	0.75	1.03	0.94	3.09	0.77	0.79	1.09
1656	1.29	0.6	0.81	0.77	3.02	0.7	0.9	1.02
1657	1.01	0.69	1.11	0.94	2.98	0.95	1.04	1.03
1658	1.2	0.82	1.26	0.97	3.41	0.86	1.03	1
1659	1.26	0.8	NA	0.97	2.23	0.79	0.71	1
1660	1.57	0.84	NA	0.64	2.41	0.7	0.8	1.03
1661	1.81	0.83	NA	0.75	2.75	0.88	0.8	0.98
1662	1.58	0.75	NA	0.68	1.99	0.78	0.86	0.97
1663	2.4	0.99	NA	0.8	2.13	0.83	0.79	1.1
1664	2.72	0.76	NA	NA	2.02	NA	NA	NA
1665	NA	0.65	NA	NA	1.55	NA	NA	NA
1666	NA	0.72	NA	NA	1.08	NA	NA	NA
1667	NA	0.81	NA	NA	1.29	NA	NA	NA
1668	NA	1.13	NA	NA	1.49	NA	NA	NA
1669	NA	1.3	NA	NA	1.95	NA	NA	NA
1670	NA	1.02	NA	NA	2.47	NA	NA	NA
1671	NA	1.2	NA	NA	2.54	NA	NA	NA
1672	NA	1.13	NA	NA	2.61	NA	NA	NA
1673	NA	1.16	NA	NA	2.53	NA	NA	NA
1674	NA	1.42	NA	NA	2.29	NA	NA	NA
1675	NA	1.27	NA	NA	2.02	NA	NA	NA
1676	NA	1.08	NA	NA	2.25	NA	NA	NA
1677	NA	1.1	NA	NA	2.13	NA	NA	NA
1678	NA	1.16	NA	NA	1.8	NA	NA	NA
1679	NA	1.15	NA	NA	1.69	NA	NA	NA
1680	NA	1.1	NA	NA	1.93	NA	NA	NA
1681	NA	1.11	NA	NA	1.95	NA	NA	NA
1682	NA	1.04	NA	NA	2.01	NA	NA	NA
1683	NA	1.05	NA	NA	1.84	NA	NA	NA
1684	NA	1.25	NA	NA	1.84	NA	NA	NA
1685	NA	1.09	NA	NA	1.6	NA	NA	NA
1686	NA	0.94	NA	NA	1.5	NA	NA	NA
1687	NA	1.02	NA	NA	1.2	NA	NA	NA
1688	NA	0.84	NA	NA	1.22	NA	NA	NA
1689	NA	0.96	NA	NA	1.04	NA	NA	NA
1690	NA	1.11	NA	NA	1.16	NA	NA	NA
1691	NA	0.97	NA	NA	1.29	NA	NA	NA
1692	NA	1.16	NA	NA	1.36	NA	NA	NA
1693	NA	1.08	NA	NA	1.54	NA	NA	NA
1694	NA	1.3	NA	NA	1.56	NA	NA	NA
1695	NA	1.47	NA	NA	1.56	NA	NA	NA
1696	NA	1.08	NA	NA	1.61	NA	NA	NA
1697	NA	1.11	NA	NA	1.44	NA	NA	NA
1698	NA	1.17	NA	NA	1.45	NA	NA	NA
1699	NA	0.94	NA	NA	1.16	NA	NA	NA
1700	NA	0.98	NA	NA	1.08	NA	NA	NA
1701	NA	0.96	NA	NA	0.8	NA	NA	NA
1702	NA	1.16	NA	NA	0.86	NA	NA	NA
1703	NA	NA	NA	NA	0.7	NA	NA	NA
1704	NA	NA	NA	NA	0.82	NA	NA	NA
