# Miles - Deane Winthrop House, Winthrop - QUSP - ITRDB MA007
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4026
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4026.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma007-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ma007-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma007.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ma007.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2003-06-20
#--------------------
# File_Last_Modified_Date
#   Date: 2003-06-20
#--------------------
# Title
#   Study_Name: Miles - Deane Winthrop House, Winthrop - QUSP - ITRDB MA007
#--------------------
# Investigators
#   Investigators: Miles, D.W.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Deane Winthrop House, Winthrop
#   Location: Massachusetts
#   Northernmost_Latitude: 42.38
#   Southernmost_Latitude: 42.38
#   Easternmost_Longitude: -70.98
#   Westernmost_Longitude: -70.98
#   Elevation_m: 15
#--------------------
# Data_Collection
#   Collection_Name: MA007
#   First_Year: 1579
#   Last_Year: 1695
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## dwh1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dwh1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dwh2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dwh2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dwh4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dwh4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dwh5_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dwh5; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dwh6_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dwh6; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dwh11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dwh11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dwh12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dwh12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dwh13_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dwh13; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	dwh1_raw	dwh2_raw	dwh4_raw	dwh5_raw	dwh6_raw	dwh11_raw	dwh12_raw	dwh13_raw
1652	0.85	1.61	0.79	0.86	0.68	1.27	1.5	1.15
1653	0.65	1.63	0.73	0.83	0.61	1.01	1.5	1.11
1654	0.85	1.93	0.9	0.84	0.75	1.52	2.07	1.2
1655	0.84	2.1	0.97	1.04	0.81	1.61	2.04	1.34
1656	0.84	2.31	0.93	0.98	0.95	2.25	2.63	1.8
1657	0.99	1.98	0.83	1.04	0.83	1.94	2.41	1.9
1658	1.09	2.13	0.91	1.12	0.97	2.23	3.06	2.83
1659	0.91	1.85	0.83	1.04	0.93	1.68	2.56	1.43
1660	1.05	1.7	0.84	0.97	0.81	1.41	2.4	1.3
1661	1.15	1.52	0.75	0.9	0.77	1.16	2.72	1.26
1662	0.95	1.43	0.84	0.83	0.79	0.98	1.41	0.86
1663	0.94	1.84	0.88	0.9	0.97	1.31	2.18	0.98
1664	0.97	2	0.79	0.8	0.93	1.41	2.52	0.91
1665	0.97	1.29	0.65	0.85	0.7	1.12	2.17	1.01
1666	0.84	0.99	0.43	0.89	0.72	0.93	1.52	0.77
1667	0.81	0.93	0.32	0.88	0.79	0.84	1.19	0.7
1668	0.93	1.27	0.44	0.83	0.7	0.75	1.66	0.68
1669	1.54	1.81	0.58	0.88	0.62	1.36	2.56	0.87
1670	1.04	2.08	0.52	0.89	0.75	1.01	2.38	0.73
1671	1.21	1.76	0.38	0.69	0.87	1.29	2.72	1.22
1672	1.34	1.58	0.51	0.93	0.71	1.79	2.8	1.26
1673	1.14	1.65	NA	0.88	0.77	1.97	3.09	1.51
1674	1.11	NA	NA	NA	NA	1.87	3	1.25
1675	NA	NA	NA	NA	NA	1.6	2.18	1.04
1676	NA	NA	NA	NA	NA	1.36	2.4	0.98
1677	NA	NA	NA	NA	NA	1.37	1.87	0.79
1678	NA	NA	NA	NA	NA	1.3	2.17	1.14
1679	NA	NA	NA	NA	NA	1.89	1.95	1.61
1680	NA	NA	NA	NA	NA	1.81	2.53	1.89
1681	NA	NA	NA	NA	NA	1.89	1.86	1.67
1682	NA	NA	NA	NA	NA	2.03	2.56	2.22
1683	NA	NA	NA	NA	NA	2.42	2.38	2.24
1684	NA	NA	NA	NA	NA	1.65	2.58	2.34
1685	NA	NA	NA	NA	NA	2.56	2.3	2.33
1686	NA	NA	NA	NA	NA	1.89	1.8	1.64
1687	NA	NA	NA	NA	NA	1.81	1.57	1.93
1688	NA	NA	NA	NA	NA	1.82	1.5	1.47
1689	NA	NA	NA	NA	NA	1.95	2.17	2.04
1690	NA	NA	NA	NA	NA	2.01	2.05	1.93
1691	NA	NA	NA	NA	NA	2.23	2.55	2.33
1692	NA	NA	NA	NA	NA	2.61	2.19	2.26
1693	NA	NA	NA	NA	NA	2.4	2.08	2.15
1694	NA	NA	NA	NA	NA	2.92	2.26	2.38
1695	NA	NA	NA	NA	NA	NA	2.38	2.25
