# Miles - Boston Mill Dam - QUSP - ITRDB MA005
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4023
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4023.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma005-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ma005-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma005.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ma005.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-07-12
#--------------------
# File_Last_Modified_Date
#   Date: 2007-07-12
#--------------------
# Title
#   Study_Name: Miles - Boston Mill Dam - QUSP - ITRDB MA005
#--------------------
# Investigators
#   Investigators: Miles, D.W.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Boston Mill Dam
#   Location: Massachusetts
#   Northernmost_Latitude: 42.37
#   Southernmost_Latitude: 42.37
#   Easternmost_Longitude: -71.07
#   Westernmost_Longitude: -71.07
#   Elevation_m: 15
#--------------------
# Data_Collection
#   Collection_Name: MA005
#   First_Year: 1454
#   Last_Year: 1683
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## bmd1a1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: bmd1a1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## bmd1a2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: bmd1a2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## bmd1b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: bmd1b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## bmd1c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: bmd1c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## bmd1d_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: bmd1d; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## bmd1e_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: bmd1e; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	bmd1a1_raw	bmd1a2_raw	bmd1b_raw	bmd1c_raw	bmd1d_raw	bmd1e_raw
1545	NA	1.54	1.36	1.16	1.31	NA
1546	NA	1.03	1.04	1.26	1.25	NA
1547	NA	0.77	0.78	0.97	0.91	NA
1548	NA	0.78	1.05	1.02	0.83	NA
1549	NA	0.93	1.13	1.01	1.01	NA
1550	NA	1.25	1.44	1.12	1.27	NA
1551	NA	1.41	1.36	1.16	1.41	NA
1552	NA	1.02	1.07	1.03	1.26	NA
1553	NA	1.22	1.05	1.84	1.17	NA
1554	NA	1	1.16	1.08	1	NA
1555	NA	1.03	1.02	1.16	1.09	NA
1556	NA	1.04	0.86	0.75	0.75	NA
1557	NA	0.43	0.82	0.66	0.44	NA
1558	NA	0.81	1.66	0.63	0.55	NA
1559	NA	1.15	1.16	1.02	0.86	NA
1560	NA	1.2	1.12	1.04	0.97	NA
1561	NA	0.76	0.9	0.73	0.87	NA
1562	NA	0.93	1.1	0.77	0.9	NA
1563	NA	1.05	1.25	0.91	0.97	NA
1564	NA	0.84	0.83	0.61	0.75	NA
1565	NA	0.7	0.9	0.42	0.61	NA
1566	NA	1.03	1.08	0.7	0.8	NA
1567	NA	1.1	1.33	0.77	0.71	NA
1568	NA	0.85	0.94	0.62	0.64	NA
1569	NA	1	1.27	0.82	0.73	NA
1570	NA	0.65	0.72	0.56	0.52	NA
1571	NA	0.5	0.52	0.36	0.5	NA
1572	NA	0.5	0.66	0.47	0.44	NA
1573	NA	0.52	0.74	0.38	0.41	NA
1574	NA	0.63	0.67	0.41	0.33	NA
1575	NA	0.63	0.6	0.58	0.55	NA
1576	NA	0.68	0.61	0.57	0.47	NA
1577	NA	0.68	0.86	0.58	0.55	NA
1578	NA	0.81	0.89	0.97	0.8	NA
1579	NA	0.88	0.86	1.04	0.94	NA
1580	NA	0.88	1.17	1.16	0.94	NA
1581	NA	0.88	1.38	1.46	1.22	NA
1582	NA	1.04	1.29	1.55	1.44	NA
1583	NA	0.97	2	1.36	1.23	NA
1584	NA	1.43	1.57	1.58	1.31	NA
1585	NA	1.19	1.44	1.36	1.01	NA
1586	NA	1.38	1	1.36	1.05	NA
1587	NA	1.08	1.02	1.08	0.77	NA
1588	NA	1.36	1.03	1.27	0.84	NA
1589	NA	1.11	1.16	1.08	0.77	1.15
1590	NA	1.02	1.16	1.01	1.19	0.94
1591	NA	1.52	1.25	1.51	0.91	0.83
1592	NA	1.47	1.31	1.32	0.86	0.85
1593	NA	1.79	0.75	1.82	0.97	1.42
1594	NA	0.84	0.68	1.11	0.52	0.87
1595	NA	1.05	0.92	1.16	0.69	1.29
1596	NA	1.4	1.05	1.02	0.86	1.23
1597	NA	1.47	1.11	1.44	0.92	1.22
1598	NA	1.59	1.27	1.38	0.91	1.34
1599	NA	1.5	0.97	1.36	1	1.42
1600	NA	1.28	0.98	1.32	0.88	1.31
1601	NA	1.3	1.59	1.19	0.93	1.22
1602	NA	1.54	1.19	1.43	1.16	1.55
1603	NA	1.36	1.02	1.28	1.11	1.55
1604	NA	1.22	0.91	0.77	0.72	0.86
1605	NA	1.15	1.11	0.92	0.66	0.8
1606	NA	1.27	1.41	0.87	0.78	0.94
1607	NA	1.36	1.47	1.16	1.12	1
1608	NA	1.5	1.33	1.05	0.96	1.1
1609	NA	1.31	1.19	0.96	0.94	0.94
1610	NA	1.45	1.33	1.07	0.8	0.82
1611	NA	1.15	1.22	0.88	0.77	0.7
1612	NA	1.2	1.16	1.07	0.83	1
1613	NA	1.26	1.08	1.12	0.97	1.35
1614	NA	1.16	1.11	0.91	0.8	0.73
1615	NA	1.02	1.1	0.88	0.94	0.69
1616	NA	0.87	1.13	0.78	0.85	0.52
1617	NA	1.02	0.91	0.96	0.91	0.58
1618	NA	0.88	0.69	0.79	0.8	0.58
1619	NA	1.08	0.52	0.81	0.63	0.54
1620	NA	0.83	0.47	0.67	0.56	0.4
1621	NA	0.73	0.58	0.47	0.56	0.45
1622	NA	0.7	0.47	0.63	0.5	0.54
1623	NA	0.66	0.63	0.67	0.6	0.68
1624	NA	0.94	0.58	0.75	0.73	0.86
1625	NA	0.79	0.55	1.38	0.55	0.65
1626	NA	0.84	0.66	0.9	0.69	0.68
1627	NA	0.79	0.72	0.86	0.66	0.93
1628	NA	0.93	0.75	0.88	0.8	0.97
1629	NA	0.87	0.77	0.78	0.81	0.97
1630	NA	0.74	0.67	0.78	0.63	0.65
1631	NA	0.61	0.61	0.64	0.57	0.66
1632	NA	0.68	0.76	0.6	0.5	0.77
1633	NA	NA	1.19	0.6	0.41	0.6
1634	NA	NA	0.75	0.7	0.44	0.55
1635	NA	NA	0.52	0.52	0.42	0.43
1636	NA	NA	0.74	0.73	0.58	0.63
1637	NA	NA	0.69	0.77	0.65	0.58
1638	NA	NA	0.65	0.77	0.7	0.64
1639	NA	NA	0.71	0.71	0.61	0.7
1640	NA	NA	0.77	0.8	0.67	0.61
1641	NA	NA	0.63	0.75	1.11	0.7
1642	NA	NA	0.62	0.61	0.74	0.58
1643	NA	NA	0.66	0.61	0.75	0.76
1644	NA	NA	0.48	0.63	0.61	0.62
1645	NA	NA	0.58	0.5	0.54	0.57
1646	NA	NA	0.62	0.41	0.63	0.54
1647	NA	NA	0.86	0.6	0.58	0.81
1648	NA	NA	0.62	0.52	0.79	0.86
1649	NA	NA	0.69	0.7	0.86	0.81
1650	NA	NA	0.58	1.04	0.52	0.68
1651	NA	NA	0.44	0.57	0.47	0.54
1652	NA	NA	0.41	0.42	0.47	0.65
1653	NA	NA	0.39	0.52	0.52	0.58
1654	NA	NA	0.66	0.46	0.62	0.63
1655	NA	NA	0.55	0.52	0.75	0.84
1656	NA	NA	0.5	0.46	0.8	0.86
1657	NA	NA	0	0.55	0.67	0.9
1658	NA	NA	NA	0.56	0.88	0.93
1659	NA	NA	NA	0.47	0.83	0.83
1660	NA	NA	NA	0.44	0.61	0.64
1661	NA	NA	NA	0.48	0.63	0.78
1662	NA	NA	NA	0.49	0.46	0.71
1663	NA	NA	NA	0.69	0.83	0.78
1664	NA	NA	NA	0.61	0.51	0.73
1665	NA	NA	NA	0.57	0.48	0.47
1666	NA	NA	NA	0.48	0.49	0.65
1667	NA	NA	NA	0.47	0.52	0.63
1668	NA	NA	NA	0.5	0.54	0.77
1669	NA	NA	NA	0.71	0.72	0.93
1670	NA	NA	NA	0.6	0.49	0.69
1671	NA	NA	NA	0.66	0.52	0.81
1672	NA	NA	NA	0.72	0.65	0.72
1673	NA	NA	NA	0.72	0.75	0.97
1674	NA	NA	NA	0.69	0.61	0.91
1675	NA	NA	NA	0.66	0.73	0.91
1676	NA	NA	NA	0.77	NA	0.93
1677	NA	NA	NA	0.6	NA	0.89
1678	NA	NA	NA	0.58	NA	1.02
1679	NA	NA	NA	0.52	NA	1.17
1680	NA	NA	NA	0.63	NA	1.19
1681	NA	NA	NA	0.67	NA	0.84
1682	NA	NA	NA	0.55	NA	0.77
1683	NA	NA	NA	0.76	NA	0.79
