# Grissino-Mayer - Archinto Viola - PCAB - ITRDB BRIT051
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3424
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3424.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit051-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit051-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit051.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit051.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2003-01-27
#--------------------
# File_Last_Modified_Date
#   Date: 2003-01-27
#--------------------
# Title
#   Study_Name: Grissino-Mayer - Archinto Viola - PCAB - ITRDB BRIT051
#--------------------
# Investigators
#   Investigators: Grissino-Mayer, H.D.; Sheppard, P.R.; Cleaveland, M.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Archinto Viola
#   Location: United Kingdom
#   Northernmost_Latitude: 51.52
#   Southernmost_Latitude: 51.52
#   Easternmost_Longitude: -0.17
#   Westernmost_Longitude: -0.17
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: BRIT051
#   First_Year: 1527
#   Last_Year: 1685
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## harchta_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: harchta; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## harchtb_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: harchtb; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## harchbb_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: harchbb; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## harchbc_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: harchbc; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	harchta_raw	harchtb_raw	harchbb_raw	harchbc_raw
1637	0.546	0.562	0.586	0.552
1638	0.53	0.536	0.512	0.504
1639	0.338	0.388	0.358	0.406
1640	0.534	0.53	0.524	0.448
1641	0.404	0.448	0.452	0.47
1642	0.496	0.448	0.488	0.508
1643	0.552	0.564	0.52	0.604
1644	0.442	0.494	0.514	0.442
1645	0.568	0.562	0.458	0.56
1646	0.516	0.5	0.552	0.498
1647	0.412	0.404	0.418	0.428
1648	0.39	0.352	0.418	0.442
1649	0.444	0.456	0.396	0.404
1650	0.49	0.478	0.478	0.464
1651	0.438	0.472	0.508	0.496
1652	0.426	0.442	0.422	0.446
1653	0.506	0.448	0.526	0.566
1654	0.414	0.406	0.368	0.396
1655	0.454	0.522	0.562	0.576
1656	0.596	0.564	0.53	0.546
1657	0.628	0.584	0.682	0.696
1658	0.546	0.526	0.682	0.722
1659	0.508	0.496	0.58	0.63
1660	0.566	0.606	0.648	0.674
1661	0.548	0.542	0.636	0.648
1662	0.578	0.596	0.626	0.648
1663	0.54	0.51	0.582	0.652
1664	0.498	0.558	0.61	0.568
1665	0.518	0.47	0.66	0.716
1666	0.592	0.55	0.644	0.722
1667	0.48	0.438	0.576	0.568
1668	0.44	0.482	0.488	0.442
1669	0.484	0.582	0.502	0.456
1670	0.428	0.352	0.434	0.416
1671	0.29	0.356	0.344	0.406
1672	0.476	0.43	0.478	0.454
1673	0.436	0.412	0.406	0.38
1674	0.492	0.518	0.512	0.468
1675	0.49	0.466	0.408	0.442
1676	0.408	0.418	0.508	0.522
1677	0.352	0.334	0.268	0.294
1678	0.394	0.444	0.4	0.37
1679	0.536	0.462	0.532	0.542
1680	NA	0.43	0.436	0.376
1681	NA	0.41	NA	0.426
1682	NA	0.482	NA	NA
1683	NA	0.372	NA	NA
1684	NA	0.596	NA	NA
1685	NA	0.438	NA	NA
