# Hillam - Aydon Castle - QUSP - ITRDB BRIT030
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3489
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3489.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit030-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit030-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit030.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit030.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Hillam - Aydon Castle - QUSP - ITRDB BRIT030
#--------------------
# Investigators
#   Investigators: Hillam, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Aydon Castle
#   Location: United Kingdom
#   Northernmost_Latitude: 55.0
#   Southernmost_Latitude: 55.0
#   Easternmost_Longitude: -2.0
#   Westernmost_Longitude: -2.0
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: BRIT030
#   First_Year: 1424
#   Last_Year: 1543
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## AC01.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AC01.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AC02.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AC02.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AC03.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AC03.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AC04.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AC04.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AC07.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AC07.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AC08.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AC08.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AC09.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AC09.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AC10.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AC10.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AC56.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AC56.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	AC01.D_raw	AC02.D_raw	AC03.D_raw	AC04.D_raw	AC07.D_raw	AC08.D_raw	AC09.D_raw	AC10.D_raw	AC56.D_raw
1494	2.16	1.47	1.89	0.43	1.62	1.11	0.64	1.6	1.76
1495	2.35	2.12	2.53	0.58	1.8	1.05	0.78	1.75	1.81
1496	4.9	3.52	3.13	0.75	1.73	1.16	0.9	2.52	2.69
1497	3.16	2.16	2.67	0.73	2.47	1.38	0.74	1.73	2.22
1498	2.46	1.69	2.25	0.63	1.7	1.25	0.71	1.63	2.28
1499	2.96	2.44	2.78	0.5	1.51	1.25	0.79	1.66	2.55
1500	2.5	2.56	2.02	0.42	1.24	1.08	0.71	1.13	2.61
1501	1.28	1.72	0.81	0.45	0.73	0.74	0.52	0.62	1.34
1502	1.04	1.62	0.66	0.34	0.67	0.63	0.42	0.48	0.94
1503	1.53	1.66	0.96	0.33	0.89	0.75	0.55	0.59	1.06
1504	2.69	1.88	1.67	0.53	1.36	1.03	0.9	1.06	2.38
1505	3.72	2.53	2.44	0.47	1.4	1.49	0.95	1.58	3.24
1506	2.21	2.72	2.42	0.54	1.27	1.1	0.85	1.42	2.98
1507	1.16	1.35	1.76	0.58	1.4	1.38	0.67	1.16	2.55
1508	1.38	1.06	2.05	0.57	1.09	1.58	0.77	1.38	2.62
1509	1.35	1.02	2.84	0.64	1.47	1.25	0.91	1.72	3.18
1510	1.11	0.96	2.08	0.5	1.48	1.28	0.83	1.35	2.53
1511	1.22	1.24	1.73	0.6	1.3	0.9	0.99	1.17	2.51
1512	1.25	1	1.67	0.47	1.14	1.29	0.72	1.21	2.21
1513	1.56	1.34	2.21	0.67	1	1.42	0.85	1.5	2.6
1514	1.69	1.49	1.98	0.56	1.14	1.17	0.86	1.25	2.14
1515	1.84	1.27	1.78	0.6	1.31	1.44	0.94	1.48	2.37
1516	1.71	1.37	1.86	0.7	1.51	1.4	1.02	1.22	2.72
1517	1.13	1.01	1.5	0.68	1.29	NA	0.96	1.07	1.71
1518	1.35	1.15	2.4	0.88	1.43	NA	0.96	1.37	2.27
1519	1.47	1.09	2.1	0.71	1.45	NA	1.16	1.18	2.22
1520	1.1	1.07	1.65	0.62	1.1	NA	1.07	1.16	1.97
1521	0.99	1.03	1.57	0.64	1.26	NA	0.85	0.98	1.71
1522	1.54	1.6	1.47	0.5	1.42	NA	1.09	1.14	1.74
1523	0.97	1.35	1.5	0.41	1.62	NA	0.93	0.86	1.88
1524	1.1	1.35	2.09	0.47	1.62	NA	1.03	1.22	2.76
1525	1.01	1.13	2.2	0.64	1.61	NA	0.7	1.6	2.42
1526	1.25	1.44	1.91	0.71	1.84	NA	0.9	1.76	2.14
1527	1.36	1.27	1.19	0.65	1.82	NA	0.83	1.45	1.46
1528	0.98	1.03	1.36	0.55	1.84	NA	0.74	1.25	1.23
1529	0.92	0.88	1.15	0.59	1.57	NA	0.65	1.12	1.17
1530	1.07	1.12	1.09	0.55	1.62	NA	0.53	0.99	NA
1531	1.31	1.26	1.11	0.48	1.82	NA	0.68	1.26	NA
1532	0.94	0.95	1.24	0.5	1.74	NA	0.63	1.33	NA
1533	0.79	0.83	1.21	0.56	1.94	NA	0.65	1.35	NA
1534	1.03	1.09	1.82	0.49	1.98	NA	0.73	1.3	NA
1535	1.1	1.18	2.12	0.59	2.06	NA	0.95	1.52	NA
1536	1.09	0.98	2.49	0.56	1.65	NA	1.07	1.36	NA
1537	1.14	1.29	1.78	0.46	1.79	NA	0.67	1.46	NA
1538	0.81	0.87	1.47	0.42	1.56	NA	0.56	0.93	NA
1539	1.07	1	1.83	0.46	1.94	NA	0.9	1.32	NA
1540	1.35	1.16	1.49	0.6	2.87	NA	1.27	1.54	NA
1541	1.26	1.56	1.88	0.49	2.35	NA	1.19	1.22	NA
1542	0.92	1.12	NA	0.46	1.49	NA	0.78	1.29	NA
1543	1.27	1.07	NA	0.55	1.69	NA	1.03	NA	NA
