# Arnold - Church of St Mary Stockport - QUSP - ITRDB BRIT092
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/28329
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-28329.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit092-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit092-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit092.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit092.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-11-01
#--------------------
# File_Last_Modified_Date
#   Date: 2019-11-01
#--------------------
# Title
#   Study_Name: Arnold - Church of St Mary Stockport - QUSP - ITRDB BRIT092
#--------------------
# Investigators
#   Investigators: Arnold, A.J.; Howard, R.E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2020-03-09.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Historic England
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Church of St Mary Stockport
#   Location: United Kingdom
#   Northernmost_Latitude: 53.411228
#   Southernmost_Latitude: 53.411228
#   Easternmost_Longitude: -2.155242
#   Westernmost_Longitude: -2.155242
#   Elevation_m: None
#--------------------
# Data_Collection
#   Collection_Name: BRIT092
#   First_Year: 1019
#   Last_Year: 1133
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## STKC08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STKC08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STKC08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STKC08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STKC09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STKC09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STKC09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STKC09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STKC10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STKC10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STKC10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STKC10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	STKC08A_raw	STKC08B_raw	STKC09A_raw	STKC09B_raw	STKC10A_raw	STKC10B_raw
1114	NA	NA	NA	NA	1.19	1.24
1115	NA	NA	NA	NA	1.2	1.18
1116	NA	NA	NA	NA	1.7	1.59
1117	NA	NA	NA	NA	1.08	1.16
1118	NA	NA	NA	NA	1.42	1.47
1119	NA	NA	NA	NA	0.97	0.92
1120	NA	NA	NA	NA	1.24	1.23
1121	NA	NA	NA	NA	1.27	1.27
1122	NA	NA	NA	NA	1.48	1.48
1123	NA	NA	NA	NA	1.87	1.89
1124	NA	NA	NA	NA	1.45	1.41
1125	NA	NA	NA	NA	1.1	1.13
1126	NA	NA	NA	NA	1.28	1.28
1127	NA	NA	NA	NA	1.18	1.21
1128	NA	NA	NA	NA	1.43	1.43
1129	NA	NA	NA	NA	0.92	0.9
1130	NA	NA	NA	NA	1.12	1.14
1131	NA	NA	NA	NA	1.02	0.95
1132	NA	NA	NA	NA	0.92	0.96
1133	NA	NA	NA	NA	1.18	1.2
