# Jansma - Maastricht Onze Lieve Vrouwen Church - QUSP - ITRDB NETH018
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3632
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3632.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth018-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; neth018-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth018.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/neth018.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Jansma - Maastricht Onze Lieve Vrouwen Church - QUSP - ITRDB NETH018
#--------------------
# Investigators
#   Investigators: Jansma, E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Maastricht Onze Lieve Vrouwen Church
#   Location: Netherlands
#   Northernmost_Latitude: 50.85
#   Southernmost_Latitude: 50.85
#   Easternmost_Longitude: 5.68
#   Westernmost_Longitude: 5.68
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: NETH018
#   First_Year: 1223
#   Last_Year: 1351
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## OLV221_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OLV221; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OLV231_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OLV231; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OLV241_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OLV241; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OLV261_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OLV261; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OLV271_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OLV271; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OLV291_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OLV291; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OLV301_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OLV301; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OLV311_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OLV311; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OLV321_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OLV321; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	OLV221_raw	OLV231_raw	OLV241_raw	OLV261_raw	OLV271_raw	OLV291_raw	OLV301_raw	OLV311_raw	OLV321_raw
1295	2.15	1.92	2.26	1.59	3.35	2.69	2.08	1.94	1.62
1296	2.69	2.96	2.42	1.88	2.67	1.64	2	1.78	2.24
1297	2.13	2.09	2.59	1.71	2.95	1.46	2.03	1.74	1.95
1298	1.56	1.68	2.24	1.45	2.66	0.98	1.71	1.35	2.08
1299	1.76	1.38	1.68	1.46	2.08	0.56	1.77	1.07	1.95
1300	2.24	1.36	0.88	1.15	1.71	0.67	1.71	1.56	1.33
1301	1.92	1.58	1.3	1.34	1.92	0.88	1.96	1.32	1.44
1302	1.87	1.49	1.16	1.21	2.29	1.02	1.83	1.63	1.43
1303	1.9	1.52	1.15	1.25	1.67	0.76	2.02	1.53	1.5
1304	2.37	1.53	1.38	1.36	1.95	1.05	1.72	1.38	1.89
1305	1.86	2	1.37	1.53	1.82	0.81	2	1.56	1.83
1306	1.48	1.64	1.05	1.33	1.45	0.64	1.82	1.03	1.5
1307	1.6	2.03	1.3	1.3	1.38	0.65	2.01	1.24	1.71
1308	1.63	1.74	1.22	1.51	1.54	0.64	1.86	1.04	1.6
1309	1.74	2.06	1.52	1.88	2.41	1.02	2.75	2	1.71
1310	1.16	1.55	1.17	1.21	1.64	0.65	2.68	1.22	1.39
1311	1.17	1.65	1.02	1.12	1.43	0.84	1.98	1.24	1.98
1312	1.72	2.16	1.09	1.39	1.52	0.63	2.22	1.59	1.94
1313	1.41	1.92	1.11	1.44	1.61	0.65	2.22	1.09	1.49
1314	1.48	1.61	1.09	1.66	1.65	0.86	2.35	1.58	1.21
1315	1.08	1.28	0.48	1.03	1.23	0.57	1.81	0.77	0.59
1316	1.14	1.29	0.55	0.79	1.36	0.72	1.66	0.57	0.57
1317	1.45	1.63	0.73	0.95	1.5	0.58	1.97	0.57	0.68
1318	1.54	2.06	0.91	1.1	1.41	0.76	1.78	0.93	0.93
1319	1.5	1.65	0.88	1.07	1.27	0.62	1.65	0.64	1.12
1320	1.1	1.39	0.59	0.85	1.03	0.53	1.85	0.56	0.74
1321	1.3	1.8	0.8	1	1.07	0.78	2.33	0.79	0.94
1322	0.94	1.43	0.82	1.04	1.11	0.81	2.35	0.74	0.94
1323	1.1	1.84	0.67	1.08	1.15	0.69	1.87	0.8	1.09
1324	1.34	1.64	0.65	0.86	1.01	0.73	1.77	0.72	1.07
1325	1.24	1.48	0.84	0.93	1.04	0.87	1.38	0.95	0.94
1326	0.89	1.46	0.71	0.92	0.76	0.76	1.04	0.72	1.24
1327	1.28	2.16	1.02	1.1	1.09	1.04	1.48	1.15	1.63
1328	1.28	1.88	1.01	1.06	1.01	1.08	1.39	1.56	1.71
1329	1.49	1.51	0.9	0.93	1.19	0.94	1.29	1.08	1.85
1330	1.14	1.03	0.71	0.82	0.91	0.58	1.15	0.83	0.92
1331	1.2	1.01	0.66	0.81	0.67	0.68	0.94	0.89	0.85
1332	1.06	1.49	0.81	0.83	1.17	0.91	0.83	1.04	1.76
1333	1.1	1.31	1.13	0.96	0.98	0.89	1.22	1.33	1.62
1334	1.2	1.17	0.85	0.92	0.82	0.88	1.17	1.29	1.49
1335	1.02	1.04	0.85	0.98	0.93	0.85	0.89	1.32	1.23
1336	1.11	1.75	0.75	0.81	0.62	0.81	1.16	1.23	1.32
1337	1.15	1.52	0.89	0.78	0.63	0.84	0.83	1.43	1.33
1338	1.13	0.91	0.83	0.78	0.48	0.79	0.86	0.97	0.85
1339	NA	1.14	0.62	0.71	0.72	0.81	1.02	1.15	0.84
1340	NA	1.6	0.52	0.71	0.61	0.78	0.94	1.63	0.93
1341	NA	1.45	0.77	0.7	0.64	0.93	1	1.65	0.81
1342	NA	1.71	0.72	0.64	0.7	1.01	1.03	1.65	1.17
1343	NA	1.54	0.65	NA	0.77	1.13	1.6	2.11	1.27
1344	NA	1.1	0.56	NA	0.6	0.86	1.29	1.25	1.3
1345	NA	1.27	0.69	NA	0.79	1.03	1.38	1.11	1.48
1346	NA	1.22	0.55	NA	0.79	0.92	1.26	1.03	1.07
1347	NA	1.16	0.43	NA	0.64	0.65	1.41	1	1.09
1348	NA	NA	0.63	NA	0.71	1.3	NA	1.71	1.35
1349	NA	NA	0.47	NA	0.67	1.04	NA	1.49	1
1350	NA	NA	NA	NA	NA	NA	NA	1.56	0.97
1351	NA	NA	NA	NA	NA	NA	NA	1.26	NA
