# Jansma - Kerkrade Abbey Rolduc Roof Timbers - QUSP - ITRDB NETH014
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3630
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3630.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth014-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; neth014-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth014.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/neth014.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Jansma - Kerkrade Abbey Rolduc Roof Timbers - QUSP - ITRDB NETH014
#--------------------
# Investigators
#   Investigators: Jansma, E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Kerkrade Abbey Rolduc Roof Timbers
#   Location: Netherlands
#   Northernmost_Latitude: 50.87
#   Southernmost_Latitude: 50.87
#   Easternmost_Longitude: 6.07
#   Westernmost_Longitude: 6.07
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: NETH014
#   First_Year: 1484
#   Last_Year: 1586
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## kar011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kar011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kar021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kar021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kar031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kar031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kar041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kar041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kar051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kar051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kar061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kar061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kar071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kar071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kar081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kar081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	kar011_raw	kar021_raw	kar031_raw	kar041_raw	kar051_raw	kar061_raw	kar071_raw	kar081_raw
1568	1.19	1.9	1.47	1.64	0.79	0.72	1.88	1.91
1569	1	1.97	1.18	1.51	0.85	0.77	1.48	2.11
1570	0.75	1.52	1.05	1.43	0.8	0.95	1.36	2.69
1571	0.59	1.74	0.89	1.68	1.07	1.06	1.39	2.86
1572	0.8	2.28	1.43	2	1.26	1.61	1.86	3.32
1573	1.06	2.11	1.39	2.09	1.34	1.47	1.57	3.49
1574	0.78	1.78	1.13	1.62	1.26	1.59	1.65	2.75
1575	0.9	1.85	1.32	1.83	1.12	1.51	1.18	2.98
1576	0.87	1.89	1.33	1.57	1.18	1.48	1.66	2.74
1577	1.16	1.56	1.27	1.6	1.23	1.29	1.29	2.66
1578	1.05	1.69	1.31	1.56	1.19	1.56	1.45	2.32
1579	1.16	1.5	1.29	1.47	1.27	1.35	1.35	1.96
1580	1.5	1.58	1.38	1.4	1.46	1.62	1.5	1.64
1581	0.9	1.44	1.29	1.76	1.39	1.48	1.29	1.89
1582	1.14	1.2	1.26	1.99	1.33	1.33	1.52	2.19
1583	1	1.53	1.4	2.26	1.6	1.31	1.25	2.22
1584	1.31	1.71	1.49	2.95	1.62	1.6	1.39	3.07
1585	1.77	1.92	1.71	2.45	1.52	2.12	1.52	NA
1586	2.19	2.16	1.23	2.61	NA	NA	NA	NA
