# Jansma - Hoorn Bruyntje Complex Foundation Timbers - QUSP - ITRDB NETH008
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3629
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3629.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth008-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; neth008-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth008.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/neth008.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Jansma - Hoorn Bruyntje Complex Foundation Timbers - QUSP - ITRDB NETH008
#--------------------
# Investigators
#   Investigators: Jansma, E.; Spoor, E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Hoorn Bruyntje Complex Foundation Timbers
#   Location: Netherlands
#   Northernmost_Latitude: 53.4
#   Southernmost_Latitude: 53.4
#   Easternmost_Longitude: 5.35
#   Westernmost_Longitude: 5.35
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: NETH008
#   First_Year: 1175
#   Last_Year: 1398
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HBR021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR023_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR023; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR052_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR052; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR072_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR072; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR082_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR082; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR093_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR093; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR121_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HBR021_raw	HBR023_raw	HBR051_raw	HBR052_raw	HBR071_raw	HBR072_raw	HBR081_raw	HBR082_raw	HBR091_raw	HBR093_raw	HBR121_raw
1242	1.54	0.86	0.83	0.81	0.39	0.61	0.36	NA	NA	NA	1.06
1243	1.99	2.05	0.83	0.79	0.54	0.91	0.45	NA	NA	NA	2.37
1244	1.97	2.03	0.77	0.8	0.64	1.13	0.9	NA	NA	NA	2.04
1245	1.25	1.63	0.78	0.76	0.5	0.74	0.92	0.93	NA	NA	2.35
1246	1.67	2.01	0.8	0.82	0.76	0.99	1.07	0.99	NA	NA	2.36
1247	1.65	2.1	0.72	0.67	0.99	0.8	2.15	1.63	NA	NA	2.27
1248	1.59	1.13	0.72	0.74	0.44	0.4	2.08	1.22	NA	NA	1.2
1249	1.74	1.33	0.8	0.83	0.53	0.37	2.55	2.6	NA	NA	1.24
1250	1.48	1.67	0.69	0.75	0.57	0.53	2.94	1.54	0.91	0.78	1.56
1251	2.09	2	0.79	0.89	1.27	0.84	2.83	1.58	0.81	0.75	1.61
1252	1.25	1.07	0.83	0.85	0.58	0.59	1.54	0.61	0.71	0.88	1.07
1253	1.69	1.06	0.7	0.79	0.93	0.54	2.9	2.92	0.82	0.86	1.29
1254	1.6	1.01	0.81	0.88	0.57	0.48	2.82	1.58	0.83	0.82	1.26
1255	2.04	1.23	0.82	0.85	0.82	0.57	1.86	1.41	0.83	0.97	1.59
1256	1.9	0.96	0.77	0.83	0.46	0.45	1.96	1.35	0.76	0.68	1.28
1257	1.76	1.46	0.84	0.78	0.6	0.41	2.88	1.37	0.72	0.79	1.63
1258	1.61	1.07	0.77	0.74	0.43	0.42	1.34	0.96	0.69	0.7	1.16
1259	1.68	1.15	0.81	0.76	0.53	0.41	1.45	1.35	0.84	0.73	1.25
1260	1.41	1.16	0.71	0.77	0.41	0.35	1.27	0.72	0.64	0.64	1.42
1261	1.74	1.1	0.96	0.9	0.33	0.25	1.07	0.81	0.79	0.71	1.3
1262	1.58	1.04	1.02	1.03	0.58	0.29	2.81	2.28	0.62	0.6	1.07
1263	1.28	0.84	0.8	0.82	0.62	0.28	1.85	1.11	0.63	0.61	0.8
1264	1.33	0.97	0.64	0.67	0.36	0.24	1.21	1.16	0.54	0.51	0.87
1265	1.54	1.08	0.78	0.79	0.36	0.28	1.38	1.79	0.59	0.49	0.96
1266	1.35	1.01	0.85	0.87	0.29	0.29	1.48	0.93	0.71	0.69	0.92
1267	1.24	0.81	0.79	0.75	0.24	0.22	0.55	0.52	0.66	0.68	0.69
1268	1.5	1.09	0.94	0.93	0.34	0.26	1.09	1.19	0.71	0.75	0.98
1269	1.5	1.25	0.76	0.81	0.27	0.22	1.58	1.41	0.68	0.69	0.94
1270	1.28	1.27	0.82	0.79	0.38	0.34	1.68	1.32	0.81	0.79	1.12
1271	1.79	1.49	1.03	1.09	0.34	0.39	1.46	1.42	0.88	0.9	1.12
1272	1.43	1.13	0.9	0.9	0.38	0.44	1.53	1.07	0.84	0.89	1.01
1273	1.68	1.27	0.97	0.98	0.36	0.41	1.54	1.34	0.84	0.85	1.2
1274	1.13	1.19	0.86	0.85	0.29	0.23	1.4	1.3	0.86	0.86	1.26
1275	0.97	1.07	0.92	0.96	0.26	0.29	0.78	0.82	0.81	0.75	1.2
1276	1	0.84	0.88	0.94	0.38	0.3	0.61	0.5	0.68	0.71	1.03
1277	1.28	1.08	0.99	1.03	0.27	0.24	0.81	0.6	0.71	0.69	1.06
1278	1.74	1	1.1	1.11	0.3	0.27	0.81	0.55	0.67	0.62	0.99
1279	1.92	1.68	1.16	1.19	0.19	0.23	1.32	0.67	0.64	0.61	1.48
1280	NA	1.18	1.35	1.32	0.34	0.25	1.99	1.42	0.69	0.64	1.71
1281	NA	0.94	1.04	1.05	0.4	0.37	1.57	0.94	0.63	0.73	1.46
1282	NA	1	0.96	1.11	0.48	0.32	1.36	1.05	0.7	0.65	1.23
1283	NA	NA	0.96	0.94	0.42	0.3	1.04	0.79	0.71	0.78	1.2
1284	NA	NA	1.07	1.09	0.66	0.58	1.33	0.98	0.72	0.63	1.17
1285	NA	NA	0.92	0.92	0.44	0.64	0.86	0.85	0.65	0.69	NA
1286	NA	NA	0.73	0.87	0.58	0.68	0.79	0.77	0.55	0.49	NA
1287	NA	NA	0.67	0.64	0.6	0.48	1	1.04	0.62	0.72	NA
1288	NA	NA	1.09	1.1	0.55	0.72	1.34	0.82	0.7	0.62	NA
1289	NA	NA	1.04	0.98	0.62	0.75	1.07	0.6	0.7	0.74	NA
1290	NA	NA	1.04	0.99	0.49	0.82	1.49	0.7	0.73	0.73	NA
1291	NA	NA	1.09	0.98	0.44	0.43	0.6	0.44	0.62	0.63	NA
1292	NA	NA	0.73	0.76	0.29	0.28	0.43	0.45	0.57	0.65	NA
1293	NA	NA	1	1.05	0.29	0.44	1.06	0.7	0.67	0.7	NA
1294	NA	NA	1.35	1.35	0.51	0.98	1.89	1.38	0.83	0.8	NA
1295	NA	NA	1.08	0.98	0.62	1.14	1.04	0.87	0.73	0.72	NA
1296	NA	NA	1.16	1.16	1.15	1.49	1.75	1.19	0.79	0.87	NA
1297	NA	NA	0.95	0.94	NA	NA	0.97	0.63	0.86	0.88	NA
1298	NA	NA	1.01	0.98	NA	NA	1.23	0.74	0.85	0.93	NA
1299	NA	NA	0.95	1.06	NA	NA	1.1	0.7	0.79	0.85	NA
1300	NA	NA	1	0.96	NA	NA	0.84	0.7	0.9	0.99	NA
1301	NA	NA	0.8	0.81	NA	NA	1.1	0.99	0.64	0.83	NA
1302	NA	NA	0.8	0.78	NA	NA	0.79	0.71	1.07	1.04	NA
1303	NA	NA	0.8	0.73	NA	NA	0.66	0.53	0.93	0.94	NA
1304	NA	NA	0.88	0.9	NA	NA	0.99	0.6	0.73	0.73	NA
1305	NA	NA	1.16	1.18	NA	NA	0.94	0.8	0.81	0.77	NA
1306	NA	NA	0.75	0.75	NA	NA	1.18	0.64	0.65	0.74	NA
1307	NA	NA	0.77	0.8	NA	NA	1	1.1	0.68	0.59	NA
1308	NA	NA	1.04	0.9	NA	NA	0.9	0.86	0.61	0.76	NA
1309	NA	NA	NA	NA	NA	NA	1.3	1	0.81	0.84	NA
1310	NA	NA	NA	NA	NA	NA	1.04	0.85	0.78	0.94	NA
1311	NA	NA	NA	NA	NA	NA	NA	NA	0.71	0.75	NA
1312	NA	NA	NA	NA	NA	NA	NA	NA	0.99	1.02	NA
1313	NA	NA	NA	NA	NA	NA	NA	NA	0.95	1	NA
1314	NA	NA	NA	NA	NA	NA	NA	NA	0.95	1.08	NA
1315	NA	NA	NA	NA	NA	NA	NA	NA	0.85	0.93	NA
1316	NA	NA	NA	NA	NA	NA	NA	NA	0.98	0.94	NA
1317	NA	NA	NA	NA	NA	NA	NA	NA	0.81	0.77	NA
1318	NA	NA	NA	NA	NA	NA	NA	NA	0.85	1.03	NA
1319	NA	NA	NA	NA	NA	NA	NA	NA	0.84	0.73	NA
1320	NA	NA	NA	NA	NA	NA	NA	NA	0.78	0.88	NA
1321	NA	NA	NA	NA	NA	NA	NA	NA	0.76	0.81	NA
1322	NA	NA	NA	NA	NA	NA	NA	NA	2.23	2.36	NA
1323	NA	NA	NA	NA	NA	NA	NA	NA	1.4	1.55	NA
1324	NA	NA	NA	NA	NA	NA	NA	NA	0.92	1.02	NA
1325	NA	NA	NA	NA	NA	NA	NA	NA	1.23	1.22	NA
1326	NA	NA	NA	NA	NA	NA	NA	NA	1.03	1	NA
1327	NA	NA	NA	NA	NA	NA	NA	NA	1.13	1.19	NA
1328	NA	NA	NA	NA	NA	NA	NA	NA	1.03	1.04	NA
1329	NA	NA	NA	NA	NA	NA	NA	NA	0.81	0.92	NA
1330	NA	NA	NA	NA	NA	NA	NA	NA	0.84	0.94	NA
1331	NA	NA	NA	NA	NA	NA	NA	NA	0.88	0.88	NA
1332	NA	NA	NA	NA	NA	NA	NA	NA	0.8	0.95	NA
1333	NA	NA	NA	NA	NA	NA	NA	NA	0.87	0.76	NA
1334	NA	NA	NA	NA	NA	NA	NA	NA	1.07	0.97	NA
1335	NA	NA	NA	NA	NA	NA	NA	NA	0.9	0.83	NA
1336	NA	NA	NA	NA	NA	NA	NA	NA	0.84	0.91	NA
1337	NA	NA	NA	NA	NA	NA	NA	NA	0.99	0.97	NA
1338	NA	NA	NA	NA	NA	NA	NA	NA	0.89	0.9	NA
1339	NA	NA	NA	NA	NA	NA	NA	NA	0.74	0.89	NA
1340	NA	NA	NA	NA	NA	NA	NA	NA	0.8	0.74	NA
1341	NA	NA	NA	NA	NA	NA	NA	NA	0.89	0.94	NA
1342	NA	NA	NA	NA	NA	NA	NA	NA	0.76	0.8	NA
1343	NA	NA	NA	NA	NA	NA	NA	NA	0.86	0.83	NA
1344	NA	NA	NA	NA	NA	NA	NA	NA	0.86	0.88	NA
1345	NA	NA	NA	NA	NA	NA	NA	NA	0.88	0.93	NA
1346	NA	NA	NA	NA	NA	NA	NA	NA	1.05	0.96	NA
1347	NA	NA	NA	NA	NA	NA	NA	NA	0.8	0.87	NA
1348	NA	NA	NA	NA	NA	NA	NA	NA	0.77	0.74	NA
1349	NA	NA	NA	NA	NA	NA	NA	NA	0.78	0.81	NA
1350	NA	NA	NA	NA	NA	NA	NA	NA	0.81	0.88	NA
1351	NA	NA	NA	NA	NA	NA	NA	NA	0.87	0.79	NA
1352	NA	NA	NA	NA	NA	NA	NA	NA	0.83	0.89	NA
1353	NA	NA	NA	NA	NA	NA	NA	NA	0.95	0.91	NA
1354	NA	NA	NA	NA	NA	NA	NA	NA	0.82	0.78	NA
1355	NA	NA	NA	NA	NA	NA	NA	NA	0.7	0.7	NA
1356	NA	NA	NA	NA	NA	NA	NA	NA	0.72	0.76	NA
1357	NA	NA	NA	NA	NA	NA	NA	NA	0.7	0.73	NA
1358	NA	NA	NA	NA	NA	NA	NA	NA	0.65	0.58	NA
1359	NA	NA	NA	NA	NA	NA	NA	NA	0.66	0.68	NA
1360	NA	NA	NA	NA	NA	NA	NA	NA	0.72	0.68	NA
1361	NA	NA	NA	NA	NA	NA	NA	NA	0.62	0.7	NA
1362	NA	NA	NA	NA	NA	NA	NA	NA	0.87	0.72	NA
1363	NA	NA	NA	NA	NA	NA	NA	NA	0.86	0.84	NA
1364	NA	NA	NA	NA	NA	NA	NA	NA	1.08	1	NA
1365	NA	NA	NA	NA	NA	NA	NA	NA	0.99	0.92	NA
1366	NA	NA	NA	NA	NA	NA	NA	NA	0.88	0.9	NA
1367	NA	NA	NA	NA	NA	NA	NA	NA	1.08	1.13	NA
1368	NA	NA	NA	NA	NA	NA	NA	NA	0.87	0.78	NA
1369	NA	NA	NA	NA	NA	NA	NA	NA	0.87	NA	NA
1370	NA	NA	NA	NA	NA	NA	NA	NA	0.72	NA	NA
1371	NA	NA	NA	NA	NA	NA	NA	NA	0.71	NA	NA
1372	NA	NA	NA	NA	NA	NA	NA	NA	0.65	NA	NA
1373	NA	NA	NA	NA	NA	NA	NA	NA	0.79	NA	NA
1374	NA	NA	NA	NA	NA	NA	NA	NA	0.73	NA	NA
1375	NA	NA	NA	NA	NA	NA	NA	NA	0.8	NA	NA
1376	NA	NA	NA	NA	NA	NA	NA	NA	0.78	NA	NA
1377	NA	NA	NA	NA	NA	NA	NA	NA	0.66	NA	NA
1378	NA	NA	NA	NA	NA	NA	NA	NA	0.91	NA	NA
1379	NA	NA	NA	NA	NA	NA	NA	NA	0.87	NA	NA
1380	NA	NA	NA	NA	NA	NA	NA	NA	1.42	NA	NA
1381	NA	NA	NA	NA	NA	NA	NA	NA	1.24	NA	NA
