# Morgan - Bishops House - QUSP - ITRDB BRIT8
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4033
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4033.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit8-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit8-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit8.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit8.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Morgan - Bishops House - QUSP - ITRDB BRIT8
#--------------------
# Investigators
#   Investigators: Morgan, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Bishops House
#   Location: United Kingdom
#   Northernmost_Latitude: 53.35
#   Southernmost_Latitude: 53.35
#   Easternmost_Longitude: -1.47
#   Westernmost_Longitude: -1.47
#   Elevation_m: 328
#--------------------
# Data_Collection
#   Collection_Name: BRIT8
#   First_Year: 1359
#   Last_Year: 1592
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BHO061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BHO061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BHO071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BHO071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BHO081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BHO081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BHO091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BHO091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BHO101_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BHO101; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BHO111_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BHO111; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BHO151_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BHO151; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BHO161_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BHO161; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BHO171_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BHO171; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BHO061_raw	BHO071_raw	BHO081_raw	BHO091_raw	BHO101_raw	BHO111_raw	BHO151_raw	BHO161_raw	BHO171_raw
1433	0.2	0.21	0.14	NA	NA	0.24	0.19	0.23	NA
1434	0.23	0.22	0.13	NA	0.3	0.24	0.29	0.25	NA
1435	0.25	0.25	0.14	NA	0.23	0.25	0.5	0.27	NA
1436	0.21	0.27	0.18	NA	0.16	0.29	0.31	0.14	NA
1437	0.18	0.21	0.16	NA	0.15	0.27	0.25	0.19	NA
1438	0.22	0.28	0.19	NA	0.14	0.32	0.2	0.19	NA
1439	0.17	0.23	0.15	NA	0.14	0.21	0.21	0.2	NA
1440	0.24	0.29	0.16	NA	0.19	0.24	0.38	0.32	NA
1441	0.19	0.27	0.15	NA	0.2	0.17	0.45	0.19	NA
1442	0.13	0.18	0.12	NA	0.19	0.15	0.21	0.19	NA
1443	0.19	0.21	0.17	NA	0.27	0.18	0.55	0.13	NA
1444	0.25	0.33	0.17	NA	0.29	0.2	0.44	0.28	NA
1445	0.16	0.23	0.14	NA	0.22	0.16	0.37	0.23	NA
1446	0.12	0.12	0.09	NA	0.25	0.07	0.25	0.17	NA
1447	0.16	0.12	0.08	NA	0.29	0.07	NA	0.17	NA
1448	0.13	0.11	0.08	NA	0.24	0.07	NA	0.22	NA
1449	0.12	0.12	0.08	NA	0.34	0.07	NA	0.22	NA
1450	0.14	0.12	0.08	NA	0.32	0.07	NA	0.2	NA
1451	0.17	0.18	0.1	NA	0.26	0.1	NA	0.22	NA
1452	0.13	0.19	0.11	NA	0.24	0.14	NA	0.14	NA
1453	0.13	0.15	0.11	NA	0.22	0.16	NA	0.14	NA
1454	0.15	0.19	0.1	NA	0.25	0.22	NA	0.19	NA
1455	0.13	0.16	0.1	0.14	0.2	0.21	NA	0.13	0.18
1456	0.19	0.25	0.15	0.26	0.31	0.39	NA	0.2	0.24
1457	0.17	0.19	0.14	0.23	0.23	0.32	NA	0.2	0.16
1458	0.18	0.23	0.2	0.21	0.27	0.39	NA	0.16	0.2
1459	0.19	0.22	0.2	0.18	0.25	0.39	NA	0.14	0.2
1460	0.18	0.24	0.13	0.17	0.2	0.42	NA	0.14	0.21
1461	0.17	0.19	0.13	0.17	0.22	0.26	NA	0.19	0.16
1462	0.15	0.19	0.12	0.17	0.18	0.29	NA	0.17	0.15
1463	0.14	0.15	0.1	0.13	0.22	0.22	NA	0.14	0.16
1464	0.15	0.17	0.12	0.11	0.15	NA	NA	0.11	0.12
1465	0.12	0.16	0.13	0.15	0.2	NA	NA	0.13	0.11
1466	0.14	0.2	0.16	0.16	0.23	NA	NA	0.13	0.12
1467	0.22	0.26	0.38	0.19	0.3	NA	NA	0.17	0.2
1468	0.18	0.22	0.31	0.23	0.27	NA	NA	0.2	0.15
1469	0.22	0.25	NA	0.16	0.19	NA	NA	0.12	0.16
1470	0.18	0.24	NA	0.16	0.2	NA	NA	0.15	0.17
1471	0.19	0.19	NA	0.19	0.21	NA	NA	0.12	0.19
1472	0.18	0.19	NA	0.16	0.19	NA	NA	0.1	0.14
1473	0.17	0.19	NA	0.17	0.18	NA	NA	0.09	0.14
1474	0.22	0.25	NA	0.14	0.16	NA	NA	0.09	0.14
1475	0.38	0.4	NA	0.18	0.21	NA	NA	0.15	0.15
1476	0.26	0.27	NA	0.16	0.17	NA	NA	0.12	0.13
1477	0.26	0.36	NA	0.17	0.19	NA	NA	0.11	0.16
1478	0.24	0.28	NA	0.14	0.15	NA	NA	0.12	0.12
1479	0.26	0.29	NA	0.17	0.17	NA	NA	0.1	0.16
1480	0.23	0.2	NA	0.15	0.17	NA	NA	0.08	0.24
1481	0.23	0.26	NA	0.16	0.18	NA	NA	0.12	0.18
1482	0.25	0.31	NA	0.12	0.16	NA	NA	0.1	0.2
1483	0.26	0.32	NA	0.08	0.1	NA	NA	0.15	0.13
1484	0.23	0.27	NA	0.05	0.07	NA	NA	0.16	0.18
1485	0.23	0.23	NA	0.04	0.07	NA	NA	0.13	0.18
1486	0.19	0.17	NA	0.05	0.09	NA	NA	0.1	0.14
1487	0.3	0.34	NA	0.06	0.1	NA	NA	0.26	0.22
1488	0.25	0.24	NA	0.05	0.08	NA	NA	0.18	0.2
1489	0.2	NA	NA	0.06	0.07	NA	NA	0.12	0.18
1490	0.22	NA	NA	0.05	0.08	NA	NA	0.08	0.13
1491	0.28	NA	NA	0.05	0.12	NA	NA	0.04	0.08
1492	0.25	NA	NA	0.06	0.1	NA	NA	0.1	0.12
1493	0.25	NA	NA	0.05	0.11	NA	NA	0.15	0.12
1494	0.28	NA	NA	0.08	0.1	NA	NA	0.14	0.26
1495	0.24	NA	NA	0.07	0.08	NA	NA	0.12	0.24
1496	0.22	NA	NA	0.09	0.12	NA	NA	0.13	0.25
1497	0.17	NA	NA	0.1	0.1	NA	NA	0.12	0.16
1498	0.15	NA	NA	0.1	0.13	NA	NA	0.13	0.13
1499	0.22	NA	NA	0.12	0.14	NA	NA	0.13	0.17
1500	0.16	NA	NA	0.08	0.11	NA	NA	0.07	0.16
1501	0.15	NA	NA	0.07	0.08	NA	NA	0.09	0.15
1502	0.12	NA	NA	0.06	0.1	NA	NA	0.16	0.14
1503	0.14	NA	NA	0.12	0.11	NA	NA	0.14	0.15
1504	0.13	NA	NA	0.12	0.12	NA	NA	0.11	0.13
1505	0.27	NA	NA	0.12	0.12	NA	NA	0.14	0.29
1506	0.22	NA	NA	0.1	0.14	NA	NA	0.16	0.25
1507	0.18	NA	NA	0.07	0.09	NA	NA	0.08	0.18
1508	0.21	NA	NA	0.08	0.12	NA	NA	0.12	0.18
1509	0.23	NA	NA	0.14	0.25	NA	NA	0.14	0.2
1510	0.15	NA	NA	0.09	0.16	NA	NA	0.1	0.15
1511	0.2	NA	NA	0.13	0.15	NA	NA	0.1	0.2
1512	0.16	NA	NA	0.13	0.15	NA	NA	0.09	0.15
1513	0.18	NA	NA	0.14	0.15	NA	NA	0.14	0.25
1514	0.17	NA	NA	0.1	0.14	NA	NA	0.11	0.16
1515	0.15	NA	NA	0.08	0.11	NA	NA	0.09	0.12
1516	0.17	NA	NA	0.11	0.14	NA	NA	0.1	0.12
1517	0.21	NA	NA	0.11	0.15	NA	NA	0.09	0.07
1518	0.25	NA	NA	0.17	0.2	NA	NA	0.14	0.14
1519	0.22	NA	NA	0.16	0.17	NA	NA	0.09	0.14
1520	0.17	NA	NA	0.11	0.13	NA	NA	0.08	0.12
1521	0.29	NA	NA	0.19	0.21	NA	NA	0.09	0.21
1522	0.2	NA	NA	0.14	0.17	NA	NA	0.08	0.14
1523	0.07	NA	NA	0.15	0.18	NA	NA	0.07	0.12
1524	NA	NA	NA	0.17	0.19	NA	NA	0.1	0.14
1525	NA	NA	NA	0.1	0.12	NA	NA	0.05	0.08
1526	NA	NA	NA	0.14	0.15	NA	NA	0.06	0.15
1527	NA	NA	NA	0.11	0.11	NA	NA	0.06	0.14
1528	NA	NA	NA	0.15	0.14	NA	NA	0.08	0.14
1529	NA	NA	NA	0.13	0.13	NA	NA	0.06	0.14
1530	NA	NA	NA	0.13	0.14	NA	NA	0.07	0.15
1531	NA	NA	NA	0.17	0.18	NA	NA	0.07	0.19
1532	NA	NA	NA	0.16	0.15	NA	NA	0.08	0.12
1533	NA	NA	NA	0.15	0.15	NA	NA	0.09	0.12
1534	NA	NA	NA	0.14	NA	NA	NA	0.07	0.14
1535	NA	NA	NA	0.14	NA	NA	NA	0.09	0.13
1536	NA	NA	NA	0.12	NA	NA	NA	0.09	0.15
1537	NA	NA	NA	0.15	NA	NA	NA	0.14	0.13
1538	NA	NA	NA	0.15	NA	NA	NA	0.08	0.19
1539	NA	NA	NA	0.15	NA	NA	NA	0.12	0.17
1540	NA	NA	NA	0.2	NA	NA	NA	0.1	0.22
1541	NA	NA	NA	0.14	NA	NA	NA	0.11	0.23
1542	NA	NA	NA	0.14	NA	NA	NA	0.09	0.2
1543	NA	NA	NA	0.14	NA	NA	NA	0.07	0.25
1544	NA	NA	NA	0.15	NA	NA	NA	0.09	0.17
1545	NA	NA	NA	NA	NA	NA	NA	0.14	0.17
1546	NA	NA	NA	NA	NA	NA	NA	0.12	0.14
1547	NA	NA	NA	NA	NA	NA	NA	0.05	0.09
1548	NA	NA	NA	NA	NA	NA	NA	0.11	0.14
1549	NA	NA	NA	NA	NA	NA	NA	0.15	0.21
1550	NA	NA	NA	NA	NA	NA	NA	0.16	0.15
1551	NA	NA	NA	NA	NA	NA	NA	0.27	0.18
1552	NA	NA	NA	NA	NA	NA	NA	0.13	0.12
1553	NA	NA	NA	NA	NA	NA	NA	0.14	0.08
1554	NA	NA	NA	NA	NA	NA	NA	0.18	0.14
1555	NA	NA	NA	NA	NA	NA	NA	0.2	0.15
1556	NA	NA	NA	NA	NA	NA	NA	0.1	0.08
1557	NA	NA	NA	NA	NA	NA	NA	0.05	0.07
1558	NA	NA	NA	NA	NA	NA	NA	0.08	0.1
1559	NA	NA	NA	NA	NA	NA	NA	0.12	0.16
1560	NA	NA	NA	NA	NA	NA	NA	0.1	0.13
1561	NA	NA	NA	NA	NA	NA	NA	0.13	0.09
1562	NA	NA	NA	NA	NA	NA	NA	0.1	0.12
1563	NA	NA	NA	NA	NA	NA	NA	0.14	0.17
1564	NA	NA	NA	NA	NA	NA	NA	0.22	0.14
1565	NA	NA	NA	NA	NA	NA	NA	0.14	0.12
1566	NA	NA	NA	NA	NA	NA	NA	0.08	0.09
1567	NA	NA	NA	NA	NA	NA	NA	0.09	0.06
1568	NA	NA	NA	NA	NA	NA	NA	0.13	0.07
1569	NA	NA	NA	NA	NA	NA	NA	0.13	0.09
1570	NA	NA	NA	NA	NA	NA	NA	0.15	0.14
1571	NA	NA	NA	NA	NA	NA	NA	0.11	0.13
1572	NA	NA	NA	NA	NA	NA	NA	0.19	0.12
1573	NA	NA	NA	NA	NA	NA	NA	0.12	0.18
1574	NA	NA	NA	NA	NA	NA	NA	0.09	0.17
1575	NA	NA	NA	NA	NA	NA	NA	0.04	0.1
1576	NA	NA	NA	NA	NA	NA	NA	0.08	0.05
1577	NA	NA	NA	NA	NA	NA	NA	0.09	0.07
1578	NA	NA	NA	NA	NA	NA	NA	0.14	0.08
1579	NA	NA	NA	NA	NA	NA	NA	0.19	0.08
1580	NA	NA	NA	NA	NA	NA	NA	0.13	0.12
1581	NA	NA	NA	NA	NA	NA	NA	0.12	0.11
1582	NA	NA	NA	NA	NA	NA	NA	0.11	0.12
1583	NA	NA	NA	NA	NA	NA	NA	0.07	0.11
1584	NA	NA	NA	NA	NA	NA	NA	0.07	NA
1585	NA	NA	NA	NA	NA	NA	NA	0.1	NA
1586	NA	NA	NA	NA	NA	NA	NA	0.13	NA
1587	NA	NA	NA	NA	NA	NA	NA	0.11	NA
1588	NA	NA	NA	NA	NA	NA	NA	0.15	NA
1589	NA	NA	NA	NA	NA	NA	NA	0.09	NA
1590	NA	NA	NA	NA	NA	NA	NA	0.07	NA
1591	NA	NA	NA	NA	NA	NA	NA	0.08	NA
