# Jansma - Voorburg Forum Hadriani Well - QUSP - ITRDB NETH011
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3640
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3640.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth011-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; neth011-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth011.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/neth011.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Jansma - Voorburg Forum Hadriani Well - QUSP - ITRDB NETH011
#--------------------
# Investigators
#   Investigators: Jansma, E.; Spoor, E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Voorburg Forum Hadriani Well
#   Location: Netherlands
#   Northernmost_Latitude: 52.07
#   Southernmost_Latitude: 52.07
#   Easternmost_Longitude: 4.37
#   Westernmost_Longitude: 4.37
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: NETH011
#   First_Year: -54
#   Last_Year: 205
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## vbp021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: vbp021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## vbp031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: vbp031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## vbp091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: vbp091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## vbp171_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: vbp171; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## vbp251_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: vbp251; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	vbp021_raw	vbp031_raw	vbp091_raw	vbp171_raw	vbp251_raw
48	0.56	1.53	0.45	0.75	0.8
49	0.5	0.64	0.35	0.52	0.6
50	0.39	0.7	0.34	0.51	0.49
51	0.49	1.02	0.45	0.57	0.49
52	0.46	1.17	0.45	0.51	0.58
53	0.46	1.09	0.45	0.51	0.62
54	0.54	1.31	0.45	0.54	0.95
55	0.67	1.2	0.41	0.63	1.08
56	0.7	1.47	0.7	0.89	1.42
57	0.66	1.2	0.62	0.72	0.92
58	0.77	1.38	0.66	0.88	0.94
59	0.5	0.8	0.52	0.61	0.63
60	0.61	1.37	0.64	0.78	0.83
61	0.52	1.06	0.61	0.53	0.82
62	0.65	1.13	0.67	0.64	1.01
63	0.64	1.23	0.75	0.69	0.93
64	0.83	1.05	0.66	0.75	0.81
65	0.63	1.23	0.78	0.77	0.93
66	0.52	NA	0.68	0.69	0.86
67	0.66	NA	0.53	0.76	0.85
68	0.56	NA	0.59	0.75	0.68
69	0.67	NA	0.52	0.63	0.68
70	0.62	NA	0.62	0.71	1
71	0.85	NA	0.7	0.76	0.96
72	0.65	NA	0.49	0.65	0.78
73	0.52	NA	0.42	0.6	0.52
74	0.49	NA	0.44	0.6	0.64
75	0.51	NA	0.57	0.56	0.57
76	0.49	NA	0.42	0.48	0.53
77	0.4	NA	0.53	0.5	0.5
78	0.66	NA	0.69	0.55	0.61
79	0.49	NA	0.53	0.62	0.52
80	0.58	NA	0.72	0.67	0.58
81	0.39	NA	0.51	0.37	0.42
82	0.43	NA	0.55	0.6	0.42
83	0.57	NA	0.54	0.59	0.62
84	0.5	NA	0.56	0.61	0.69
85	0.55	NA	0.52	0.61	0.77
86	0.47	NA	0.63	0.69	0.86
87	0.61	NA	0.51	0.62	0.81
88	0.49	NA	0.57	0.53	0.63
89	0.66	NA	0.5	0.68	0.69
90	0.63	NA	0.53	0.52	0.58
91	0.54	NA	0.65	0.66	0.74
92	0.84	NA	0.85	0.75	0.94
93	0.69	NA	0.53	0.63	0.62
94	0.6	NA	0.72	0.49	0.58
95	0.76	NA	0.86	0.97	1.23
96	0.53	NA	0.56	0.6	0.73
97	0.81	NA	0.75	0.68	1.2
98	0.75	NA	0.62	0.59	0.8
99	0.76	NA	0.85	0.73	0.86
100	0.65	NA	0.83	0.55	0.56
101	0.64	NA	0.71	0.63	0.86
102	0.73	NA	0.86	0.71	0.6
103	0.41	NA	0.49	0.38	0.33
104	0.44	NA	0.7	0.49	0.37
105	0.52	NA	0.66	0.47	0.36
106	0.59	NA	0.61	0.38	0.48
107	0.75	NA	0.71	0.59	0.49
108	0.73	NA	0.77	0.54	0.55
109	0.75	NA	0.95	0.69	0.5
110	0.54	NA	0.68	0.6	0.45
111	0.81	NA	0.73	0.54	0.57
112	0.78	NA	0.89	0.81	0.74
113	0.78	NA	0.9	0.75	0.63
114	0.65	NA	0.66	0.67	0.59
115	0.67	NA	0.9	0.86	0.68
116	0.54	NA	0.95	0.91	1.25
117	NA	NA	1.06	0.86	1.04
118	NA	NA	1.14	0.83	1.06
119	NA	NA	1.09	0.97	1.34
120	NA	NA	1.06	0.96	1.02
121	NA	NA	0.68	0.51	0.53
122	NA	NA	0.86	0.77	0.94
123	NA	NA	0.94	0.67	1
124	NA	NA	0.54	0.46	0.45
125	NA	NA	0.6	0.57	0.5
126	NA	NA	0.81	0.53	0.79
127	NA	NA	0.72	0.56	0.6
128	NA	NA	0.76	0.57	0.61
129	NA	NA	0.52	0.49	0.51
130	NA	NA	0.8	0.57	0.71
131	NA	NA	0.67	0.56	0.55
132	NA	NA	0.82	0.7	0.78
133	NA	NA	0.63	0.54	0.51
134	NA	NA	0.93	0.76	0.95
135	NA	NA	0.87	0.69	0.87
136	NA	NA	0.88	0.7	0.75
137	NA	NA	0.79	0.59	0.75
138	NA	NA	0.93	0.72	0.78
139	NA	NA	0.67	0.61	0.7
140	NA	NA	0.88	0.67	0.63
141	NA	NA	0.84	0.75	0.63
142	NA	NA	0.71	0.56	0.56
143	NA	NA	0.94	0.75	1.01
144	NA	NA	0.82	0.6	0.61
145	NA	NA	0.8	0.65	0.69
146	NA	NA	0.67	0.45	0.47
147	NA	NA	0.56	0.53	0.53
148	NA	NA	0.59	0.45	0.4
149	NA	NA	0.85	0.66	0.63
150	NA	NA	0.72	0.6	0.46
151	NA	NA	0.89	0.83	0.95
152	NA	NA	0.91	0.73	0.79
153	NA	NA	0.99	0.74	0.75
154	NA	NA	0.69	0.56	0.51
155	NA	NA	0.63	0.47	0.61
156	NA	NA	0.6	0.62	0.5
157	NA	NA	0.71	0.57	0.68
158	NA	NA	0.44	0.62	0.61
159	NA	NA	0.51	0.56	0.56
160	NA	NA	0.51	0.61	0.51
161	NA	NA	0.52	0.56	0.58
162	NA	NA	0.67	0.73	0.77
163	NA	NA	0.71	0.76	0.87
164	NA	NA	0.46	0.56	0.65
165	NA	NA	0.49	0.45	0.57
166	NA	NA	0.45	0.53	0.47
167	NA	NA	0.52	0.63	0.61
168	NA	NA	0.57	0.66	0.73
169	NA	NA	0.73	0.81	0.81
170	NA	NA	0.46	0.52	0.64
171	NA	NA	0.77	0.81	0.84
172	NA	NA	0.98	0.89	0.91
173	NA	NA	0.55	0.57	0.54
174	NA	NA	0.63	0.57	0.69
175	NA	NA	0.6	0.53	0.54
176	NA	NA	1.06	0.81	1.01
177	NA	NA	0.75	0.66	0.89
178	NA	NA	0.71	0.52	1.15
179	NA	NA	1.16	0.63	0.76
180	NA	NA	0.77	0.54	0.49
181	NA	NA	1.09	0.66	0.93
182	NA	NA	0.74	0.47	0.51
183	NA	NA	1.03	0.66	1.06
184	NA	NA	1.1	0.78	1.13
185	NA	NA	0.89	0.73	0.94
186	NA	NA	0.87	0.68	1.12
187	NA	NA	0.78	0.74	0.88
188	NA	NA	0.83	0.69	0.9
189	NA	NA	0.65	NA	0.96
190	NA	NA	0.85	NA	1.16
191	NA	NA	0.86	NA	0.75
192	NA	NA	0.78	NA	1.27
193	NA	NA	0.83	NA	0.82
194	NA	NA	0.97	NA	1.28
195	NA	NA	1.08	NA	1.52
196	NA	NA	0.77	NA	1.19
197	NA	NA	0.94	NA	1.18
198	NA	NA	0.67	NA	0.92
199	NA	NA	0.77	NA	0.8
200	NA	NA	0.84	NA	1.49
201	NA	NA	0.67	NA	1.4
202	NA	NA	NA	NA	1.49
203	NA	NA	NA	NA	0.87
204	NA	NA	NA	NA	0.93
205	NA	NA	NA	NA	1
