# Vacchiano - Alpe Fora - LADE - ITRDB ITA061
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38385
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38385.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ita061-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ita061.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ita061.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-08-02
#--------------------
# File_Last_Modified_Date
#   Date: 2023-08-02
#--------------------
# Title
#   Study_Name: Vacchiano - Alpe Fora - LADE - ITRDB ITA061
#--------------------
# Investigators
#   Investigators: Vacchiano, Giorgio
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Alpe Fora
#   Location: Italy
#   Northernmost_Latitude: 46.315
#   Southernmost_Latitude: 46.315
#   Easternmost_Longitude: 9.75
#   Westernmost_Longitude: 9.75
#   Elevation_m: 1970
#--------------------
# Data_Collection
#   Collection_Name: ITA061
#   First_Year: 1774
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## FORA001_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA001; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA002_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA002; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA003_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA003; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA004_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA004; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA005_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA005; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA006_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA006; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA007_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA007; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA008X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA008X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA009_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA009; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	FORA001_raw	FORA002_raw	FORA003_raw	FORA004_raw	FORA005_raw	FORA006_raw	FORA007_raw	FORA008X_raw	FORA009_raw	FORA011_raw	FORA012_raw
1844	2.38	4.24	NA	NA	NA	NA	NA	NA	NA	NA	NA
1845	1.94	3.59	NA	NA	NA	NA	NA	NA	NA	NA	NA
1846	2.63	4.72	3.12	NA	NA	NA	NA	NA	NA	NA	NA
1847	2.18	4.21	3.31	NA	NA	NA	NA	NA	NA	NA	NA
1848	2.6	3.62	3.4	NA	NA	NA	NA	NA	NA	NA	NA
1849	1.86	2.95	2.96	NA	NA	NA	NA	NA	NA	NA	NA
1850	1.35	2.38	3	NA	NA	NA	NA	NA	NA	NA	NA
1851	1.38	2.83	3.26	1.11	NA	NA	NA	2.26	NA	NA	NA
1852	1.25	2.76	6.5	1.09	NA	NA	NA	1.9	NA	NA	NA
1853	1.59	2.77	4.62	1.49	NA	NA	NA	2.96	NA	NA	NA
1854	0.99	1.54	2.45	0.91	NA	NA	NA	2.94	NA	NA	NA
1855	1.36	2.06	2.87	1.54	NA	NA	NA	3.47	NA	NA	NA
1856	1.38	2.69	1.9	1.68	NA	NA	NA	1.55	NA	NA	NA
1857	1.26	2.71	1.87	1.39	NA	NA	NA	3.24	NA	NA	NA
1858	1.15	2.43	2.14	2.3	NA	NA	NA	3.59	NA	NA	NA
1859	1.6	2.76	3.68	1.31	NA	NA	NA	4.26	NA	NA	NA
1860	1.35	1.85	2.84	1.62	NA	NA	NA	4.55	NA	NA	NA
1861	1.43	2.21	2.88	1.79	NA	NA	NA	4.15	NA	NA	NA
1862	1.78	2.51	3.22	2.49	NA	NA	NA	3.02	NA	NA	NA
1863	1.43	2.26	2.43	2.15	NA	NA	NA	3.06	NA	3.39	NA
1864	1.33	1.71	1.56	2.11	NA	NA	NA	3.1	NA	3.52	NA
1865	1.24	2.13	1.63	2.67	NA	NA	NA	2.72	NA	2.51	4.14
1866	1.04	2.83	1.55	2.53	NA	NA	NA	3.16	NA	2.26	3.3
1867	0.89	2.93	0.66	1.46	NA	NA	5.29	3.7	NA	2.09	1.93
1868	1.01	2.29	1.35	1.24	NA	NA	3.98	3.24	NA	1.37	1.78
1869	0.74	2.75	1.24	1.47	NA	NA	4.59	3.35	NA	2.57	1.11
1870	1.04	2.9	2.02	2.07	NA	NA	3.24	3.12	NA	2.69	1.89
1871	0.97	3.07	1.03	1.15	NA	NA	3.4	1.73	NA	2.38	1.25
1872	1.92	2.97	2.12	1.64	NA	NA	3.87	1.8	NA	2.67	2.48
1873	2.2	3.34	1.98	1.41	NA	NA	3.07	1.87	NA	2.56	3.3
1874	2.56	2.94	1.98	1.58	NA	NA	2.38	2.42	NA	2.27	3.7
1875	3.23	3.11	2.28	2.17	2.62	NA	2.22	2.37	NA	2.09	3.34
1876	2.25	2.47	1.97	1.8	2.22	NA	2.02	2.58	NA	2.82	2.54
1877	1.56	2.08	1.17	1.49	1.86	NA	2.1	1.98	NA	3.74	1.67
1878	1.19	1.89	1.19	0.9	1.73	NA	1.53	1.54	NA	2.22	0.88
1879	1.83	1.93	1.27	1.42	1.79	NA	1.57	2.29	NA	2.21	1.2
1880	0.26	0.7	0.4	0.53	1.23	NA	1	1.22	NA	0.68	0.48
1881	0.64	1.3	0.94	0.9	1.68	NA	1.35	1.6	NA	0.92	0.78
1882	0.48	1.26	0.94	0.98	1.08	NA	2.06	1.68	NA	1.06	0.27
1883	0.8	1.65	1.16	1.08	1.76	NA	1.93	1.91	NA	1.66	0.51
1884	0.93	2.31	1.08	1.68	1.15	NA	1.54	1.65	NA	2.21	0.55
1885	1.24	2.34	1.71	1.82	2	16.66	1.61	1.73	NA	2.47	0.85
1886	0.81	1.83	1.05	0.93	1.58	9.62	1.35	1.43	NA	2.03	0.63
1887	0.72	1.55	1.27	0.87	1.79	4.62	1.6	1.72	NA	1.2	0.7
1888	0.39	1.32	0.86	0.56	1.27	4.22	0.95	1.77	NA	0.56	0.34
1889	0.47	2.36	1.24	1.01	1.6	11.79	1.59	1.74	NA	1.55	0.87
1890	0.63	2.93	1.41	1.42	1.56	13.5	1.88	1.76	NA	2.53	1.36
1891	0.84	2.61	1.47	0.71	1.4	8.2	1.99	1.63	NA	2.16	2.12
1892	1.57	2.94	2.07	1.72	3.04	7.09	2.5	2.22	NA	2.09	5.02
1893	1.17	2.6	1.56	1.63	3.15	5.04	2.41	1.58	NA	1.73	5.37
1894	1.33	2.43	1.46	1.83	2.44	2	1.88	1.76	NA	1.6	3.02
1895	1.14	2.08	1.59	2	4.23	2.7	2.09	1.9	NA	1.7	1.95
1896	1.4	2.46	1.73	1.63	4.08	2.96	1.85	1.83	NA	1.67	2.35
1897	1.1	3.18	1.98	2.45	3.57	4.61	1.66	1.64	NA	2.83	2.97
1898	1.23	3.93	2.02	3.5	3.65	3.38	2.04	1.55	NA	3.73	2.56
1899	1.82	4.25	2.1	3.65	4.49	4.23	2.44	1.81	NA	3.54	3.63
1900	1.53	3.63	1.93	2.94	3.75	3.09	2.04	1.72	NA	3.27	3.13
1901	1.82	4.57	2.27	2.47	3.63	3.43	2.55	2.13	NA	3.4	2.12
1902	1.27	4.15	1.85	2.35	4.01	2.87	2.32	1.18	NA	2.06	2.2
1903	1.63	3.22	1.23	2.1	1.86	2.92	2.22	0.85	NA	1.93	2.39
1904	1.9	3.4	2.23	2.67	2.38	3.32	3.01	1.23	NA	2.43	4.93
1905	1.21	1.9	1.32	1.58	1.48	2.33	1.64	1.06	NA	1.25	4.02
1906	1.01	1.84	1.59	1.52	1.72	2.26	1.47	0.93	NA	1.26	3.09
1907	1.34	2.62	2.14	1.89	2.29	2.36	1.77	1.17	NA	1.7	3.64
1908	1.87	3.94	2.94	4.81	4.96	3.38	3.04	2.06	NA	2.74	4.89
1909	1.41	3.1	1.47	4.4	4.36	2.02	1.91	1.28	NA	1.92	3.56
1910	1.72	3.38	2.6	4.18	4.03	2.78	2.34	1.35	NA	2.52	4.22
1911	1.92	2.61	1.63	3.56	3.24	2.43	1.74	0.92	NA	2.18	3.74
1912	1.24	1.52	1.4	2.49	1.97	1.3	1.32	0.75	NA	1.46	1.65
1913	0.79	1.15	1.05	1.56	1.04	0.84	0.86	0.53	NA	0.83	1
1914	0.99	1.75	1.69	2.17	1.78	1.94	1.3	0.59	NA	1.13	1.57
1915	2.29	2.94	1.45	3.55	2.35	2.46	1.92	0.99	NA	2	4.29
1916	3.1	2.62	1.86	2.97	2.31	2.4	2.57	1.2	NA	2.22	5.29
1917	3.78	2.97	2.95	3.91	0.8	2.58	2.35	1.88	NA	2.36	6.84
1918	1.89	1.58	1.9	1.41	0.63	1.99	1.32	1.19	NA	1.38	2.38
1919	0.44	0.47	1.63	0.89	0.32	0.75	0.5	0.35	1.25	0.36	1.13
1920	0.3	0.48	1.51	0.48	0.37	0.56	0.37	0.23	0.7	0.25	0.86
1921	0.28	0.89	1.31	0.96	0.38	0.92	0.49	0.57	0.55	0.46	0.97
1922	0.57	1.47	2.1	1.71	0.36	1.99	0.89	0.84	1.44	1.08	1.11
1923	0.59	1.13	2.54	1.46	0.48	1.96	0.89	1.14	1.79	1.1	1.84
1924	1.07	2.04	3.43	1.82	0.59	2.9	1.18	1.97	1.93	1.77	2.61
1925	1.25	2.87	2.55	2.96	1.14	2.86	1.51	2.1	2.35	2.33	2.77
1926	1.07	2.48	2.99	2.62	1.23	2.55	1.27	1.23	2.16	2.67	2.7
1927	1.49	4.11	4.03	3.56	1.66	3.28	1.9	1.77	3.08	4.74	4
1928	1.47	4.22	3.56	3.64	1.67	1.94	2	1.77	2.64	5.07	4.14
1929	1.63	1.95	1.45	2.16	0.52	2.39	1.59	1.18	3.13	3.88	1.99
1930	1.83	2.95	2.9	2.12	0.91	0.26	1.66	2	2.14	2.8	1.91
1931	2.36	4.01	3.22	2.13	1.85	3.32	2.29	2.44	2.97	4.73	2.14
1932	2.1	1.04	1.22	1.3	0.77	1.78	1.55	1.82	2.22	3.74	0.91
1933	1.71	0.58	0.99	0.88	1.17	1.08	1.37	1.95	1.57	3.34	0.61
1934	2.05	1.01	1.62	1.2	1.35	2.58	1.68	2.35	2.17	4.46	0.73
1935	3.02	1.11	2	1.99	2.1	3.09	1.75	2.75	2.72	5.36	1.32
1936	3.08	1	1.27	1.14	0.96	1.91	1.39	1.58	1.63	2.43	1.07
1937	1.59	0.43	0.71	0.79	0.71	0.83	0.62	0.68	0.95	0.54	0.62
1938	0.88	0.4	0.73	0.74	0.54	0.7	0.63	0.5	0.38	0.44	0.56
1939	0.78	0.63	1.02	1.04	1.21	1.56	0.98	1.04	0.84	0.45	0.36
1940	0.53	0.5	1.04	0.64	1.27	1.47	1.15	0.62	0.98	0.19	0.27
1941	0.44	0.71	1.61	0.82	1.96	1.73	1.21	1.18	1.73	0.51	0.48
1942	0.52	0.98	2.04	0.97	1.93	1.72	1.34	1.55	2.21	0.46	0.43
1943	0.9	1.39	3.46	1.62	4.18	1.88	1.89	2.39	3.74	0.73	0.61
1944	1.32	1.7	5.03	1.94	4	2.66	1.86	2.52	4.84	1.18	0.86
1945	1.02	1.23	4.42	1.18	2.62	1.86	1.55	1.66	3.45	0.82	0.77
1946	0.51	0.57	3.12	0.8	0.58	1.26	0.75	0.82	1.23	0.49	0.62
1947	0.65	0.51	2.32	0.65	1.03	1.79	0.82	0.92	0.84	0.32	0.55
1948	0.62	0.76	1.61	0.55	1.39	2.08	1.08	0.81	1.04	0.8	0.46
1949	0.53	0.78	1.54	0.68	1.96	2.62	1.28	0.76	2.13	0.97	0.63
1950	0.78	0.86	1.57	1.11	1.44	2.69	1.09	0.94	2.92	1.34	0.52
1951	1.21	1.24	2.12	1.34	2.22	2.02	1.56	1.22	3.14	0.93	0.5
1952	1.28	1.05	2.57	1.18	2.52	2.2	1.58	1.59	3.39	0.87	0.35
1953	0.64	0.95	2.1	0.85	1.27	1.72	1.36	1.02	1.6	0.46	0.2
1954	0.71	0.81	2.63	1.15	1.22	1.97	1.59	1.24	2.22	0.45	0.21
1955	0.39	0.49	1.6	0.69	1.65	1.13	1.41	0.98	1.77	0.23	0.13
1956	0.47	0.22	1.25	0.56	1.31	0.57	0.9	0.7	1.27	0.4	0.1
1957	0.42	0.63	1.44	0.83	0.93	0.7	0.92	0.83	1	0.46	0.1
1958	0.88	1.12	2.32	2.12	3.1	1.82	1.44	1.56	1.44	0.3	0.2
1959	1.16	1.05	2.25	1.52	3.14	1.13	1.65	1.57	1.45	0.08	0.44
1960	0.96	1.31	2.09	1.34	1.44	2.14	1.44	1.49	1.9	0.44	0.37
1961	0.58	0.96	1.29	1	0.67	2.03	1.19	0.99	1.19	0.24	0.19
1962	1	1.08	1.74	1.08	1.05	1.79	1.23	0.76	2.31	0.51	0.36
1963	0.47	0.91	0.97	0.54	0.58	1.02	0.88	0.82	1.56	0.39	0.18
1964	0.44	0.62	0.9	0.47	0.67	0.7	1.09	0.7	1.19	0.18	0.14
1965	0.59	1.16	1.36	0.97	1.19	1.07	1.52	0.95	1.61	0.51	0.25
1966	0.73	1.31	1.88	1.09	1.76	1.72	1.7	1.17	1.45	0.64	0.25
1967	0.87	1.62	2.05	1.38	2.9	2.04	1.83	1.51	2.55	1.04	0.7
1968	1.08	1.46	1.78	1.15	3.18	1.84	1.86	1.61	2.93	1.04	0.79
1969	1.89	1.59	1.89	1.29	2.91	1.88	2.16	1.83	3.68	1.01	2.46
1970	1.9	1.91	1.58	1.62	1.95	2.13	2.06	1.5	3.45	1.6	3.02
1971	1.56	2.2	1.56	1.74	1.84	2.1	1.9	1.67	3.11	1.55	2.78
1972	0.57	1.12	1.07	1.02	1.12	1.3	1.45	0.95	1.88	0.6	1.05
1973	0.06	0.29	0.31	0.26	0.33	0.54	0.42	0.24	0.64	0.12	0.41
1974	0.13	0.56	0.61	0.27	0.32	0.41	0.4	0.15	0.41	0.21	0.23
1975	0.11	0.43	0.64	0.25	0.45	0.32	0.44	0.33	0.44	0.09	0.12
1976	0.26	1.07	0.91	0.5	1.15	0.78	0.91	0.52	1.08	0.39	0.73
1977	0.34	1.35	1.26	0.77	1.42	1.18	1.01	0.84	1.42	0.36	0.66
1978	0.45	1.56	1.31	1.02	1.78	1.59	1.52	0.73	1.65	0.4	0.53
1979	0.54	2.08	2.13	1.5	2.34	2.5	2.16	1.31	3.78	0.9	1.1
