# Jansma - Deventer Ship Timbers used as Rivetments - QUSP - ITRDB NETH003
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3624
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3624.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth003-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; neth003-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth003.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/neth003.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Jansma - Deventer Ship Timbers used as Rivetments - QUSP - ITRDB NETH003
#--------------------
# Investigators
#   Investigators: Jansma, E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Deventer Ship Timbers used as Rivetments
#   Location: Netherlands
#   Northernmost_Latitude: 52.25
#   Southernmost_Latitude: 52.25
#   Easternmost_Longitude: 6.17
#   Westernmost_Longitude: 6.17
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: NETH003
#   First_Year: 790
#   Last_Year: 1021
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DS2011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DS2011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DS2021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DS2021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DS2031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DS2031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DS2041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DS2041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DS2051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DS2051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DS2071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DS2071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DS2012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DS2012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DS2013_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DS2013; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DS2014_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DS2014; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DS2011_raw	DS2021_raw	DS2031_raw	DS2041_raw	DS2051_raw	DS2071_raw	DS2012_raw	DS2013_raw	DS2014_raw
870	NA	1.22	NA	NA	NA	1.38	NA	1.51	1.38
871	NA	1.21	NA	NA	NA	1.31	NA	1.54	1.5
872	NA	1.26	NA	NA	NA	1.48	NA	1.81	1.82
873	NA	1.34	NA	NA	NA	1.87	NA	1.29	2.35
874	NA	0.99	NA	NA	NA	0.76	NA	0.82	0.88
875	NA	1.26	NA	NA	NA	1.1	NA	1.67	1.44
876	NA	1.34	NA	NA	NA	1.49	NA	1.42	1.7
877	NA	0.96	NA	NA	NA	1.29	NA	0.75	1.12
878	NA	1.42	NA	NA	NA	1.56	NA	0.92	1.49
879	NA	1.73	NA	NA	NA	1.67	NA	1.9	2.24
880	NA	1.21	NA	NA	NA	1.43	NA	1.12	1.41
881	NA	1.1	NA	NA	NA	0.86	NA	1.28	1.4
882	NA	1.07	NA	NA	NA	0.87	NA	0.82	1.39
883	NA	1.01	NA	NA	NA	1.03	NA	1.23	1.58
884	NA	1.31	NA	NA	NA	1.1	NA	1.72	2.26
885	NA	1.44	NA	NA	NA	1.25	NA	1.79	2.46
886	NA	1.51	NA	NA	NA	1.15	NA	1.66	2.03
887	NA	1.33	NA	NA	NA	1.22	NA	1.54	1.87
888	NA	1.19	NA	NA	NA	1.22	NA	1.26	2.13
889	NA	1.23	NA	NA	NA	0.88	NA	1.74	2.09
890	NA	1.46	NA	NA	NA	1.06	NA	1.73	2.5
891	NA	1.31	NA	NA	NA	0.88	NA	1.19	1.72
892	NA	1.5	NA	NA	NA	1.13	NA	1.65	2.32
893	NA	1.38	NA	NA	NA	0.99	NA	1.54	1.99
894	NA	1.44	NA	NA	NA	1.27	NA	1.22	1.45
895	NA	1.38	NA	1.35	NA	1.13	NA	0.66	0.99
896	NA	1.35	NA	0.97	NA	1.42	NA	1.05	1.07
897	NA	1.13	NA	0.76	NA	1.63	NA	1.58	2.18
898	NA	1.05	NA	1.27	NA	1.11	NA	1.48	1.83
899	NA	1.07	NA	0.71	NA	1.2	NA	1.85	2.07
900	NA	1.12	NA	0.62	NA	1.09	NA	1.43	1.75
901	NA	1.16	NA	0.69	NA	1.23	NA	1.44	1.63
902	NA	1.26	NA	1.13	NA	1.29	NA	1.63	1.5
903	NA	1.43	NA	2.06	NA	1.38	NA	1.46	1.86
904	NA	1.32	NA	0.66	NA	1.38	NA	1.48	1.55
905	NA	1.33	NA	1.24	NA	1.29	NA	1.87	2.22
906	NA	1.35	NA	1.24	NA	1.34	NA	1.48	1.64
907	NA	1.02	NA	0.53	NA	1.06	NA	1.28	1.59
908	NA	1.01	NA	0.82	NA	1.14	NA	1.15	1.35
909	NA	1.55	NA	1.13	NA	2.22	NA	1.73	2.04
910	NA	1.16	NA	0.72	NA	1.3	NA	1.24	1.16
911	NA	1.43	NA	0.58	NA	1.47	NA	1.22	1.48
912	NA	1.26	NA	0.73	NA	1.21	NA	1.12	1.35
913	NA	0.92	NA	1.2	NA	1.06	NA	1.1	1.19
914	NA	0.94	NA	0.85	NA	0.85	NA	0.79	0.78
915	NA	0.75	NA	1.33	NA	1.36	NA	0.79	0.97
916	NA	0.62	2.94	1.16	NA	1.06	NA	0.69	0.66
917	NA	0.8	0.9	1.17	NA	0.86	NA	1.02	1.21
918	NA	0.91	1.45	1.46	NA	1.13	NA	1.28	1.6
919	NA	1.15	1.91	1.83	NA	1.29	NA	1.38	1.61
920	NA	0.95	1.79	1.17	NA	1.14	NA	1.05	1.26
921	NA	1.09	3.04	1.36	NA	1.01	NA	1.52	1.56
922	NA	0.67	2.34	1.25	NA	1.07	NA	0.98	1.23
923	NA	0.84	1.5	1.2	NA	1.46	NA	1.25	1.56
924	NA	0.83	1.23	1.34	NA	1.07	NA	1.24	1.62
925	NA	0.81	1.45	1.44	NA	1.14	NA	0.99	1.54
926	NA	0.77	1.18	1.07	NA	1.11	NA	0.64	1.33
927	NA	0.98	2.36	1.7	NA	1.41	NA	1.49	2.35
928	NA	0.77	1.51	0.94	NA	0.86	NA	0.75	0.93
929	NA	1.24	2.56	1.53	NA	1.35	NA	1.53	2.29
930	NA	1.19	2.71	1.34	NA	1.15	NA	0.89	1.11
931	NA	1.2	2.95	1.25	NA	1.16	NA	1.47	1.71
932	NA	1.44	3.52	1.54	3.64	1.25	NA	2.2	2.7
933	NA	0.96	2.2	1.15	2.72	1.15	NA	1.13	1.32
934	NA	1.17	2.49	1.43	2.96	1.27	NA	1.72	1.93
935	NA	0.8	1.97	0.95	2.15	0.9	NA	1.1	1.3
936	NA	1.03	2.3	1.55	2.48	1.14	NA	1.21	1.44
937	NA	0.78	2.18	1.09	2.27	1.1	NA	1.07	1.2
938	NA	0.83	1.82	1.17	2.46	0.98	NA	1.5	1.52
939	NA	0.84	1.97	1.45	2.57	1.02	NA	1.52	1.74
940	1.38	0.92	1.7	1.24	2.75	1.38	NA	1.88	1.75
941	0.97	0.82	2.13	1.22	2.36	1.16	NA	1.62	1.04
942	0.89	0.97	2.15	1.25	2.43	1.21	NA	1.56	NA
943	0.89	0.67	1.26	0.93	1.91	0.92	NA	0.97	NA
944	0.81	0.62	0.81	0.71	1.66	1.35	NA	0.86	NA
945	0.73	0.55	1.03	0.78	1.41	0.97	NA	0.79	NA
946	0.89	0.62	1.22	1.25	1.61	1.25	NA	0.83	NA
947	1.17	0.81	2.18	1.26	2.06	1.53	NA	1.16	NA
948	1.08	0.92	2.13	1.49	2.03	1.12	1.1	0.98	NA
949	0.93	1.01	2.26	2.5	2.45	1.23	1.19	0.82	NA
950	1.06	0.98	1.83	1.84	2.09	1.42	1.19	0.93	NA
951	0.79	0.84	1.54	1.67	2.02	1.07	0.95	0.84	NA
952	1.2	1.06	1.87	1.91	1.92	1.37	1.27	1.26	NA
953	0.83	1	1.14	1.69	1.76	0.91	0.89	1.3	NA
954	0.75	0.8	1.8	1.27	1.54	0.86	0.8	1.34	NA
955	1.04	0.87	1.34	1.25	1.37	1.08	0.91	1.05	NA
956	1.11	0.9	1.62	1.37	1.23	1.22	1.18	1.07	NA
957	0.82	1.07	1.75	1.17	1.41	0.76	0.83	0.87	NA
958	0.97	1.01	1.9	1.11	1.51	0.99	1.08	1.35	NA
959	0.92	1.07	1.69	1.15	1.56	1.05	0.95	1.2	NA
960	0.83	0.8	1.77	1.07	1.4	0.83	0.89	1.09	NA
961	0.62	0.98	0.94	1.1	1.49	0.73	0.71	0.79	NA
962	0.8	0.97	1.1	1.37	1.45	0.9	0.88	1.55	NA
963	0.8	1.04	1.35	1.51	1.47	0.86	0.87	0.99	NA
964	0.99	1.02	1.09	1.43	1.43	0.9	0.95	1.25	NA
965	1.11	1.11	1.13	1.38	1.44	1.02	1.03	1.21	NA
966	0.96	1.02	0.93	1.13	1.5	0.88	0.93	1.07	NA
967	1.09	1.1	1.23	1.25	1.65	1.14	1.15	1.25	NA
968	0.99	1.04	1.19	1.38	1.7	0.99	0.92	1.21	NA
969	0.97	0.97	1.18	1.16	1.36	0.79	0.98	1.61	NA
970	0.81	1.19	0.95	0.92	1.02	0.7	0.76	1.44	NA
971	0.74	1.25	1.33	1.14	1.24	0.63	0.86	1.24	NA
972	0.88	1.31	1.5	1.33	1.46	0.87	0.95	1.31	NA
973	0.88	1.38	1.58	1.33	1.47	0.77	0.96	0.93	NA
974	0.76	0.97	1.07	1.03	1.13	0.82	0.86	0.85	NA
975	1.09	1.18	1.35	1.41	1.36	1.03	1.15	1.26	NA
976	0.91	NA	1.06	1.33	1.41	0.92	0.99	0.93	NA
977	1.06	NA	1.63	1.16	1.25	0.9	1.22	0.96	NA
978	1.04	NA	1.17	1.17	1.21	1.1	1.38	NA	NA
979	0.96	NA	1.41	1.13	1.21	0.97	1.25	NA	NA
980	1.02	NA	1.06	1.04	1.44	0.8	1.27	NA	NA
981	0.83	NA	0.98	0.92	1.26	0.88	1.15	NA	NA
982	1	NA	1.33	1.02	1.26	1.12	1.25	NA	NA
983	0.93	NA	1.27	0.91	1.29	1.06	1.13	NA	NA
984	1.09	NA	1.07	0.93	1.62	1.18	1.47	NA	NA
985	1.05	NA	1.27	0.91	1.56	0.97	1.48	NA	NA
986	0.94	NA	1.45	0.84	0.96	1.04	1.2	NA	NA
987	1.14	NA	1.26	0.89	0.88	1.35	1.23	NA	NA
988	1.13	NA	0.95	0.95	0.91	1.21	1.26	NA	NA
989	1.35	NA	0.96	1.08	1.01	1.65	1.51	NA	NA
990	0.92	NA	0.9	0.7	0.79	1.03	0.92	NA	NA
991	0.97	NA	0.87	0.96	0.76	1.28	1.07	NA	NA
992	1.02	NA	0.81	0.85	0.77	1.34	1.21	NA	NA
993	1.2	NA	0.91	0.7	0.8	1.42	1.34	NA	NA
994	1.19	NA	0.8	0.71	1.04	1.14	1.26	NA	NA
995	0.96	NA	0.92	0.75	0.85	1.08	0.99	NA	NA
996	1.18	NA	1.04	1.04	1.06	1.49	1.2	NA	NA
997	1.24	NA	1.22	0.94	1.1	1.59	1.38	NA	NA
998	1.08	NA	1.15	0.83	0.87	1.07	1.25	NA	NA
999	1.4	NA	1.5	1.21	1.11	1.91	1.67	NA	NA
1000	0.99	NA	0.99	0.76	0.94	1.02	1.07	NA	NA
1001	0.96	NA	0.9	0.81	1.02	1.33	1.35	NA	NA
1002	1.1	NA	1.06	1.11	1.08	1.39	1.44	NA	NA
1003	1.14	NA	1.07	1.18	1.32	1.48	1.53	NA	NA
1004	1.09	NA	0.9	1.26	1.03	1.05	1.4	NA	NA
1005	1.09	NA	0.88	0.85	0.92	1	1.15	NA	NA
1006	0.89	NA	0.68	0.97	0.95	1.09	1.23	NA	NA
1007	1.06	NA	0.84	0.78	1.01	1.15	1.46	NA	NA
1008	1	NA	0.76	0.63	0.97	1.1	1.6	NA	NA
1009	1.01	NA	0.94	NA	1.01	1.11	NA	NA	NA
1010	0.85	NA	0.79	NA	1.16	0.85	NA	NA	NA
1011	0.95	NA	0.79	NA	1.18	1.12	NA	NA	NA
1012	0.88	NA	0.68	NA	1.32	1.07	NA	NA	NA
1013	1.02	NA	0.64	NA	1.52	1.23	NA	NA	NA
1014	0.66	NA	0.5	NA	0.96	0.78	NA	NA	NA
1015	0.86	NA	0.63	NA	NA	NA	NA	NA	NA
1016	0.9	NA	0.67	NA	NA	NA	NA	NA	NA
1017	0.97	NA	0.58	NA	NA	NA	NA	NA	NA
1018	0.72	NA	0.63	NA	NA	NA	NA	NA	NA
1019	0.81	NA	0.77	NA	NA	NA	NA	NA	NA
1020	0.85	NA	0.65	NA	NA	NA	NA	NA	NA
1021	0.72	NA	0.92	NA	NA	NA	NA	NA	NA
