# Jansma - Velsen Roman Fortress Velsen I Harbour Jetty - QUSP - ITRDB NETH012
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3639
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3639.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth012-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; neth012-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth012.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/neth012.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1996-05-08
#--------------------
# File_Last_Modified_Date
#   Date: 1996-05-08
#--------------------
# Title
#   Study_Name: Jansma - Velsen Roman Fortress Velsen I Harbour Jetty - QUSP - ITRDB NETH012
#--------------------
# Investigators
#   Investigators: Jansma, E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Velsen Roman Fortress Velsen I Harbour Jetty
#   Location: Netherlands
#   Northernmost_Latitude: 52.47
#   Southernmost_Latitude: 52.47
#   Easternmost_Longitude: 4.65
#   Westernmost_Longitude: 4.65
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: NETH012
#   First_Year: -87
#   Last_Year: 21
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## VEL011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VEL011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VEL021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VEL021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VEL031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VEL031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VEL041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VEL041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VEL051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VEL051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VEL061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VEL061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VEL071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VEL071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	VEL011_raw	VEL021_raw	VEL031_raw	VEL041_raw	VEL051_raw	VEL061_raw	VEL071_raw
-5	0.73	0.76	1.12	0.48	0.52	0.66	0.73
-4	0.82	0.86	1.33	0.56	0.66	0.72	1.01
-3	0.98	0.82	1.4	0.53	0.65	0.58	0.87
-2	0.84	0.49	0.78	0.45	0.49	0.47	0.59
-1	0.7	0.38	1.01	0.26	0.38	0.35	0.54
0	0.6	0.45	0.89	0.36	0.45	0.25	0.47
1	0.74	0.34	1.31	0.38	0.54	0.26	0.53
2	1.06	0.55	1.73	0.51	0.8	0.39	0.82
3	0.77	0.33	1.2	0.49	0.51	0.36	0.62
4	0.63	0.57	0.93	0.43	0.67	0.51	0.74
5	0.73	1.12	1.68	0.73	0.69	0.61	1.13
6	0.61	0.8	1.47	0.71	0.6	0.75	1.16
7	0.51	0.98	1.95	1.15	0.69	0.8	0.97
8	0.38	0.46	0.76	0.52	0.44	0.36	0.68
9	0.3	0.6	0.78	0.49	0.32	0.36	0.71
10	0.28	0.63	0.7	0.88	0.51	0.36	0.62
11	0.33	0.53	0.96	0.91	0.53	0.23	0.75
12	0.27	0.74	1.23	0.83	0.63	0.43	0.97
13	0.29	0.8	1.4	1.08	0.51	0.47	1.08
14	0.31	1	1.4	1.1	0.67	0.66	1.21
15	0.24	0.81	1.49	1.21	0.48	0.65	1.13
16	NA	0.79	1.19	0.86	0.39	0.45	0.93
17	NA	1.05	1.36	1.03	0.47	0.75	1.04
18	NA	0.79	1.19	0.87	0.46	0.61	0.8
19	NA	0.69	1.35	0.95	0.52	0.72	0.82
20	NA	0.44	1.17	0.77	0.44	0.61	0.65
21	NA	0.37	0.87	0.52	0.36	0.28	0.49
