# Hillam - Gloucester Blackfriars - QUSP - ITRDB BRIT029
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3493
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3493.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit029-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit029-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit029.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit029.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Hillam - Gloucester Blackfriars - QUSP - ITRDB BRIT029
#--------------------
# Investigators
#   Investigators: Hillam, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Gloucester Blackfriars
#   Location: United Kingdom
#   Northernmost_Latitude: 51.75
#   Southernmost_Latitude: 51.75
#   Easternmost_Longitude: -2.0
#   Westernmost_Longitude: -2.0
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: BRIT029
#   First_Year: 1076
#   Last_Year: 1219
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BF01.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF01.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF02.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF02.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF04.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF04.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF05.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF05.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF06.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF06.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF07.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF07.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF10.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF10.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF11.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF11.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF12.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF12.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF13.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF13.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF38.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF38.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BF01.D_raw	BF02.D_raw	BF04.D_raw	BF05.D_raw	BF06.D_raw	BF07.D_raw	BF10.D_raw	BF11.D_raw	BF12.D_raw	BF13.D_raw	BF38.D_raw
1181	1.92	NA	1.75	0.96	NA	1.65	1.83	2.2	NA	1.1	1.49
1182	2.76	NA	2.08	1.39	NA	1.54	2.41	2.5	NA	1.5	2.17
1183	2.96	NA	2.48	1.46	NA	1.16	1.93	NA	NA	1.1	2.01
1184	1.28	NA	2.04	0.95	NA	0.79	1.64	NA	NA	1	1.11
1185	2.26	NA	2.97	2.08	NA	1.45	2.16	NA	NA	1.2	1.86
1186	2.26	NA	2.72	2.26	NA	1.68	1.88	NA	NA	1.4	2.15
1187	3.56	NA	3.17	2.62	NA	2.28	2.34	NA	NA	2	2.5
1188	1.57	NA	1.59	1.31	NA	1.13	1.22	NA	NA	1.2	1.28
1189	2.9	NA	2.35	2.26	NA	1.57	1.57	NA	NA	1.3	2.36
1190	3.32	NA	3.01	2.68	NA	1.55	1.45	NA	NA	1.6	2.55
1191	1.57	NA	1.97	1.72	NA	1.24	1.55	NA	NA	1.2	1.55
1192	1.91	NA	1.64	1.83	NA	0.99	1.73	NA	NA	1.4	1.86
1193	2.31	NA	1.89	2.36	NA	1.33	2.3	NA	NA	1.2	2.14
1194	2.37	NA	2.11	1.74	NA	1.11	1.86	NA	NA	1	2.05
1195	2.21	NA	2.81	2.14	NA	1.51	2.09	NA	NA	1.1	2.57
1196	3.38	NA	2.8	2.34	NA	1.34	2.39	NA	NA	1.3	2.11
1197	2.32	NA	2.23	2.11	NA	1.5	1.69	NA	NA	1.3	2.47
1198	1.85	NA	1.93	1.73	NA	1.31	1.73	NA	NA	1.1	2.17
1199	2.39	NA	2.41	1.86	NA	1.18	2.17	NA	NA	1.3	2.43
1200	2.09	NA	2.24	1.9	NA	1.09	2.16	NA	NA	1.3	1.65
1201	1.77	NA	2.31	1.69	NA	1.46	2.12	NA	NA	1.1	1.67
1202	1.91	NA	1.84	1.46	NA	1.55	1.55	NA	NA	1.2	1.62
1203	2.37	NA	2.16	1.75	NA	1.82	1.9	NA	NA	1.4	2.94
1204	NA	NA	1.76	1.75	NA	1.2	1.65	NA	NA	1.5	2.15
1205	NA	NA	2.48	2.09	NA	1.5	1.73	NA	NA	1.5	3.4
1206	NA	NA	NA	2.63	NA	2.06	1.69	NA	NA	1.4	2.59
1207	NA	NA	NA	NA	NA	0.82	1.08	NA	NA	1	1.2
1208	NA	NA	NA	NA	NA	2.21	1.51	NA	NA	1.2	2.4
1209	NA	NA	NA	NA	NA	1.67	1.53	NA	NA	1.2	1.9
1210	NA	NA	NA	NA	NA	1.8	1.96	NA	NA	1.5	2.41
1211	NA	NA	NA	NA	NA	0.78	1.68	NA	NA	1.4	2.11
1212	NA	NA	NA	NA	NA	0.67	1.47	NA	NA	1.2	1.45
1213	NA	NA	NA	NA	NA	1.01	1.15	NA	NA	1.3	1.21
1214	NA	NA	NA	NA	NA	1.4	1.47	NA	NA	1.3	1.52
1215	NA	NA	NA	NA	NA	1.65	1.22	NA	NA	NA	1.58
1216	NA	NA	NA	NA	NA	1.66	NA	NA	NA	NA	1.82
1217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.04
1218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.27
1219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5
