# Hillam - Brockadale - QUSP - ITRDB BRIT035
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3492
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3492.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit035-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit035-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit035.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit035.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-08-25
#--------------------
# File_Last_Modified_Date
#   Date: 2005-08-25
#--------------------
# Title
#   Study_Name: Hillam - Brockadale - QUSP - ITRDB BRIT035
#--------------------
# Investigators
#   Investigators: Hillam, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Brockadale
#   Location: United Kingdom
#   Northernmost_Latitude: 53.75
#   Southernmost_Latitude: 53.75
#   Easternmost_Longitude: -2.0
#   Westernmost_Longitude: -2.0
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: BRIT035
#   First_Year: 1844
#   Last_Year: 1984
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BROC01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BROC01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BROC02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BROC02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BROC03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BROC03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BROC04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BROC04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BROC05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BROC05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BROC06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BROC06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BROC07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BROC07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BROC08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BROC08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BROC09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BROC09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BROC01_raw	BROC02_raw	BROC03_raw	BROC04_raw	BROC05_raw	BROC06_raw	BROC07_raw	BROC08_raw	BROC09_raw
1924	NA	NA	NA	0.3	NA	NA	NA	2.4	NA
1925	NA	NA	NA	0.38	NA	NA	NA	1.7	NA
1926	1.72	NA	NA	0.74	NA	NA	NA	2.8	NA
1927	2.9	NA	NA	0.76	NA	NA	3.2	2.62	NA
1928	1.2	NA	NA	0.86	NA	NA	1.58	1.76	NA
1929	1.14	NA	NA	0.66	NA	NA	2.92	2.42	NA
1930	2	NA	1.64	0.52	NA	NA	4.68	3.64	NA
1931	2.22	2.46	2.1	0.72	NA	NA	4.42	3.98	NA
1932	1.44	3.3	2.48	1	NA	3.86	4.22	4.08	NA
1933	1.74	2.38	2.88	1.14	4.8	3.38	4.04	4.62	NA
1934	1.82	2.14	2.12	1.2	4.24	3.3	2.96	2.8	NA
1935	2.12	2.2	1.94	0.74	3.16	3.96	2.68	2.04	NA
1936	3.14	3.78	2.4	1.34	4.74	5.22	3.84	3.36	NA
1937	3.04	3.44	2.2	1.48	4.58	5	3.96	3.9	3.54
1938	3.4	3.28	2.04	1.16	4.72	4.84	3.6	2.92	2.64
1939	3.32	3.78	2.66	1.62	5.54	4.58	4.06	3.06	4.8
1940	1.78	2.66	1.96	1.3	3.54	2.8	2.86	3.52	3.94
1941	1.74	2.7	2.1	1.4	3.72	2.52	2.48	3.22	2.62
1942	1.78	2.92	2.88	1.6	3.04	3.42	3.6	2.64	1.66
1943	1.64	2.66	2.84	1	2.24	3.1	3.02	2.12	1.86
1944	2.02	2.82	3.74	1.72	2.08	4.16	2.98	3.08	1.98
1945	1.68	3.04	3.02	1.34	1.92	3.46	2.64	3.26	1.56
1946	2.1	2.98	2.78	1.22	1.86	3.16	2.28	2.94	2.18
1947	3.04	3.18	2.62	1.74	2.3	2.92	2.92	4.54	3.84
1948	2.74	2.78	1.74	1.04	2.4	2.14	2.46	2.98	3.08
1949	2	1.98	1.4	0.8	2.4	1.8	1.92	2	1.88
1950	2.44	2.16	1.94	1.02	3.2	1.86	2.2	2.8	2.36
1951	2.52	2.22	2.18	0.98	2.44	1.74	2.32	2.82	2.78
1952	2.2	2.48	2.42	1	2.1	1.6	2.18	2.94	3.42
1953	1.86	1.88	2.08	0.84	2.14	1.32	1.76	2.72	3.36
1954	1.54	1.6	1.76	0.9	1.7	1.48	1.92	2.64	2.84
1955	1.54	1.76	2.04	0.86	2.08	1.54	1.68	1.8	1.92
1956	1.1	1.58	1.74	0.82	1.74	1.48	1.84	1.86	2.18
1957	1.2	1.88	1.52	0.96	1.44	1.5	1.28	1.7	1.76
1958	0.9	1.36	1.3	0.94	1.18	1.54	0.8	1.92	1.5
1959	1.16	1.88	1.92	1.16	1.48	1.96	1.38	2.16	1.54
1960	1.14	1.26	1.66	0.9	1.12	2.16	1.16	2.26	1.32
1961	0.88	0.9	1.62	0.72	0.78	1.38	0.92	1.84	0.78
1962	0.8	1.02	1.44	0.64	1.24	1.88	0.88	1.86	0.66
1963	1.12	1.22	2.02	1.06	0.98	1.34	0.88	2.54	0.58
1964	1.18	1.38	2.28	1.32	1.16	1.74	1.06	3.04	0.88
1965	1.06	0.82	1.78	0.66	0.82	1.28	0.64	1.92	0.82
1966	1.18	0.9	1.6	0.9	0.88	1.46	0.68	1.82	1.02
1967	1.52	1.16	2.12	0.98	1.1	1.62	0.5	1.94	0.94
1968	1.1	1.3	1.74	0.78	0.98	1.24	0.46	1.88	0.9
1969	1.26	1.34	1.86	1.3	1.3	1.88	0.78	2.4	1.12
1970	1	1.14	1.08	1	0.78	1.5	0.44	1.84	1.06
1971	1.04	0.98	0.96	1.14	1.02	2.44	0.76	2.22	1.48
1972	0.8	0.52	0.72	0.78	0.9	2.12	0.58	1.16	0.94
1973	0.96	0.86	1.34	1.1	1.02	1.84	0.48	2.16	1.32
1974	1.16	0.9	1.44	1.34	1.34	2.14	0.7	2.02	1.6
1975	1.08	0.76	1.08	1.06	1.04	2.46	0.52	1.58	1.56
1976	0.92	0.52	0.68	0.64	0.66	1.42	0.44	0.96	1.2
1977	1.44	0.78	1.48	1.08	0.98	2.58	0.78	1.64	1.46
1978	1.76	0.9	1.54	1.18	1.14	2.44	0.5	2.36	1.8
1979	1.68	1.24	2.22	1.88	1.68	5.62	1.12	2.18	2.78
1980	2.16	1.28	2.64	1.7	1.62	6.18	0.96	2.5	2.4
1981	1.68	NA	1.98	1.26	1.82	4.16	1.36	1.7	1.6
1982	1.86	NA	2.62	1.46	1.88	4.9	1.4	2.72	2.82
1983	1.32	NA	1.96	1.28	NA	2.94	1.58	1.6	2.26
1984	1.04	NA	1.2	1.32	NA	3.2	1.8	1.68	2.2
