# Jansma - Oegstgeest House Endegeer Roof Timbers - QUSP - ITRDB NETH017
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3635
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3635.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth017-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; neth017-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth017.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/neth017.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Jansma - Oegstgeest House Endegeer Roof Timbers - QUSP - ITRDB NETH017
#--------------------
# Investigators
#   Investigators: Jansma, E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Oegstgeest  House Endegeer Roof Timbers
#   Location: Netherlands
#   Northernmost_Latitude: 52.18
#   Southernmost_Latitude: 52.18
#   Easternmost_Longitude: 4.47
#   Westernmost_Longitude: 4.47
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: NETH017
#   First_Year: 1455
#   Last_Year: 1650
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## OHE041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OHE041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OHE051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OHE051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OHE061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OHE061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OHE071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OHE071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OHE081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OHE081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OHE091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OHE091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OHE101_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OHE101; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OHE111_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OHE111; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OHE121_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OHE121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	OHE041_raw	OHE051_raw	OHE061_raw	OHE071_raw	OHE081_raw	OHE091_raw	OHE101_raw	OHE111_raw	OHE121_raw
1533	NA	NA	NA	1.88	NA	1.73	1.29	NA	NA
1534	NA	NA	NA	1.52	NA	1.85	1	NA	NA
1535	NA	NA	NA	1.67	NA	1.74	1.3	NA	1.61
1536	NA	NA	NA	1.49	NA	1.21	1.39	NA	1.33
1537	NA	NA	NA	1.58	NA	1.64	1.23	NA	1.71
1538	NA	NA	NA	0.89	NA	1.16	0.87	NA	1.63
1539	NA	NA	NA	1.07	NA	1.71	1.22	NA	0.95
1540	2.36	NA	NA	1.25	NA	1.5	1.08	NA	0.91
1541	1.83	NA	NA	1.3	NA	1.45	1.21	NA	1.05
1542	2.77	NA	NA	1.51	NA	1.2	1.01	NA	1.05
1543	2.34	NA	NA	1.74	NA	1.46	0.93	NA	2.41
1544	2.13	NA	NA	2.18	NA	1.42	1.37	NA	2.34
1545	1.86	NA	NA	2.25	NA	1.67	1.51	NA	2.53
1546	1.44	NA	NA	1.49	NA	1.36	1.05	NA	1.91
1547	1.51	NA	NA	1.32	3.13	1.2	0.97	NA	1.61
1548	1.53	NA	NA	1.34	3.49	1.58	1.24	NA	1.44
1549	1.66	NA	NA	1.3	2.67	1.44	0.96	NA	2.11
1550	1.6	NA	NA	1.27	2.59	1.63	1.15	NA	3.11
1551	2.02	NA	2.49	1.3	2.32	1.67	1.31	NA	2.5
1552	1.62	NA	1.84	1.1	1.61	1.49	0.88	NA	1.4
1553	2.22	NA	1.84	1.37	1.71	1.3	0.68	NA	1.56
1554	1.11	NA	2.34	0.85	1.96	0.93	0.5	NA	1.15
1555	2	NA	2.04	1.23	2.12	1.58	0.66	NA	1
1556	1.36	NA	0.96	0.51	1.06	0.89	0.66	2.62	0.96
1557	1.19	NA	0.89	0.75	1	1.32	0.68	5.85	0.8
1558	1.15	NA	1.31	0.95	1.34	1.2	0.7	5.39	1.14
1559	1.56	NA	1.42	0.96	1.55	1.67	0.6	4.42	1.81
1560	1.12	NA	2.28	1.23	1.86	2.63	0.87	5.68	1.69
1561	1.02	NA	2.22	1.18	1.69	2.22	0.78	5.51	2.23
1562	1.45	NA	3.21	2.02	3	2.85	0.96	5.51	2.08
1563	1.81	NA	2.68	1.95	3.08	1.54	0.93	3.81	1.84
1564	1.71	NA	2.66	1.85	2.81	1.28	0.82	2.96	1.39
1565	1.49	NA	2.78	1.53	2.36	1.24	0.95	3.21	1.48
1566	1.07	NA	2.2	1.25	2.16	1.1	0.66	2.82	1.39
1567	0.92	NA	1.72	1.35	1.9	0.98	0.57	2.86	1.58
1568	1.26	NA	2.02	1.43	2	1.19	0.77	4.36	2.58
1569	1.09	NA	1.53	1.2	1.94	1.26	0.75	3.89	1.76
1570	1.02	NA	1.15	1.01	1.44	1.3	0.67	2.91	1.38
1571	1.28	NA	1.41	1.08	1.43	1.23	0.62	2.6	1.48
1572	1.17	NA	1.58	1.04	1.33	1.42	0.9	2.73	1.05
1573	1.4	NA	1.73	1.24	1.65	1.42	0.8	3.47	1.54
1574	1.24	NA	1.93	1.06	1.73	1.09	0.84	3.18	1.55
1575	1.58	0.97	1.88	1.1	1.69	1.78	1.01	2.9	1.99
1576	1.15	1.04	1.79	1.29	1.54	1.71	0.79	3.95	2.35
1577	1.29	0.72	1.61	1.39	1.34	1.44	0.7	3.09	2.76
1578	1.07	0.89	1.6	1.22	1.48	1.01	0.73	3.54	2.3
1579	1.17	0.9	1.39	1.38	1.49	1.04	1.05	2.14	1.81
1580	0.96	0.95	1.88	1.14	1.51	1.25	0.71	1.81	1.68
1581	1.11	0.9	1.54	1.39	1.4	1.42	1.17	1.31	1.26
1582	1.16	1.07	1.39	0.95	1.22	1.21	0.77	1.33	1.8
1583	1.2	0.8	1.62	1.41	1.78	1.4	0.85	1.56	2.18
1584	1.27	0.77	2.23	1.35	2.13	1.5	0.8	1.76	1.53
1585	1.53	1.21	3.24	1.9	2.58	2.34	0.96	2.08	2.34
1586	1.63	1.64	2.19	1.64	2.08	1.86	0.98	1.64	2.35
1587	1.84	1.96	2.25	1.79	2.5	1.49	0.92	2.14	2.51
1588	1.35	1.48	1.88	1.41	1.98	1.14	0.93	1.96	2.22
1589	1.46	1.83	2.08	1.94	2	1.44	1.04	2.47	2.44
1590	1.07	1.18	1.44	1.46	1.42	1.14	0.77	1.65	1.47
1591	1.19	1	1.94	2.13	1.56	1.48	1.11	2.1	1.8
1592	1	0.86	1.67	1.89	1.5	1.1	1	2	1.26
1593	0.94	1.24	2.49	NA	1.54	1.32	0.81	1.94	0.9
1594	0.96	1.09	1.78	NA	1.38	1.39	0.84	1.66	1.45
1595	1.11	1.25	1.6	NA	1.38	2.13	0.71	1.48	1.29
1596	0.89	1.03	1.07	NA	0.93	1.4	0.7	0.79	0.98
1597	0.89	1.16	1.05	NA	1.13	1.39	0.8	1.27	1.07
1598	1.3	2.1	1.26	NA	1.07	1.42	0.79	1.22	0.92
1599	0.88	1.18	1.17	NA	1.11	1.14	0.85	0.81	0.76
1600	1.13	1.26	1.17	NA	1.19	1.26	1.11	1.18	0.77
1601	0.82	0.97	1.09	NA	1.01	1.06	0.86	1.3	0.71
1602	1.09	1.26	1.46	NA	NA	1.3	0.97	1.09	0.78
1603	1	1.17	1.53	NA	NA	1.19	0.94	1.45	0.99
1604	0.92	1.54	1.51	NA	NA	1.09	1.03	1.91	1.11
1605	0.85	1.17	1.4	NA	NA	1	0.87	1.54	1.13
1606	0.98	1.18	1.11	NA	NA	1.59	1.32	1.75	1.64
1607	1.13	1.86	1.84	NA	NA	1.76	1.61	1.86	1.76
1608	0.77	1.01	1.37	NA	NA	1.15	1.05	1.22	1.08
1609	0.69	0.95	1.34	NA	NA	1.17	0.91	1.18	1.4
1610	0.63	1.17	1.21	NA	NA	1.17	0.83	1.33	1.8
1611	0.82	1	1.94	NA	NA	1.16	1.03	1.29	2.41
1612	0.82	1.15	1.97	NA	NA	1.41	1.14	1.38	1.57
1613	0.94	1.44	2.27	NA	NA	0.99	0.94	1.08	1.28
1614	1.03	1.59	1.77	NA	NA	1.21	1.02	1.11	1.22
1615	0.93	0.97	1.36	NA	NA	0.94	0.99	0.86	1.04
1616	0.8	0.95	1.2	NA	NA	0.79	0.98	0.79	1.17
1617	0.93	0.9	1.56	NA	NA	0.88	1.02	0.91	1.26
1618	1.09	1.08	2.23	NA	NA	1.21	1.13	1.4	1.94
1619	0.93	1.09	1.28	NA	NA	1.24	0.96	1.6	2.44
1620	1.09	1.41	1.54	NA	NA	1.11	1.18	1.24	1.75
1621	1.17	1.63	1.3	NA	NA	1.22	0.81	0.87	1.64
1622	0.99	1.2	1.52	NA	NA	0.82	0.66	0.73	0.95
1623	1.25	1.92	1.56	NA	NA	0.77	0.99	1.05	1.17
1624	0.97	1.35	1.24	NA	NA	0.93	0.92	1.05	1.16
1625	1.41	1.81	1.48	NA	NA	1.25	1.23	2.13	2.19
1626	0.76	1.13	1.87	NA	NA	1.17	0.83	1.43	1.51
1627	1.31	2.58	2	NA	NA	1.62	1.19	1.91	2.28
1628	1.37	2.05	1.26	NA	NA	1.26	NA	1.54	2.12
1629	1.22	1.64	1.38	NA	NA	1.02	NA	1	1.58
1630	0.97	1.62	NA	NA	NA	0.9	NA	1.38	2.05
1631	1.04	1.38	NA	NA	NA	NA	NA	1.34	1.94
1632	1.16	1.74	NA	NA	NA	NA	NA	1.3	1.54
1633	1.29	1.61	NA	NA	NA	NA	NA	1.15	1.5
1634	1.2	1.72	NA	NA	NA	NA	NA	1.1	1.17
1635	1.12	1.02	NA	NA	NA	NA	NA	0.9	1.29
1636	0.76	0.48	NA	NA	NA	NA	NA	0.98	1.01
1637	0.93	0.69	NA	NA	NA	NA	NA	1.09	1.1
1638	1.09	0.73	NA	NA	NA	NA	NA	1.42	NA
1639	1.19	0.85	NA	NA	NA	NA	NA	1.55	NA
1640	1.32	1.05	NA	NA	NA	NA	NA	1.33	NA
1641	0.97	0.98	NA	NA	NA	NA	NA	1.57	NA
1642	0.98	0.79	NA	NA	NA	NA	NA	1.65	NA
1643	1.06	1.05	NA	NA	NA	NA	NA	1.87	NA
1644	1.23	1.4	NA	NA	NA	NA	NA	1.57	NA
1645	1.07	1.11	NA	NA	NA	NA	NA	1.57	NA
1646	1.29	1.12	NA	NA	NA	NA	NA	1.59	NA
1647	1.03	0.93	NA	NA	NA	NA	NA	NA	NA
1648	1.18	0.87	NA	NA	NA	NA	NA	NA	NA
1649	NA	1.17	NA	NA	NA	NA	NA	NA	NA
1650	NA	1.12	NA	NA	NA	NA	NA	NA	NA
