# Brown - Abbey Street Kilkenny - QUSP - ITRDB BRIT045
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2868
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2868.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit045-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit045-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit045.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit045.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Brown - Abbey Street Kilkenny - QUSP - ITRDB BRIT045
#--------------------
# Investigators
#   Investigators: Brown, D.M.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Abbey Street  Kilkenny
#   Location: Ireland
#   Northernmost_Latitude: 52.65
#   Southernmost_Latitude: 52.65
#   Easternmost_Longitude: -7.25
#   Westernmost_Longitude: -7.25
#   Elevation_m: 50
#--------------------
# Data_Collection
#   Collection_Name: BRIT045
#   First_Year: 936
#   Last_Year: 1240
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## Q 9730_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 9730; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 9731_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 9731; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 9732_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 9732; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 9733_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 9733; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 9734_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 9734; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	Q 9730_raw	Q 9731_raw	Q 9732_raw	Q 9733_raw	Q 9734_raw
1039	0.57	0.44	0.62	0.61	0.22
1040	0.69	0.48	0.58	0.81	0.3
1041	0.51	0.39	0.48	0.41	0.26
1042	0.55	0.64	0.63	0.66	0.33
1043	0.54	0.52	0.49	0.48	0.32
1044	0.41	0.39	0.49	0.45	0.31
1045	0.44	0.58	0.6	0.7	0.66
1046	0.4	0.5	0.55	0.64	0.61
1047	0.61	0.46	0.69	0.83	0.41
1048	0.5	0.46	0.52	0.7	0.3
1049	0.55	0.52	0.63	0.61	0.34
1050	0.45	0.22	0.46	0.62	0.2
1051	0.47	0.31	0.39	0.34	0.21
1052	0.38	0.3	0.33	0.54	0.22
1053	0.38	0.32	0.39	0.71	0.19
1054	0.28	0.21	0.27	0.23	0.18
1055	0.57	0.27	0.57	0.78	0.24
1056	0.5	0.34	0.65	0.48	0.19
1057	0.44	0.23	0.35	0.39	0.17
1058	0.74	0.39	0.66	0.89	0.25
1059	0.67	0.49	0.5	0.68	0.28
1060	0.7	0.56	0.56	0.7	0.39
1061	0.97	0.67	0.93	0.79	0.45
1062	0.51	0.49	0.62	0.53	0.38
1063	0.61	0.44	0.76	0.5	0.4
1064	0.54	0.42	0.7	0.48	0.34
1065	0.74	0.28	0.71	0.53	0.25
1066	0.92	0.46	0.87	0.86	0.55
1067	0.75	0.46	0.68	0.59	0.55
1068	0.68	0.38	0.58	0.91	0.39
1069	0.66	0.4	0.58	0.52	0.56
1070	1.19	0.31	0.72	1	0.39
1071	0.97	0.22	0.58	0.74	0.51
1072	0.91	0.2	0.68	0.73	0.4
1073	1.12	0.21	0.84	0.85	0.43
1074	0.91	0.26	0.79	0.8	0.51
1075	1.08	0.32	0.95	0.72	0.5
1076	0.77	0.26	0.69	0.66	0.38
1077	0.65	0.21	0.51	0.68	0.39
1078	0.78	0.29	0.64	0.71	0.43
1079	0.54	0.32	0.57	0.47	0.23
1080	0.51	0.36	0.45	0.65	0.2
1081	0.6	0.42	0.38	0.62	0.31
1082	0.48	0.38	0.36	0.42	0.2
1083	0.53	0.41	0.39	0.57	0.12
1084	0.41	0.36	0.34	0.35	0.22
1085	0.82	0.66	0.65	0.67	0.45
1086	0.58	0.61	0.5	0.5	0.6
1087	0.41	0.57	0.32	0.47	0.43
1088	0.43	0.49	0.46	0.63	0.35
1089	0.36	0.43	0.35	0.48	0.39
1090	0.38	0.34	0.33	0.38	0.27
1091	0.39	0.3	0.35	0.39	0.3
1092	0.42	0.28	0.42	0.47	0.26
1093	0.64	0.42	0.68	0.56	0.69
1094	0.61	0.43	0.6	0.63	0.44
1095	0.7	0.35	0.48	0.71	0.54
1096	0.51	0.35	0.44	0.63	0.31
1097	0.65	0.36	0.59	0.8	0.39
1098	0.68	0.25	0.38	0.65	0.29
1099	0.69	0.32	0.57	0.64	0.25
1100	0.64	0.4	0.71	0.86	0.21
1101	0.49	0.37	0.4	0.55	0.15
1102	0.47	0.34	0.46	0.64	0.22
1103	0.71	0.53	0.5	0.72	0.38
1104	0.3	0.35	0.37	0.52	0.22
1105	0.53	0.4	0.52	0.83	0.4
1106	0.58	0.45	0.55	1.04	0.36
1107	0.63	0.41	0.66	0.83	0.35
1108	0.68	0.36	0.68	0.93	0.5
1109	0.7	0.43	0.65	1.08	0.39
1110	0.78	0.29	0.63	0.87	0.39
1111	0.71	0.32	0.69	0.59	0.38
1112	0.58	0.27	0.56	0.43	0.33
1113	0.45	0.21	0.39	0.38	0.23
1114	0.42	0.17	0.38	0.45	0.25
1115	0.72	0.36	0.64	0.72	0.39
1116	0.39	0.24	0.43	0.5	0.34
1117	0.3	0.26	0.33	0.52	0.55
1118	0.62	0.41	0.54	0.83	0.52
1119	0.42	0.27	0.34	0.58	0.38
1120	0.45	0.3	0.31	0.56	0.46
1121	0.65	0.38	0.51	0.78	0.42
1122	0.55	0.45	0.51	0.81	0.32
1123	0.45	0.45	0.54	0.78	0.23
1124	0.58	0.48	0.6	0.82	0.21
1125	0.49	0.6	0.59	0.62	0.24
1126	0.47	0.56	0.47	0.43	0.17
1127	0.51	0.62	0.65	0.67	0.15
1128	0.58	0.64	0.8	0.58	0.18
1129	0.2	0.32	0.36	0.29	0.13
1130	0.48	0.41	0.7	0.64	0.18
1131	0.46	0.41	0.62	0.59	0.1
1132	0.35	0.31	0.54	0.61	0.09
1133	0.3	0.29	0.49	0.48	0.12
1134	0.25	0.31	0.59	0.53	0.15
1135	0.48	0.45	1	1.03	0.18
1136	0.26	0.34	0.68	0.63	0.09
1137	0.36	0.35	0.54	0.45	0.13
1138	0.55	0.39	0.74	0.58	0.14
1139	0.44	0.29	0.59	0.46	0.15
1140	0.52	0.39	0.61	0.39	0.18
1141	0.84	0.49	0.62	0.45	0.13
1142	0.61	0.28	0.58	0.48	0.18
1143	0.62	0.26	0.43	0.42	0.19
1144	0.52	0.24	0.48	0.29	0.15
1145	0.76	0.4	0.49	0.39	0.11
1146	0.73	0.31	0.48	0.46	0.14
1147	0.66	0.27	0.38	0.41	0.13
1148	0.46	0.18	0.28	0.46	0.15
1149	0.66	0.29	0.43	0.67	0.12
1150	0.43	0.2	0.29	0.61	0.19
1151	0.36	0.27	0.36	0.5	0.12
1152	0.32	0.23	0.37	0.39	0.2
1153	0.37	0.2	0.3	0.44	0.16
1154	0.3	0.35	0.28	0.44	0.18
1155	0.26	0.24	0.26	0.31	0.15
1156	0.37	0.49	0.33	0.4	0.2
1157	0.26	0.4	0.29	0.27	0.12
1158	0.24	0.27	NA	0.22	0.1
1159	0.23	0.36	NA	0.24	0.12
1160	0.2	0.35	NA	0.27	0.15
1161	0.2	0.3	NA	0.28	0.15
1162	0.21	0.31	NA	0.27	0.15
1163	0.22	0.36	NA	0.3	0.44
1164	0.24	0.38	NA	0.32	0.25
1165	0.27	0.29	NA	0.21	0.14
1166	0.18	0.3	NA	NA	0.09
1167	0.26	0.35	NA	NA	0.12
1168	0.37	0.45	NA	NA	0.18
1169	NA	0.74	NA	NA	0.23
1170	NA	0.53	NA	NA	0.21
1171	NA	0.57	NA	NA	0.14
1172	NA	0.46	NA	NA	0.12
1173	NA	0.44	NA	NA	0.16
1174	NA	0.3	NA	NA	0.14
1175	NA	0.28	NA	NA	0.2
1176	NA	0.3	NA	NA	0.18
1177	NA	0.31	NA	NA	0.06
1178	NA	0.35	NA	NA	0.26
1179	NA	0.5	NA	NA	0.26
1180	NA	0.22	NA	NA	0.22
1181	NA	0.23	NA	NA	0.22
1182	NA	0.4	NA	NA	0.25
1183	NA	0.37	NA	NA	0.2
1184	NA	0.25	NA	NA	0.21
1185	NA	0.35	NA	NA	0.2
1186	NA	NA	NA	NA	0.23
1187	NA	NA	NA	NA	0.17
1188	NA	NA	NA	NA	0.21
1189	NA	NA	NA	NA	0.19
1190	NA	NA	NA	NA	0.16
1191	NA	NA	NA	NA	0.14
1192	NA	NA	NA	NA	0.12
1193	NA	NA	NA	NA	0.17
1194	NA	NA	NA	NA	0.14
1195	NA	NA	NA	NA	0.14
1196	NA	NA	NA	NA	0.15
1197	NA	NA	NA	NA	0.14
1198	NA	NA	NA	NA	0.13
1199	NA	NA	NA	NA	0.14
1200	NA	NA	NA	NA	0.17
1201	NA	NA	NA	NA	0.15
1202	NA	NA	NA	NA	0.19
1203	NA	NA	NA	NA	0.14
1204	NA	NA	NA	NA	0.15
1205	NA	NA	NA	NA	0.16
1206	NA	NA	NA	NA	0.26
1207	NA	NA	NA	NA	0.12
1208	NA	NA	NA	NA	0.12
1209	NA	NA	NA	NA	0.16
1210	NA	NA	NA	NA	0.22
1211	NA	NA	NA	NA	0.16
1212	NA	NA	NA	NA	0.16
1213	NA	NA	NA	NA	0.13
1214	NA	NA	NA	NA	0.17
1215	NA	NA	NA	NA	0.19
1216	NA	NA	NA	NA	0.16
1217	NA	NA	NA	NA	0.15
1218	NA	NA	NA	NA	0.13
1219	NA	NA	NA	NA	0.13
1220	NA	NA	NA	NA	0.14
1221	NA	NA	NA	NA	0.26
1222	NA	NA	NA	NA	0.25
1223	NA	NA	NA	NA	0.2
1224	NA	NA	NA	NA	0.3
1225	NA	NA	NA	NA	0.23
1226	NA	NA	NA	NA	0.27
1227	NA	NA	NA	NA	0.25
1228	NA	NA	NA	NA	0.31
1229	NA	NA	NA	NA	0.35
1230	NA	NA	NA	NA	0.43
1231	NA	NA	NA	NA	0.27
1232	NA	NA	NA	NA	0.32
1233	NA	NA	NA	NA	0.33
1234	NA	NA	NA	NA	0.4
1235	NA	NA	NA	NA	0.45
1236	NA	NA	NA	NA	0.23
1237	NA	NA	NA	NA	0.27
1238	NA	NA	NA	NA	0.25
1239	NA	NA	NA	NA	0.23
1240	NA	NA	NA	NA	0.23
