# Arnold - The Bede House - QUSP - ITRDB BRIT088
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/28325
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-28325.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit088-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit088-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit088.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit088.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-11-01
#--------------------
# File_Last_Modified_Date
#   Date: 2019-11-01
#--------------------
# Title
#   Study_Name: Arnold - The Bede House - QUSP - ITRDB BRIT088
#--------------------
# Investigators
#   Investigators: Arnold, A.J.; Howard, R.E.; Tyers, C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2020-03-09.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Historic England
#   Grant:
#--------------------
# Site_Information
#   Site_Name: The Bede House
#   Location: United Kingdom
#   Northernmost_Latitude: 52.563881
#   Southernmost_Latitude: 52.563881
#   Easternmost_Longitude: -0.709261
#   Westernmost_Longitude: -0.709261
#   Elevation_m: None
#--------------------
# Data_Collection
#   Collection_Name: BRIT088
#   First_Year: 1085
#   Last_Year: 1221
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LYB039A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB039A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYB039B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB039B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYB040A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB040A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYB040B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB040B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYB041A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB041A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYB041B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB041B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYB042A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB042A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYB042B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB042B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYB113A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB113A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYB113B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB113B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LYB039A_raw	LYB039B_raw	LYB040A_raw	LYB040B_raw	LYB041A_raw	LYB041B_raw	LYB042A_raw	LYB042B_raw	LYB113A_raw	LYB113B_raw
1151	0.94	0.93	1.27	1.16	0.73	0.64	1.65	1.55	1.55	1.42
1152	1.11	1.11	1.03	1.14	0.75	0.76	1.79	1.72	1.3	1.34
1153	1.87	1.87	1.96	2.04	1.3	1.5	2.36	2.33	1.89	1.95
1154	1.63	1.52	1.93	1.87	0.82	0.87	1.9	1.73	2.13	2.16
1155	1.82	1.81	1.27	1.21	0.65	0.55	1.12	1.28	2.02	1.99
1156	1.21	1.14	1.07	1.08	0.64	0.54	1.9	2.1	1.65	1.73
1157	1.25	1.31	1.41	1.32	1.01	1.11	2.11	1.92	1.57	1.62
1158	1.07	1.04	1.34	1.23	0.94	0.89	1.52	1.46	1.58	1.47
1159	1.79	1.73	1.62	1.66	1.08	1.14	1.95	1.99	1.77	1.75
1160	2.27	2.33	1.65	1.64	1.06	1.14	2.09	2.39	2.14	2.14
1161	1.54	1.57	1.63	1.61	0.71	0.8	1.75	1.92	1.58	1.64
1162	1.74	1.64	1.13	1.22	0.57	0.64	1.18	1.07	1.04	1.04
1163	1.4	1.49	0.93	1.04	0.62	0.55	1.17	1.17	1.18	1.21
1164	1.19	1.14	0.73	0.72	0.65	0.76	1.03	1.02	0.91	0.93
1165	1.45	1.58	0.9	0.86	1.42	1.17	1.59	1.56	0.9	0.86
1166	1.64	1.54	1.5	1.37	0.89	0.78	1.56	1.68	1.11	1.15
1167	1.28	1.44	1.2	1.21	0.95	0.84	1.44	1.37	1.33	1.32
1168	1.37	1.11	1.48	1.42	0.89	1.02	1.53	1.44	1.56	1.54
1169	1.49	1.58	2.36	2.25	1.52	1.57	2.35	2.49	2	2.05
1170	2.14	2.16	1.72	1.59	1.19	1.32	1.49	1.67	1.67	1.74
1171	1.1	1.28	1.7	1.58	0.97	0.91	1.61	1.52	1.99	2
1172	0.89	0.98	1.21	1.21	0.92	1.02	1.33	1.28	NA	NA
1173	0.65	0.58	0.9	0.95	0.7	0.78	0.85	1.02	NA	NA
1174	1.02	1.05	1.3	1.28	1.16	1.09	1.73	1.75	NA	NA
1175	1.42	1.41	1.73	1.84	1	1.08	1.68	1.69	NA	NA
1176	1.78	1.76	1.77	1.75	1.11	1.02	1.95	1.82	NA	NA
1177	1.47	1.51	1.4	1.39	0.67	0.64	1.05	1.04	NA	NA
1178	1.49	1.41	1.86	1.93	1.16	1.2	1.51	1.54	NA	NA
1179	2.13	2.18	2.42	2.31	1.37	1.43	1.01	1.06	NA	NA
1180	1.29	1.21	1.54	1.46	0.86	0.76	1.02	1.09	NA	NA
1181	1.36	1.38	1.63	1.68	0.98	1.06	1.4	1.33	NA	NA
1182	1.28	1.34	2.36	2.4	1.4	1.42	1.98	2.04	NA	NA
1183	1.09	1.01	1.65	1.61	1	0.85	1.63	1.61	NA	NA
1184	0.8	0.85	1.02	1	0.56	0.54	0.81	0.8	NA	NA
1185	0.99	0.96	1.55	1.49	0.43	0.47	1.04	0.96	NA	NA
1186	0.8	0.68	1.63	1.74	0.53	0.48	1.33	1.22	NA	NA
1187	1.27	1.22	2.01	2.14	1.03	1.11	2.4	2.33	NA	NA
1188	0.79	0.87	1.1	1.06	0.43	0.42	1.19	1.23	NA	NA
1189	0.75	0.83	0.77	0.79	0.52	0.46	0.78	0.9	NA	NA
1190	1.66	1.55	1.13	1.1	0.75	0.76	1.47	1.46	NA	NA
1191	1.17	1.19	1.15	1.13	0.68	0.74	1.14	1.12	NA	NA
1192	0.83	0.83	0.77	0.78	0.75	0.73	1.07	1.15	NA	NA
1193	1.01	1	1.45	1.48	0.78	1.02	1.48	1.57	NA	NA
1194	0.67	0.71	0.86	0.83	0.47	0.44	1.07	1.04	NA	NA
1195	0.86	0.83	0.57	0.6	0.72	0.34	0.95	0.98	NA	NA
1196	0.82	0.77	1.04	1.09	0.8	0.8	1.47	1.41	NA	NA
1197	1.03	1	1.1	1.07	0.61	0.63	1.42	1.32	NA	NA
1198	0.78	0.72	0.89	0.9	0.6	0.53	1.46	1.54	NA	NA
1199	0.66	0.72	0.77	0.76	0.65	0.55	1.34	1.19	NA	NA
1200	0.64	0.68	0.75	0.74	0.63	0.65	1.12	1.12	NA	NA
1201	0.87	0.88	0.87	0.87	1.26	1.26	1.43	1.38	NA	NA
1202	1.11	1.01	1.06	1.05	0.86	0.97	1.72	1.54	NA	NA
1203	1.15	1.24	1.51	1.52	0.97	1.07	1.53	1.74	NA	NA
1204	1.3	1.32	1.24	1.03	0.53	0.76	0.89	1.03	NA	NA
1205	1.71	1.77	1.51	1.68	0.73	0.63	1.27	1.19	NA	NA
1206	NA	NA	1.2	1.23	0.52	0.49	1.56	1.52	NA	NA
1207	NA	NA	1.33	1.33	0.46	0.59	1.21	1.01	NA	NA
1208	NA	NA	1.67	1.71	0.98	1.05	1.37	1.3	NA	NA
1209	NA	NA	1.46	1.41	0.7	0.67	1.04	1.07	NA	NA
1210	NA	NA	1.11	1.05	0.61	0.84	1.38	1.36	NA	NA
1211	NA	NA	1.28	1.37	0.94	0.83	1.42	1.55	NA	NA
1212	NA	NA	0.97	0.88	0.61	0.69	1.45	1.28	NA	NA
1213	NA	NA	1.02	1.11	1.43	1.2	1.5	1.78	NA	NA
1214	NA	NA	1.11	1.07	0.54	0.74	1.63	1.58	NA	NA
1215	NA	NA	0.91	0.94	0.49	0.48	1.09	1.16	NA	NA
1216	NA	NA	NA	NA	0.45	0.49	1.48	1.3	NA	NA
1217	NA	NA	NA	NA	0.62	0.69	1.29	1.35	NA	NA
1218	NA	NA	NA	NA	0.75	0.7	1.41	1.58	NA	NA
1219	NA	NA	NA	NA	0.72	0.76	1.72	1.75	NA	NA
1220	NA	NA	NA	NA	1.04	1.02	1.64	1.6	NA	NA
1221	NA	NA	NA	NA	1.09	1.08	1.6	1.57	NA	NA
