Chronology,Core,Year,New,Old,Explanation
can702,every core,every year,,,"Short core ID, old version read ""1"" into core ID and years shifted by 1000"
can703,every core,every year,,,"Short core ID, old version read ""1"" into core ID and years shifted by 1000"
can704,every core,every year,,,"Short core ID, old version read ""1"" into core ID and years shifted by 1000"
can705,every core,every year,,,"Short core ID, old version read ""1"" into core ID and years shifted by 1000"
can706,every core,every year,,,"Short core ID, old version read ""1"" into core ID and years shifted by 1000"
can707,every core,every year,,,"Short core ID, old version read ""1"" into core ID and years shifted by 1000"
can708,every core,every year,,,"Short core ID, old version read ""1"" into core ID and years shifted by 1000"
can709,every core,every year,,,"Short core ID, old version read ""1"" into core ID and years shifted by 1000"
can710,every core,every year,,,"Short core ID, old version read ""1"" into core ID and years shifted by 1000"
can711,every core,every year,,,"Short core ID, old version read ""1"" into core ID and years shifted by 1000"
can712,every core,every year,,,"Short core ID, old version read ""1"" into core ID and years shifted by 1000"
can713,every core,every year,,,"Short core ID, old version read ""1"" into core ID and years shifted by 1000"
can714,every core,every year,,,"Short core ID, old version read ""1"" into core ID and years shifted by 1000"
can715,every core,every year,,,"Short core ID, old version read ""1"" into core ID and years shifted by 1000"
can716,every core,every year,,,"Short core ID, old version read ""1"" into core ID and years shifted by 1000"
mar035,,,,,"Text shifted right by one space, old version misread"
mar047,,,,,"Text shifted right by one space, old version misread"
