# Smith - Fyles Glacier - ABLA - ITRDB CANA484
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/19623
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-19623.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana484-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana484-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana484.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana484.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2015-12-03
#--------------------
# File_Last_Modified_Date
#   Date: 2015-12-03
#--------------------
# Title
#   Study_Name: Smith - Fyles Glacier - ABLA - ITRDB CANA484
#--------------------
# Investigators
#   Investigators: Smith, D.J.; Coulthard, B.L.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Fyles Glacier
#   Location: British Columbia
#   Northernmost_Latitude: 52.1
#   Southernmost_Latitude: 52.1
#   Easternmost_Longitude: -126.19
#   Westernmost_Longitude: -126.19
#   Elevation_m: None
#--------------------
# Data_Collection
#   Collection_Name: CANA484
#   First_Year: 1857
#   Last_Year: 2003
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Abies lasiocarpa (Hook.) Nutt.
#   Common_Name: subalpine fir
#   Tree_Species_Code: ABLA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 02FG-407_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 02FG-407; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 02FG-409_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 02FG-409; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 02FG-410_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 02FG-410; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 02FG-411_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 02FG-411; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 02FG-415_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 02FG-415; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 02FG-416_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 02FG-416; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 02FG-418_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 02FG-418; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	02FG-407_raw	02FG-409_raw	02FG-410_raw	02FG-411_raw	02FG-415_raw	02FG-416_raw	02FG-418_raw
1939	2.15	1.54	2.43	2.12	2.76	2.51	2.63
1940	1.58	1.47	1.67	1.73	2.03	1.63	2.08
1941	2.16	1.8	2.26	2.01	2.3	1.92	2.61
1942	2.03	1.89	2.28	2.21	2.87	2.24	2.69
1943	2.13	1.48	2.13	2.24	2.68	2.28	3.47
1944	1.52	1.19	1.78	1.87	1.87	1.9	2.73
1945	2.94	1.71	2.39	2.57	2.88	2.41	2.5
1946	2.03	1.46	2.08	1.99	2.51	1.99	2.05
1947	1.94	1.4	1.75	1.72	1.78	1.58	2.39
1948	1.65	1.48	1.17	1.65	1.48	1.33	2.4
1949	2.03	1.68	2.08	2.01	2.35	2.09	3.1
1950	1.58	1.44	1.9	1.68	1.81	1.55	2.71
1951	1.55	1.49	1.88	1.71	1.43	1.7	2.68
1952	1.23	1.3	2.01	1.44	1.47	2.12	2.31
1953	1.45	1.15	2.01	1.32	1.17	2.03	1.84
1954	1.51	1.43	1.8	1.52	1.36	1.99	2.31
1955	0.9	1.2	1.14	1.24	1.09	1.49	2.09
1956	1.33	1.18	1.7	1.32	1.03	1.77	2.32
1957	0.91	1.04	1.47	1.01	0.97	1.49	1.64
1958	0.91	1.14	1.29	1.17	0.94	1.3	1.75
1959	1.16	1.18	2.08	1.55	1.28	2.41	2.28
1960	1.06	1.07	1.32	1.12	1.14	1.52	1.73
1961	1.15	1.43	1.65	1.27	0.82	1.68	1.97
1962	1.12	1.43	1.77	1.37	0.84	1.31	2.08
1963	0.95	0.99	1.24	0.86	0.53	1	1.82
1964	1.09	1.3	1.8	1.27	0.65	1.45	2.45
1965	1.14	1.05	1.47	1.07	0.59	1.23	1.67
1966	1.41	1.46	2.38	1.24	1.12	1.84	2.83
1967	1.55	1.51	2.5	1.27	1.3	1.71	2.35
1968	1.47	1.62	2.07	1.42	1.4	1.71	2.34
1969	1.24	1.36	1.97	1.28	1.58	1.81	2.1
1970	1.04	1.21	1.64	1.05	1.5	1.33	1.96
1971	1.03	1.33	1.98	1.24	1.54	1.52	1.9
1972	0.74	1.17	1.78	0.71	1.48	1.55	1.63
1973	1.02	0.81	1.47	0.71	0.9	1.17	1.13
1974	1.24	1.06	1.65	0.63	0.75	1.17	1.36
1975	0.94	0.8	1.12	0.75	0.47	0.92	1.01
1976	1.16	0.98	1.57	0.84	0.75	1.14	1.53
1977	1.02	0.94	1.09	0.59	0.38	1.04	0.97
1978	1.35	1.88	1.88	1.18	0.91	1.32	2.12
1979	1.25	1.15	1.65	0.88	0.79	1.1	1.6
1980	1.28	0.98	1.8	0.88	0.82	0.98	1.29
1981	1.37	0.88	1.9	0.96	0.86	0.89	1.23
1982	1.54	1.14	2.46	1.06	1.29	1.39	1.6
1983	1.1	0.66	1.24	0.73	0.8	1.04	1.27
1984	0.98	0.84	1.22	0.56	0.47	0.85	1.09
1985	1.23	1.07	2.01	0.91	0.69	1.29	1.26
1986	1.26	0.84	2.03	0.88	0.96	1.14	1.18
1987	1.13	0.7	1.78	0.78	0.56	1.04	1.02
1988	1.1	0.7	1.7	0.71	0.7	1.42	1.29
1989	1.04	0.78	1.62	0.68	0.98	1.05	1.24
1990	0.53	0.65	1.09	0.5	1.16	0.98	1.3
1991	1.1	1.03	1.52	0.86	1.11	1.17	1.56
1992	0.81	0.6	0.84	0.4	0.54	0.57	0.76
1993	1.43	1.11	1.42	0.96	1.11	1.33	1.74
1994	1.18	0.66	0.76	0.84	0.86	0.89	1.26
1995	1.59	0.97	1.29	1.01	1.16	1.14	1.36
1996	1.22	0.84	0.99	0.76	1.27	1.2	1.34
1997	1.47	0.89	1.22	0.74	0.92	1.17	1.14
1998	1.06	0.73	0.84	0.71	0.82	1.08	0.88
1999	1.26	0.7	1.09	0.81	0.98	1.25	1.15
2000	1.29	0.63	1.14	0.71	0.7	1.06	0.97
2001	1.5	0.64	1.2	0.81	0.91	1.04	1.7
2002	1.41	0.86	1.5	1.01	1.1	1.13	1.68
