# Zhang - Heal Lake floating chronology II - PSME - ITRDB CANA164
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5403
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5403.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana164-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana164-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana164.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana164.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Zhang - Heal Lake floating chronology II - PSME - ITRDB CANA164
#--------------------
# Investigators
#   Investigators: Zhang, Q.; Hebda, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Heal Lake floating chronology II
#   Location: British Columbia
#   Northernmost_Latitude: 48.53
#   Southernmost_Latitude: 48.53
#   Easternmost_Longitude: -123.47
#   Westernmost_Longitude: -123.47
#   Elevation_m: 120
#--------------------
# Data_Collection
#   Collection_Name: CANA164
#   First_Year: -866
#   Last_Year: -606
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HLL069_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLL069; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLL026_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLL026; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLL450_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLL450; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLL397_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLL397; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLL523_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLL523; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLL142_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLL142; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLL979_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLL979; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLL668_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLL668; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HLL069_raw	HLL026_raw	HLL450_raw	HLL397_raw	HLL523_raw	HLL142_raw	HLL979_raw	HLL668_raw
-785	NA	NA	2.8	3.99	1.86	1.88	2.01	2.14
-784	NA	NA	2.8	4.34	2.32	2.8	2.72	2.64
-783	NA	NA	3.72	4.77	3.02	3.72	3.14	2.77
-782	NA	NA	3.32	3.44	2.16	3.15	2.33	1.38
-781	NA	NA	3.89	3.77	2.9	3.64	3.07	1.78
-780	NA	NA	4.25	4.55	3.58	4.31	3.75	1.99
-779	3.04	NA	3.93	4.34	3.05	4.09	3.48	2.41
-778	2.05	NA	3.48	3.41	3.02	3.89	3.25	1.89
-777	2.7	2.87	3.99	3.36	3.01	4.45	3.34	1.94
-776	1.78	1.55	1.97	1.69	1.78	2.57	1.89	0.88
-775	2.21	2.29	4.33	3.67	2.45	3.53	2.65	1.8
-774	2.64	1.94	3.89	4.16	2.85	3.13	3.11	1.38
-773	3.01	1.6	3.5	3.56	2.49	3.22	2.93	1.36
-772	1.95	1.73	3.09	2.99	1.72	2.84	2.27	1.46
-771	2.1	1.89	3.31	3	1.93	3.18	2.74	1.85
-770	3.03	1.6	2.79	3.67	2.43	3.75	3.68	1.4
-769	2.55	1.82	4.25	3.64	2.29	2.56	2.66	1.75
-768	3.55	1.63	2.41	2.71	2.14	3.31	3.1	1.26
-767	2.5	1.93	3.63	3.04	2.05	3.46	3.37	1.38
-766	3.81	1.78	3.13	3.29	1.96	3.3	3.47	1.47
-765	3.15	1.75	2.35	2.47	2	2.58	3.05	1.27
-764	3.81	1.47	2.99	3.41	2.36	3.13	3.17	1.27
-763	1.88	1.29	2.94	3.23	2.23	2.53	2.92	1.01
-762	2.41	1.45	2.25	2.36	2.09	2.45	2.95	0.96
-761	1.86	1.51	3.23	3.19	2.21	2.67	3.36	1.51
-760	1.24	1.4	3.23	2.86	1.6	1.67	2.09	1.02
-759	1.14	1.72	2.81	2.57	1.36	1.53	2.09	1.04
-758	1.96	1.61	3.88	3.23	1.92	2.16	2.63	1.16
-757	1.96	1.76	3.29	3.43	1.95	1.85	2.49	1.12
-756	0.96	1.17	2.23	2.47	1.53	1.33	2.1	0.9
-755	1.13	1.3	3.15	2.43	1.56	1.84	2.33	0.9
-754	1.02	1.28	2.92	2.67	1.63	1.92	2.56	0.52
-753	0.81	0.86	2.52	2.03	0.97	1.31	1.82	0.3
-752	1.08	0.87	3.12	2.54	1.31	1.58	2.01	0.48
-751	1.2	1.15	2.76	2.11	1.73	1.78	2.43	0.59
-750	1	1.04	2.84	2.3	1.24	1.08	1.59	0.59
-749	1.92	1	2.21	2.12	1.44	1.27	2.13	0.71
-748	2.15	1.19	2.3	2.1	1.51	1.52	2.23	0.41
-747	2.3	1.26	2.16	1.85	1.76	1.83	2.11	0.72
-746	1.76	1.2	2.62	2.34	1.79	2.11	2.34	0.72
-745	0.97	1.1	1.36	1.68	1.39	1.57	2.01	0.68
-744	1.06	1.5	2.23	2.01	1.53	1.8	2.71	0.77
-743	1.64	1.7	2.38	2.1	1.63	1.86	2.62	1
-742	1.61	1.23	2.18	2.39	1.91	1.62	2.71	1.09
-741	1.04	1.16	1.58	2.05	1.22	0.94	1.53	0.96
-740	2.15	1.28	2.35	2.19	1.47	1.12	1.51	0.93
-739	1.98	1.29	2.09	2.54	1.49	1.23	1.87	1.02
-738	1.85	1.04	1.83	2.38	1.37	1.33	1.65	0.9
-737	1.84	0.83	2.34	2.19	1.54	1.28	1.86	0.74
-736	1.75	0.97	1.81	2.71	1.84	1.57	2.54	1.63
-735	1.09	0.91	1.79	2.07	1.37	1.4	1.85	1.06
-734	1.59	0.86	1.35	1.87	1.35	1.45	1.57	1.31
-733	1.7	0.87	1.7	2	1.45	1.33	1.86	1.21
-732	0.51	0.67	1.67	2.16	1.2	0.98	1.71	0.34
-731	0.96	0.61	1.18	1.84	0.91	0.86	1.39	0.27
-730	1.49	1.01	1.28	1.93	1.18	1.18	1.74	0.37
-729	1.25	1.17	1.5	2.09	1.33	1.07	1.66	0.55
-728	1.48	1.06	2.23	2.85	1.64	1.51	2.11	0.68
-727	1.41	1.18	1.32	2.15	1.66	1.38	2.37	0.78
-726	1.27	1.4	1.73	2.66	1.39	1.32	2.19	0.85
-725	1.05	1.45	1.25	2.62	1.36	1.16	2.11	0.83
-724	1.12	1.24	1.78	2.46	1.39	1.1	1.66	0.53
-723	0.71	1.49	1.05	1.94	1.52	1.06	1.78	0.64
-722	0.92	0.96	1.43	2.31	1.49	1.34	1.63	0.78
-721	1.08	1.18	1.57	2.13	1.22	1.17	1.52	1.19
-720	0.92	1.2	0.99	1.92	1.56	1.24	2.26	0.49
-719	1.03	1.1	1.1	1.79	1.45	1.3	2.09	0.73
-718	1.58	1.38	1.62	2.09	1.26	1.17	1.79	0.48
-717	0.94	0.99	1.06	1.7	1.48	1.21	1.85	0.41
-716	0.89	0.87	1.43	1.67	1.97	1.92	2.4	0.85
-715	1.41	0.81	1.28	1.64	1.8	2.04	2.12	0.65
-714	1.18	0.92	1.31	1.91	1.94	1.71	1.82	0.55
-713	0.65	0.69	1.13	1.63	1.42	1.18	1.59	0.34
-712	0.79	0.69	0.67	1.13	1.1	0.75	1.03	0.38
-711	0.42	0.59	0.96	1.18	1.13	0.59	0.93	0.27
-710	0.67	0.52	0.97	1.59	1.16	1.01	1.22	0.28
-709	0.74	0.41	0.59	0.89	1.27	1.12	1.22	0.23
-708	0.61	0.49	0.52	0.98	0.74	0.47	0.91	0.23
-707	0.76	0.66	1.06	1.36	1.16	0.76	1.42	0.37
-706	0.51	0.61	1.11	1.56	1.11	1.02	1.42	0.35
-705	1.05	1	0.79	1.03	0.9	0.71	0.78	0.36
-704	1.06	0.69	1.3	1.41	1.18	0.7	1.11	0.19
-703	0.56	0.57	0.87	1.25	1.12	0.56	1.21	0.37
-702	1.18	0.87	0.85	1.32	1	0.52	1.2	0.38
-701	1.34	1.14	0.95	1.27	0.85	0.55	1.17	0.38
-700	0.95	1.02	0.76	1.5	0.78	0.72	1.07	0.24
-699	1.25	0.82	0.65	1.11	0.77	0.86	1.16	0.37
-698	0.87	0.62	0.81	1.49	0.81	0.85	1.14	0.27
-697	0.7	0.6	0.84	1.15	0.95	0.9	1.39	0.34
-696	0.94	0.67	0.76	1.46	0.76	0.6	1.06	0.34
-695	0.84	0.69	1.08	1.76	0.78	0.76	1.06	0.29
-694	1.28	0.65	0.72	1.15	0.69	0.74	0.96	0.31
-693	1.13	0.84	0.48	1.17	0.72	0.75	1.91	0.32
-692	1.07	0.9	0.69	1.27	0.66	0.82	1.5	0.44
-691	0.96	0.88	0.74	1.18	0.75	0.11	1.44	0.4
-690	0.9	0.61	0.48	0.76	0.65	0.34	0.71	0.24
-689	0.48	0.7	0.35	0.99	0.64	0.3	0.55	0.31
-688	0.5	0.71	0.41	0.64	0.44	0.33	0.53	0.3
-687	0.52	0.56	0.34	0.94	0.61	0.31	0.83	0.31
-686	0.71	0.89	0.51	0.99	0.54	0.31	0.71	0.39
-685	0.44	0.55	0.7	0.83	0.54	0.52	0.45	NA
-684	0.31	0.7	0.57	1.12	0.75	0.52	0.52	NA
-683	0.33	0.79	0.66	1.1	0.76	0.68	NA	NA
-682	0.45	0.83	0.7	1.44	0.7	0.73	NA	NA
-681	0.44	0.65	0.66	1.33	0.74	0.56	NA	NA
-680	0.49	0.77	0.69	1.13	0.73	0.65	NA	NA
-679	0.29	0.49	0.65	1.24	0.69	0.5	NA	NA
-678	0.33	0.66	0.51	1.31	1.05	0.73	NA	NA
-677	0.56	0.61	0.57	0.86	1.02	0.89	NA	NA
-676	0.49	0.56	0.81	0.89	1.02	NA	NA	NA
-675	0.32	0.5	0.61	0.53	0.53	NA	NA	NA
-674	0.47	0.61	0.56	0.71	0.48	NA	NA	NA
-673	0.51	0.74	0.73	0.61	0.59	NA	NA	NA
-672	0.48	0.69	0.62	1.03	0.5	NA	NA	NA
-671	0.55	0.61	0.52	1.06	0.61	NA	NA	NA
-670	0.63	0.8	0.64	1.39	0.66	NA	NA	NA
-669	0.72	0.98	0.5	0.9	0.51	NA	NA	NA
-668	0.69	0.85	0.4	0.93	0.46	NA	NA	NA
-667	0.58	0.88	0.41	1.09	0.45	NA	NA	NA
-666	0.6	0.88	0.53	0.59	0.35	NA	NA	NA
-665	0.46	0.69	0.33	0.68	NA	NA	NA	NA
-664	0.24	0.53	0.4	0.76	NA	NA	NA	NA
-663	0.33	0.58	0.42	0.86	NA	NA	NA	NA
-662	0.42	0.69	0.58	0.64	NA	NA	NA	NA
-661	0.55	0.67	0.56	0.53	NA	NA	NA	NA
-660	0.54	0.71	0.53	0.51	NA	NA	NA	NA
-659	0.71	1.06	0.55	0.71	NA	NA	NA	NA
-658	0.94	1	0.59	0.85	NA	NA	NA	NA
-657	0.65	1.04	0.55	0.92	NA	NA	NA	NA
-656	0.63	0.79	0.67	0.99	NA	NA	NA	NA
-655	0.46	0.68	0.48	0.66	NA	NA	NA	NA
-654	0.67	0.64	0.63	0.77	NA	NA	NA	NA
-653	1.09	0.91	0.79	0.93	NA	NA	NA	NA
-652	0.99	0.79	0.5	1.09	NA	NA	NA	NA
-651	0.34	0.59	0.36	0.93	NA	NA	NA	NA
-650	0.44	0.56	0.43	0.92	NA	NA	NA	NA
-649	0.35	0.53	0.47	0.92	NA	NA	NA	NA
-648	0.34	0.55	0.52	NA	NA	NA	NA	NA
-647	0.8	0.51	0.31	NA	NA	NA	NA	NA
-646	0.59	0.56	0.5	NA	NA	NA	NA	NA
-645	0.81	0.6	0.47	NA	NA	NA	NA	NA
-644	0.71	0.51	0.42	NA	NA	NA	NA	NA
-643	1.1	0.84	0.49	NA	NA	NA	NA	NA
-642	1.26	0.88	0.43	NA	NA	NA	NA	NA
-641	0.84	0.72	0.22	NA	NA	NA	NA	NA
-640	0.98	0.64	0.34	NA	NA	NA	NA	NA
-639	1.48	0.85	0.44	NA	NA	NA	NA	NA
-638	1.01	0.83	0.23	NA	NA	NA	NA	NA
-637	0.93	0.73	0.32	NA	NA	NA	NA	NA
-636	1.5	0.9	0.57	NA	NA	NA	NA	NA
-635	0.85	0.82	0.73	NA	NA	NA	NA	NA
-634	1.29	0.66	0.8	NA	NA	NA	NA	NA
-633	0.59	0.58	0.68	NA	NA	NA	NA	NA
-632	0.95	0.5	0.46	NA	NA	NA	NA	NA
-631	0.85	0.65	0.33	NA	NA	NA	NA	NA
-630	0.93	0.64	0.3	NA	NA	NA	NA	NA
-629	1.15	0.7	0.32	NA	NA	NA	NA	NA
-628	1.58	0.96	0.34	NA	NA	NA	NA	NA
-627	1.12	0.98	0.31	NA	NA	NA	NA	NA
-626	0.99	0.74	0.41	NA	NA	NA	NA	NA
-625	1.52	0.88	0.32	NA	NA	NA	NA	NA
-624	1.14	0.82	0.54	NA	NA	NA	NA	NA
-623	1.5	0.77	NA	NA	NA	NA	NA	NA
-622	1.24	0.67	NA	NA	NA	NA	NA	NA
-621	0.76	0.46	NA	NA	NA	NA	NA	NA
-620	0.85	0.7	NA	NA	NA	NA	NA	NA
-619	1.21	0.62	NA	NA	NA	NA	NA	NA
-618	1.09	0.64	NA	NA	NA	NA	NA	NA
-617	0.96	0.63	NA	NA	NA	NA	NA	NA
-616	1.39	0.84	NA	NA	NA	NA	NA	NA
-615	1.42	0.89	NA	NA	NA	NA	NA	NA
-614	1.12	0.93	NA	NA	NA	NA	NA	NA
-613	1.25	0.76	NA	NA	NA	NA	NA	NA
-612	1.27	0.94	NA	NA	NA	NA	NA	NA
-611	1.39	NA	NA	NA	NA	NA	NA	NA
-610	2	NA	NA	NA	NA	NA	NA	NA
-609	1.5	NA	NA	NA	NA	NA	NA	NA
-608	1.39	NA	NA	NA	NA	NA	NA	NA
-607	0.97	NA	NA	NA	NA	NA	NA	NA
-606	0.99	NA	NA	NA	NA	NA	NA	NA
